date,tic,open,high,low,close,volume
2021-01-04,TMUS,130.22,130.32,126.12,127.96,123444
2021-01-05,TMUS,127.35,127.77,126.08,127.45,114843
2021-01-06,TMUS,126.14,127.53,125.33,127.13,219751
2021-01-07,TMUS,129.09,130.9,128.72,128.72,245085
2021-01-08,TMUS,128.79,130.66,127.83,130.66,206799
2021-01-11,TMUS,129.51,130.96,128.36,128.48,170965
2021-01-12,TMUS,128.33,128.87,123.41,124.34,250418
2021-01-13,TMUS,124.68,125.49,124.18,124.25,112055
2021-01-14,TMUS,125.15,125.93,119.76,120.54,421659
2021-01-15,TMUS,120.6,123.59,120.6,123.07,231860
2021-01-19,TMUS,124.37,126.06,122.89,125.53,216030
2021-01-20,TMUS,125.73,127.96,125.22,127.92,133838
2021-01-21,TMUS,128.04,128.04,125.57,126.11,93757
2021-01-22,TMUS,126.02,126.85,124.8,126.12,120446
2021-01-25,TMUS,126.47,127.95,125.35,126.68,165245
2021-01-26,TMUS,125.9,128.25,125.84,127.0,158651
2021-01-27,TMUS,125.34,125.41,118.34,119.12,414084
2021-01-28,TMUS,121.37,125.22,120.32,123.47,268625
2021-01-29,TMUS,122.62,124.8,121.24,121.8,305526
2021-02-01,TMUS,122.11,125.0,121.1,124.05,211979
2021-02-02,TMUS,124.22,127.9,123.77,127.46,191522
2021-02-03,TMUS,127.5,128.09,124.49,125.03,325326
2021-02-04,TMUS,125.63,126.46,125.06,126.23,683753
2021-02-05,TMUS,124.67,125.16,120.52,121.08,845628
2021-02-08,TMUS,121.87,121.91,118.43,121.9,351585
2021-02-09,TMUS,121.62,121.76,119.88,120.27,170994
2021-02-10,TMUS,120.91,121.43,120.15,120.37,144200
2021-02-11,TMUS,121.24,121.24,119.33,120.29,170962
2021-02-12,TMUS,119.6,119.81,118.56,119.61,123081
2021-02-16,TMUS,118.85,119.15,117.33,117.97,227469
2021-02-17,TMUS,117.81,118.78,116.79,117.24,369436
2021-02-18,TMUS,116.73,119.1,115.6,118.88,258582
2021-02-19,TMUS,119.18,119.52,115.4,116.09,190027
2021-02-22,TMUS,115.15,115.72,113.49,113.97,322348
2021-02-23,TMUS,113.76,115.6,112.05,115.09,349549
2021-02-24,TMUS,113.7,115.48,112.99,115.41,217881
2021-02-25,TMUS,120.25,121.1,115.8,116.88,790457
2021-02-26,TMUS,115.01,117.52,115.01,116.04,249215
2021-03-01,TMUS,116.27,119.77,116.27,119.42,296873
2021-03-02,TMUS,119.74,120.37,118.37,118.45,220725
2021-03-03,TMUS,117.33,117.77,114.72,114.83,253869
2021-03-04,TMUS,114.63,117.44,113.56,114.69,269403
2021-03-05,TMUS,115.74,121.15,114.73,120.52,702188
2021-03-08,TMUS,119.88,124.14,119.8,122.63,468802
2021-03-09,TMUS,124.23,125.3,121.27,122.03,268684
2021-03-10,TMUS,123.58,124.79,121.88,123.1,243345
2021-03-11,TMUS,123.61,125.79,119.76,121.63,641197
2021-03-12,TMUS,122.26,123.28,120.63,122.88,427921
2021-03-15,TMUS,123.9,124.26,119.92,121.41,435095
2021-03-16,TMUS,121.6,124.46,120.81,123.55,347145
2021-03-17,TMUS,121.84,123.72,121.44,123.04,204418
2021-03-18,TMUS,121.58,122.25,120.7,120.7,250466
2021-03-19,TMUS,120.52,121.28,118.84,120.2,598032
2021-03-22,TMUS,120.71,122.82,120.48,121.9,212733
2021-03-23,TMUS,122.69,122.77,120.07,120.14,205817
2021-03-24,TMUS,120.06,121.08,118.24,118.24,141469
2021-03-25,TMUS,119.42,120.08,117.1,119.27,210374
2021-03-26,TMUS,119.72,120.52,116.98,118.85,250489
2021-03-29,TMUS,118.4,120.49,117.85,119.13,185521
2021-03-30,TMUS,118.88,121.18,118.22,120.36,228963
2021-03-31,TMUS,120.21,121.69,120.08,121.25,202285
2021-04-01,TMUS,121.47,123.33,120.7,123.33,255495
2021-04-05,TMUS,124.06,127.22,123.99,127.14,191661
2021-04-06,TMUS,126.15,127.5,126.08,127.07,136718
2021-04-07,TMUS,126.44,126.49,124.85,125.69,153400
2021-04-08,TMUS,126.35,126.35,125.26,125.71,130451
2021-04-09,TMUS,125.93,125.93,123.89,124.72,130616
2021-04-12,TMUS,124.17,126.42,124.0,126.38,84964
2021-04-13,TMUS,126.25,126.73,125.35,126.35,94857
2021-04-14,TMUS,126.32,126.35,125.28,125.56,86520
2021-04-15,TMUS,126.46,127.31,125.77,127.08,107984
2021-04-16,TMUS,127.49,129.07,126.97,128.49,175034
2021-04-19,TMUS,129.08,129.1,127.5,127.57,128834
2021-04-20,TMUS,127.05,127.14,124.18,126.01,223670
2021-04-21,TMUS,126.63,128.03,125.46,127.73,139275
2021-04-22,TMUS,127.57,128.41,126.24,127.33,121771
2021-04-23,TMUS,127.42,129.4,126.99,128.85,160672
2021-04-26,TMUS,128.81,128.84,127.48,128.04,93914
2021-04-27,TMUS,128.26,128.76,127.09,128.64,125408
2021-04-28,TMUS,127.85,128.14,127.26,127.66,83519
2021-04-29,TMUS,127.77,129.56,127.77,129.54,141387
2021-04-30,TMUS,128.61,128.67,127.1,127.61,161447
2021-05-03,TMUS,128.14,128.27,126.54,127.09,187078
2021-05-04,TMUS,126.39,126.64,122.85,124.41,261131
2021-05-05,TMUS,127.24,130.79,127.01,129.54,587113
2021-05-06,TMUS,129.26,134.32,127.79,134.3,585646
2021-05-07,TMUS,133.91,135.47,133.78,134.48,326579
2021-05-10,TMUS,133.65,134.89,131.16,131.23,218465
2021-05-11,TMUS,130.66,133.61,130.23,133.37,191301
2021-05-12,TMUS,131.6,132.73,131.39,132.08,222463
2021-05-13,TMUS,132.46,134.42,131.92,133.5,207525
2021-05-14,TMUS,134.24,138.29,134.17,136.79,306291
2021-05-17,TMUS,135.47,135.75,134.56,135.48,347119
2021-05-18,TMUS,134.9,134.94,130.54,130.58,429416
2021-05-19,TMUS,129.22,130.14,128.06,129.83,361504
2021-05-20,TMUS,130.07,132.09,129.8,131.63,382342
2021-05-21,TMUS,132.54,132.78,131.24,131.41,144145
2021-05-24,TMUS,132.0,133.63,131.95,133.14,135195
2021-05-25,TMUS,133.35,134.22,132.19,132.19,174194
2021-05-26,TMUS,132.2,136.13,132.2,134.99,283202
2021-05-27,TMUS,135.54,137.31,135.15,136.61,302837
2021-05-28,TMUS,137.11,137.82,136.68,136.71,196507
2021-06-01,TMUS,136.92,138.08,136.72,136.87,198135
2021-06-02,TMUS,136.91,137.33,135.27,136.23,262039
2021-06-03,TMUS,135.6,138.07,135.38,137.61,244943
2021-06-04,TMUS,137.72,139.91,137.72,139.75,178091
2021-06-07,TMUS,139.02,139.96,138.19,138.67,138809
2021-06-08,TMUS,139.37,140.72,139.19,140.59,225254
2021-06-09,TMUS,140.72,142.99,140.72,142.31,386853
2021-06-10,TMUS,142.84,143.71,141.32,141.61,355814
2021-06-11,TMUS,141.7,141.7,139.53,140.49,234399
2021-06-14,TMUS,140.46,140.48,139.77,140.37,161358
2021-06-15,TMUS,140.66,141.82,140.3,140.75,107469
2021-06-16,TMUS,140.89,141.34,138.47,140.08,237407
2021-06-17,TMUS,140.18,142.91,139.99,141.62,391126
2021-06-18,TMUS,141.09,141.57,139.68,139.68,272143
2021-06-21,TMUS,140.89,141.22,140.23,140.76,157491
2021-06-22,TMUS,140.93,141.1,140.15,140.92,64944
2021-06-23,TMUS,140.61,140.69,139.69,140.18,227530
2021-06-24,TMUS,140.69,141.12,140.03,140.75,88254
2021-06-25,TMUS,140.67,141.33,139.98,140.48,157986
2021-06-28,TMUS,140.45,140.7,139.58,140.18,151783
2021-06-29,TMUS,139.83,140.41,139.31,140.09,148295
2021-06-30,TMUS,140.27,140.41,139.43,140.01,220000
2021-07-01,TMUS,139.69,140.61,139.52,140.51,124647
2021-07-02,TMUS,140.91,141.78,140.48,141.33,76379
2021-07-06,TMUS,141.09,141.98,140.3,141.86,110623
2021-07-07,TMUS,141.83,143.15,140.75,143.12,84867
2021-07-08,TMUS,142.35,142.96,141.11,141.87,156950
2021-07-09,TMUS,140.76,142.34,139.66,141.1,233373
2021-07-12,TMUS,141.39,142.22,140.46,141.96,71013
2021-07-13,TMUS,141.9,144.5,141.21,142.79,156803
2021-07-14,TMUS,143.6,144.79,143.3,143.84,142192
2021-07-15,TMUS,143.97,145.07,143.15,143.33,168326
2021-07-16,TMUS,143.41,145.09,143.41,144.4,101625
2021-07-19,TMUS,142.59,142.72,138.52,139.79,345559
2021-07-20,TMUS,139.33,140.76,139.3,139.67,354904
2021-07-21,TMUS,139.22,141.17,139.22,139.65,312279
2021-07-22,TMUS,139.75,140.07,137.71,139.89,179082
2021-07-23,TMUS,140.0,140.3,139.08,139.15,176272
2021-07-26,TMUS,138.96,140.79,138.92,140.15,261225
2021-07-27,TMUS,139.95,140.2,138.76,139.91,163715
2021-07-28,TMUS,140.07,140.52,139.55,140.29,125339
2021-07-29,TMUS,140.58,141.82,138.91,139.78,258001
2021-07-30,TMUS,137.95,140.24,136.52,139.2,290424
2021-08-02,TMUS,139.88,140.37,139.19,140.05,131999
2021-08-03,TMUS,140.19,140.48,139.21,139.69,121998
2021-08-04,TMUS,138.96,139.47,137.39,137.4,288584
2021-08-05,TMUS,138.04,138.67,136.96,137.12,291789
2021-08-06,TMUS,137.46,137.94,136.75,137.49,279147
2021-08-09,TMUS,138.16,139.16,138.01,138.19,215176
2021-08-10,TMUS,137.9,138.99,137.75,138.34,128359
2021-08-11,TMUS,138.35,139.89,138.3,139.76,153586
2021-08-12,TMUS,140.06,140.46,139.87,139.87,66441
2021-08-13,TMUS,139.43,140.46,139.41,140.1,121453
2021-08-16,TMUS,136.26,137.87,134.6,136.08,415402
2021-08-17,TMUS,135.81,137.08,135.42,135.97,412934
2021-08-18,TMUS,135.46,137.01,135.0,135.03,197598
2021-08-19,TMUS,134.74,136.8,134.74,136.14,152867
2021-08-20,TMUS,136.29,138.46,135.72,137.04,153417
2021-08-23,TMUS,137.06,138.16,136.75,137.74,132854
2021-08-24,TMUS,137.37,138.29,137.03,137.71,79277
2021-08-25,TMUS,137.37,137.37,135.13,135.17,152715
2021-08-26,TMUS,135.57,135.79,132.81,132.96,157187
2021-08-27,TMUS,132.97,134.0,132.65,133.73,167750
2021-08-30,TMUS,132.22,133.88,131.16,133.26,169071
2021-08-31,TMUS,133.17,133.32,132.0,132.4,167763
2021-09-01,TMUS,133.09,134.14,132.77,133.1,148820
2021-09-02,TMUS,133.42,133.62,130.54,131.57,163300
2021-09-03,TMUS,131.65,131.9,130.9,131.44,112045
2021-09-07,TMUS,131.61,132.19,129.72,129.95,119697
2021-09-08,TMUS,130.14,130.14,127.9,129.18,244120
2021-09-09,TMUS,126.7,129.25,125.89,127.02,662273
2021-09-10,TMUS,127.51,127.51,124.76,126.47,396303
2021-09-13,TMUS,127.56,127.69,125.23,125.63,373268
2021-09-14,TMUS,126.25,126.84,123.7,124.55,412574
2021-09-15,TMUS,124.24,124.38,121.2,122.8,410391
2021-09-16,TMUS,123.18,125.26,121.77,124.56,530050
2021-09-17,TMUS,124.55,124.81,122.8,123.71,408153
2021-09-20,TMUS,122.4,123.68,120.52,121.42,501427
2021-09-21,TMUS,122.24,123.2,120.68,120.71,305511
2021-09-22,TMUS,121.35,123.93,121.35,123.46,259626
2021-09-23,TMUS,123.75,127.46,123.75,126.5,393587
2021-09-24,TMUS,126.12,126.33,124.72,125.12,173228
2021-09-27,TMUS,124.41,124.5,123.0,123.51,179005
2021-09-28,TMUS,122.72,123.37,121.65,122.14,277779
2021-09-29,TMUS,122.16,124.4,121.86,123.81,354046
2021-09-30,TMUS,124.67,124.9,122.89,123.44,186926
2021-10-01,TMUS,123.29,123.86,122.05,122.49,223235
2021-10-04,TMUS,122.31,123.44,120.58,121.28,198463
2021-10-05,TMUS,120.89,121.94,120.15,121.17,120413
2021-10-06,TMUS,120.23,120.47,119.19,120.39,149973
2021-10-07,TMUS,121.12,121.83,118.69,118.94,296463
2021-10-08,TMUS,119.27,119.27,116.64,117.16,195934
2021-10-11,TMUS,117.01,117.52,113.04,113.24,319167
2021-10-12,TMUS,113.56,114.56,112.26,112.33,292600
2021-10-13,TMUS,113.08,114.05,112.14,112.58,311562
2021-10-14,TMUS,114.13,115.68,113.67,115.27,335854
2021-10-15,TMUS,115.61,116.29,113.38,113.62,150298
2021-10-18,TMUS,113.13,114.23,112.24,113.44,219952
2021-10-19,TMUS,113.76,114.64,112.95,114.58,110740
2021-10-20,TMUS,115.14,118.51,115.07,117.82,416760
2021-10-21,TMUS,117.65,117.77,112.56,112.93,265250
2021-10-22,TMUS,113.25,113.46,112.28,112.94,177375
2021-10-25,TMUS,112.92,113.04,111.96,112.07,116811
2021-10-26,TMUS,112.48,114.02,112.45,112.46,150315
2021-10-27,TMUS,112.3,113.56,112.18,112.79,195306
2021-10-28,TMUS,112.79,113.92,111.53,112.13,136074
2021-10-29,TMUS,111.66,112.4,110.85,111.13,265905
2021-11-01,TMUS,111.2,112.4,111.15,111.97,243428
2021-11-02,TMUS,112.67,113.3,110.95,111.96,197904
2021-11-03,TMUS,117.86,120.5,117.13,117.87,532921
2021-11-04,TMUS,118.22,119.9,117.2,118.55,355440
2021-11-05,TMUS,118.9,120.23,117.71,118.54,165263
2021-11-08,TMUS,118.67,118.68,115.85,116.81,144677
2021-11-09,TMUS,116.92,117.59,115.2,115.88,171791
2021-11-10,TMUS,115.74,118.16,115.14,115.56,185404
2021-11-11,TMUS,115.54,115.89,114.16,114.47,132684
2021-11-12,TMUS,115.11,115.19,114.07,114.24,131363
