date,tic,open,high,low,close,volume
2021-01-04,TPR,28.17,29.2,27.94,28.9,527461
2021-01-05,TPR,28.57,29.12,28.52,28.73,261814
2021-01-06,TPR,29.13,30.96,29.08,30.32,283001
2021-01-07,TPR,30.85,31.21,30.24,30.8,252909
2021-01-08,TPR,30.91,31.06,30.07,30.22,145847
2021-01-11,TPR,29.73,30.63,29.33,30.53,150497
2021-01-12,TPR,30.73,31.32,30.49,31.23,116143
2021-01-13,TPR,30.76,30.9,29.92,30.07,164308
2021-01-14,TPR,30.5,30.91,29.96,30.08,130527
2021-01-15,TPR,29.93,30.22,29.3,29.7,149312
2021-01-19,TPR,29.71,30.3,29.42,29.49,122941
2021-01-20,TPR,29.49,29.88,29.39,29.77,182711
2021-01-21,TPR,30.02,30.31,29.68,29.84,129963
2021-01-22,TPR,29.64,30.34,29.46,30.34,104697
2021-01-25,TPR,30.08,30.75,29.52,29.84,167811
2021-01-26,TPR,30.24,30.28,28.93,28.98,154802
2021-01-27,TPR,28.11,28.16,26.72,27.05,294207
2021-01-28,TPR,27.57,28.8,27.28,28.63,165115
2021-01-29,TPR,28.4,28.51,27.69,27.93,132735
2021-02-01,TPR,28.44,28.63,27.53,28.13,169644
2021-02-02,TPR,28.59,29.79,28.51,29.48,292969
2021-02-03,TPR,30.13,31.01,30.12,30.49,429847
2021-02-04,TPR,31.76,32.31,30.3,31.94,669146
2021-02-05,TPR,32.35,33.35,32.35,33.19,292575
2021-02-08,TPR,33.25,34.2,33.16,33.89,303962
2021-02-09,TPR,34.07,34.32,33.79,33.9,302903
2021-02-10,TPR,34.14,34.82,33.74,34.61,339119
2021-02-11,TPR,34.53,35.48,34.08,34.58,292355
2021-02-12,TPR,34.13,34.41,33.63,33.86,152876
2021-02-16,TPR,34.11,34.7,33.88,34.54,312114
2021-02-17,TPR,34.33,34.36,33.35,34.14,147681
2021-02-18,TPR,33.87,33.96,33.31,33.63,154899
2021-02-19,TPR,33.98,34.97,33.98,34.89,156456
2021-02-22,TPR,35.3,36.63,35.15,36.18,218701
2021-02-23,TPR,35.75,36.08,34.36,35.95,154639
2021-02-24,TPR,36.01,36.94,35.53,36.82,249322
2021-02-25,TPR,36.67,37.92,36.63,37.5,405193
2021-02-26,TPR,37.63,37.91,36.46,37.25,179518
2021-03-01,TPR,38.09,38.17,36.6,36.67,223157
