date,tic,open,high,low,close,volume
2021-01-04,TRGP,24.25,24.54,23.41,23.67,52112
2021-01-05,TRGP,23.82,25.6,23.82,25.16,115346
2021-01-06,TRGP,25.59,26.04,24.96,25.86,149217
2021-01-07,TRGP,26.16,27.69,26.07,27.64,181104
2021-01-08,TRGP,27.83,27.88,26.14,26.43,105019
2021-01-11,TRGP,25.9,26.64,25.57,26.45,81694
2021-01-12,TRGP,26.68,28.11,26.68,28.06,77196
2021-01-13,TRGP,28.36,28.36,27.6,27.79,70339
2021-01-14,TRGP,27.99,28.46,27.79,28.14,117163
2021-01-15,TRGP,27.79,27.79,26.98,27.2,124111
2021-01-19,TRGP,27.2,27.43,27.11,27.25,60015
2021-01-20,TRGP,27.71,27.71,26.62,26.92,101721
2021-01-21,TRGP,26.92,27.15,25.39,26.05,107852
2021-01-22,TRGP,25.52,26.08,25.41,26.05,92925
2021-01-25,TRGP,25.61,25.61,24.57,25.33,111010
2021-01-26,TRGP,25.61,26.08,24.9,24.97,150673
2021-01-27,TRGP,24.44,25.08,24.15,24.44,145878
2021-01-28,TRGP,24.97,25.66,24.57,25.4,102308
2021-01-29,TRGP,25.1,26.09,24.68,24.89,71928
2021-02-01,TRGP,25.11,25.6,24.53,25.45,124156
2021-02-02,TRGP,26.11,26.91,25.95,26.55,128073
2021-02-03,TRGP,27.03,27.6,26.95,27.29,120650
2021-02-04,TRGP,27.19,27.53,26.87,27.11,67155
2021-02-05,TRGP,27.7,27.81,27.33,27.49,73289
2021-02-08,TRGP,28.17,28.46,27.8,28.4,95705
2021-02-09,TRGP,28.2,28.2,27.38,27.53,95423
2021-02-10,TRGP,27.66,28.24,27.15,28.24,50419
2021-02-11,TRGP,28.24,28.27,27.09,27.62,60092
2021-02-12,TRGP,27.51,28.1,27.41,27.9,76990
2021-02-16,TRGP,28.82,28.89,28.02,28.2,90404
2021-02-17,TRGP,28.14,28.52,27.54,28.16,109306
2021-02-18,TRGP,27.71,28.21,26.77,26.83,138233
2021-02-19,TRGP,26.98,27.25,26.56,27.22,75774
2021-02-22,TRGP,27.17,28.5,27.17,27.63,105855
2021-02-23,TRGP,27.56,28.55,26.47,28.46,105161
2021-02-24,TRGP,28.5,30.39,28.34,29.57,128579
2021-02-25,TRGP,29.74,30.09,28.64,29.11,79012
2021-02-26,TRGP,28.6,29.15,27.41,28.11,73349
2021-03-01,TRGP,28.91,29.56,28.91,29.15,77819
2021-03-02,TRGP,29.1,29.58,28.8,29.25,72528
2021-03-03,TRGP,29.58,29.95,29.34,29.35,95624
2021-03-04,TRGP,29.58,31.06,29.22,30.36,95103
2021-03-05,TRGP,31.15,31.58,30.08,31.41,95861
2021-03-08,TRGP,31.54,31.9,30.67,31.2,95922
2021-03-09,TRGP,30.96,31.31,30.31,30.31,86460
2021-03-10,TRGP,30.31,31.4,30.23,31.25,76471
2021-03-11,TRGP,31.15,31.7,31.04,31.3,54408
2021-03-12,TRGP,31.22,31.71,31.02,31.6,67013
2021-03-15,TRGP,31.29,31.79,30.76,30.89,99561
2021-03-16,TRGP,30.36,30.53,29.7,29.93,44142
2021-03-17,TRGP,29.62,30.3,29.4,30.3,73138
2021-03-18,TRGP,30.35,30.57,29.23,29.44,77603
