date,tic,open,high,low,close,volume
2021-01-04,TRI,79.2,79.48,77.51,77.83,31037
2021-01-05,TRI,77.98,79.28,77.87,79.06,18583
2021-01-06,TRI,78.65,79.14,77.71,78.15,48867
2021-01-07,TRI,77.94,78.18,77.0,77.72,49957
2021-01-08,TRI,78.1,78.1,77.01,77.7,29360
2021-01-11,TRI,77.26,77.53,76.7,76.8,18645
2021-01-12,TRI,76.46,76.46,75.83,76.33,15148
2021-01-13,TRI,75.93,76.85,75.7,76.48,33219
2021-01-14,TRI,76.25,76.64,75.54,75.66,37308
2021-01-15,TRI,75.8,77.58,75.8,77.51,25995
2021-01-19,TRI,77.53,78.18,76.95,77.52,24608
2021-01-20,TRI,77.96,79.26,77.8,79.09,15142
2021-01-21,TRI,78.95,78.99,78.26,78.55,15295
2021-01-22,TRI,78.37,78.94,78.12,78.48,23828
2021-01-25,TRI,78.62,80.17,78.51,80.02,37129
2021-01-26,TRI,80.09,80.09,79.09,79.61,22379
2021-01-27,TRI,78.94,78.94,77.0,77.06,49391
2021-01-28,TRI,77.27,79.46,77.27,78.91,32271
2021-01-29,TRI,79.16,79.16,77.87,78.5,40215
2021-02-01,TRI,79.35,81.03,79.35,80.46,32519
2021-02-02,TRI,80.91,82.05,80.91,81.67,34206
2021-02-03,TRI,81.22,81.5,80.47,81.36,20611
2021-02-04,TRI,81.06,81.48,80.74,80.82,27053
2021-02-05,TRI,80.89,81.38,80.76,81.13,26371
2021-02-08,TRI,81.32,81.46,80.11,80.36,17393
2021-02-09,TRI,80.55,80.71,80.02,80.34,13838
2021-02-10,TRI,80.4,80.48,79.1,79.39,8270
2021-02-11,TRI,79.64,79.95,79.31,79.68,16747
2021-02-12,TRI,79.35,79.91,78.7,79.73,14546
2021-02-16,TRI,80.06,80.09,79.06,79.24,11553
2021-02-17,TRI,78.83,79.09,78.42,79.09,16434
2021-02-18,TRI,78.68,79.4,78.67,79.17,13904
2021-02-19,TRI,78.98,79.61,78.82,78.95,12545
2021-02-22,TRI,78.61,79.21,77.22,77.27,37613
2021-02-23,TRI,80.81,86.62,80.36,85.65,145060
2021-02-24,TRI,85.52,85.98,83.77,85.91,50111
2021-02-25,TRI,85.99,86.42,85.03,85.34,12844
2021-02-26,TRI,85.57,85.57,83.73,83.73,18646
2021-03-01,TRI,84.09,85.17,83.12,84.73,40615
2021-03-02,TRI,85.36,86.48,84.38,85.56,14839
2021-03-03,TRI,85.02,85.02,83.69,84.23,29587
2021-03-04,TRI,84.76,84.76,82.49,83.34,23845
2021-03-05,TRI,84.03,84.32,82.72,83.57,20155
2021-03-08,TRI,83.06,83.74,82.88,82.94,35664
2021-03-09,TRI,83.82,85.48,83.82,84.51,27844
2021-03-10,TRI,84.59,84.88,83.71,84.13,53329
2021-03-11,TRI,84.64,85.0,84.12,84.58,32451
2021-03-12,TRI,84.3,84.83,83.39,84.83,25487
2021-03-15,TRI,84.92,85.53,84.46,84.79,18451
2021-03-16,TRI,85.08,85.8,84.78,85.54,21288
2021-03-17,TRI,84.83,85.2,84.15,85.08,24460
2021-03-18,TRI,84.74,85.31,84.39,85.19,24551
2021-03-19,TRI,84.94,85.23,84.41,84.58,26947
2021-03-22,TRI,84.32,85.7,84.26,85.08,19058
2021-03-23,TRI,85.02,86.23,84.82,85.85,16678
2021-03-24,TRI,85.53,85.55,84.51,84.73,46189
2021-03-25,TRI,84.46,85.42,84.46,85.13,23912
2021-03-26,TRI,85.43,85.71,84.9,85.71,15589
2021-03-29,TRI,85.25,85.81,84.43,85.56,15698
2021-03-30,TRI,85.67,85.87,84.7,84.7,20484
2021-03-31,TRI,84.93,85.24,84.37,84.75,16608
2021-04-01,TRI,85.18,86.74,85.18,86.72,19015
2021-04-05,TRI,86.94,87.6,86.94,87.41,12218
2021-04-06,TRI,87.43,88.01,86.98,87.4,17182
2021-04-07,TRI,87.42,87.45,86.72,86.97,10616
2021-04-08,TRI,87.37,88.15,87.35,87.6,25094
2021-04-09,TRI,87.81,88.05,87.22,88.01,10323
2021-04-12,TRI,87.85,88.42,87.85,87.88,12769
2021-04-13,TRI,87.92,88.99,87.81,88.77,8866
2021-04-14,TRI,88.47,88.75,87.99,88.14,16533
2021-04-15,TRI,88.56,89.37,88.56,88.87,22363
2021-04-16,TRI,89.06,89.84,89.0,89.61,17090
2021-04-20,TRI,88.66,89.12,88.46,88.8,22048
2021-04-21,TRI,88.8,89.42,88.68,89.3,14005
2021-04-22,TRI,88.62,89.23,88.56,88.81,15304
2021-04-23,TRI,88.87,89.06,88.62,88.94,27600
2021-04-26,TRI,88.9,89.11,88.74,89.05,9667
2021-04-27,TRI,89.54,89.98,89.05,89.8,32201
2021-04-28,TRI,89.77,89.77,89.24,89.3,5122
2021-04-29,TRI,89.92,90.13,89.62,90.13,12119
2021-04-30,TRI,89.72,89.77,89.26,89.71,10133
2021-05-03,TRI,89.81,91.11,89.81,90.43,38171
2021-05-04,TRI,92.09,95.28,92.03,93.6,97751
2021-05-05,TRI,93.17,93.39,91.63,92.8,48566
2021-05-06,TRI,93.05,93.3,92.41,92.68,9641
2021-05-07,TRI,92.94,94.2,92.94,94.13,24459
2021-05-10,TRI,94.05,94.2,93.16,93.2,29527
2021-05-11,TRI,92.04,93.3,91.67,93.01,19134
2021-05-12,TRI,92.72,92.84,90.67,90.72,42149
2021-05-13,TRI,90.98,91.31,90.71,91.13,43077
2021-05-14,TRI,91.63,92.06,91.35,91.71,33553
2021-05-17,TRI,91.39,91.91,91.16,91.79,26972
2021-05-18,TRI,92.04,92.29,91.03,91.34,34396
2021-05-19,TRI,89.99,90.89,89.7,90.86,19452
2021-05-20,TRI,91.28,92.56,91.28,92.31,12823
2021-05-21,TRI,92.22,92.63,92.22,92.29,8584
2021-05-24,TRI,92.38,93.0,92.38,92.7,8312
2021-05-25,TRI,92.92,94.23,92.68,93.97,21734
2021-05-26,TRI,94.19,94.45,93.76,94.23,28930
2021-05-27,TRI,94.32,94.99,94.32,94.62,20407
2021-05-28,TRI,95.13,96.06,94.85,95.16,20392
2021-06-01,TRI,95.75,95.81,95.14,95.25,6582
2021-06-02,TRI,95.27,96.21,95.27,96.07,23862
2021-06-03,TRI,95.68,95.86,95.27,95.27,16942
2021-06-04,TRI,95.79,95.9,95.5,95.75,14361
2021-06-07,TRI,95.35,95.47,94.07,94.45,21065
2021-06-08,TRI,94.75,95.53,94.65,95.31,24160
2021-06-09,TRI,95.41,95.47,94.29,94.61,39278
2021-06-10,TRI,94.64,95.35,94.43,95.12,10437
2021-06-11,TRI,95.16,95.29,94.64,95.08,12510
2021-06-14,TRI,94.87,95.6,94.87,95.58,7622
2021-06-15,TRI,96.03,96.61,95.74,96.16,17669
2021-06-16,TRI,96.14,96.24,95.09,95.09,7317
2021-06-17,TRI,95.13,95.67,94.79,95.43,11672
2021-06-18,TRI,94.61,94.87,94.01,94.41,18159
2021-06-21,TRI,94.75,96.1,94.59,95.68,14062
2021-06-22,TRI,95.68,96.05,95.37,95.74,7883
2021-06-23,TRI,95.46,95.46,94.9,95.06,9934
2021-06-24,TRI,95.42,95.44,94.83,94.93,9673
2021-06-25,TRI,95.0,95.62,95.0,95.54,8310
2021-06-28,TRI,95.2,95.41,94.81,95.39,12897
2021-06-29,TRI,95.31,96.18,95.04,96.05,20762
2021-06-30,TRI,96.32,96.52,96.0,96.51,13685
2021-07-01,TRI,96.62,96.74,96.25,96.48,17659
2021-07-02,TRI,96.98,97.16,96.81,97.16,6323
2021-07-06,TRI,96.65,96.92,95.67,96.79,7954
2021-07-07,TRI,97.46,98.2,97.46,98.02,5521
2021-07-08,TRI,96.99,97.32,96.63,97.23,9549
2021-07-09,TRI,97.58,98.67,97.58,98.64,8977
2021-07-12,TRI,98.4,98.58,98.14,98.45,8423
2021-07-13,TRI,98.11,98.44,98.03,98.24,4480
