date,tic,open,high,low,close,volume
2021-01-04,TRV,127.18,127.2,121.48,122.6,93760
2021-01-05,TRV,122.79,123.12,120.38,121.58,63285
2021-01-06,TRV,123.34,125.79,122.54,125.71,73149
2021-01-07,TRV,125.52,126.29,124.67,125.88,73684
2021-01-08,TRV,125.72,126.38,124.73,126.28,46465
2021-01-11,TRV,125.57,125.96,124.11,124.3,35489
2021-01-12,TRV,124.7,127.2,124.23,127.0,41515
2021-01-13,TRV,126.31,129.02,126.29,128.58,40428
2021-01-14,TRV,128.08,129.31,127.78,128.74,89628
2021-01-15,TRV,128.45,130.29,127.57,129.56,146092
2021-01-19,TRV,129.69,130.45,128.5,129.77,85093
2021-01-20,TRV,129.63,131.6,129.02,131.17,103586
2021-01-21,TRV,133.96,137.47,133.1,134.56,172498
2021-01-22,TRV,133.27,133.58,130.63,131.88,73084
2021-01-25,TRV,130.55,132.51,129.61,132.45,53732
2021-01-26,TRV,132.55,133.26,129.98,130.01,54429
2021-01-27,TRV,128.23,130.07,125.98,126.01,86971
2021-01-28,TRV,127.01,127.64,125.8,126.58,144040
2021-01-29,TRV,125.16,125.44,122.92,123.38,73264
2021-02-01,TRV,123.78,125.22,123.02,125.04,41293
2021-02-02,TRV,125.91,127.2,125.04,126.43,56581
2021-02-03,TRV,125.51,126.82,124.9,125.51,56189
2021-02-04,TRV,125.69,130.29,125.69,130.25,93032
2021-02-05,TRV,130.46,132.34,129.86,130.98,51517
2021-02-08,TRV,130.67,132.2,130.44,132.2,32781
2021-02-09,TRV,132.03,133.06,131.87,133.04,30782
2021-02-10,TRV,133.24,133.48,131.42,131.94,73651
2021-02-11,TRV,131.92,132.95,131.68,132.41,46321
2021-02-12,TRV,132.09,132.91,130.98,131.95,53139
2021-02-16,TRV,132.74,133.71,131.78,133.28,42435
2021-02-17,TRV,132.75,134.48,132.71,134.22,39861
2021-02-18,TRV,134.21,134.21,132.43,133.49,47478
2021-02-19,TRV,133.84,133.95,131.82,131.91,52042
2021-02-22,TRV,131.67,133.79,131.03,133.58,53842
2021-02-23,TRV,134.98,135.57,133.58,135.07,51878
2021-02-24,TRV,135.1,136.76,134.84,136.49,61538
2021-02-25,TRV,136.9,136.9,133.73,133.8,75108
2021-02-26,TRV,133.61,133.95,131.29,131.76,55865
2021-03-01,TRV,133.28,136.48,133.28,136.0,60823
2021-03-02,TRV,135.66,136.46,134.79,134.79,52459
2021-03-03,TRV,134.8,137.59,134.53,136.24,47540
2021-03-04,TRV,136.39,137.27,133.48,134.75,42254
2021-03-05,TRV,136.82,138.53,135.02,137.73,104374
2021-03-08,TRV,138.54,142.16,138.26,140.93,63988
2021-03-09,TRV,139.88,141.7,139.03,139.93,44956
2021-03-10,TRV,139.47,142.16,139.21,141.29,88901
2021-03-11,TRV,139.24,141.23,138.45,141.08,77429
2021-03-12,TRV,143.39,144.58,141.9,143.01,109664
2021-03-15,TRV,142.59,143.18,141.55,143.04,63217
2021-03-16,TRV,141.91,142.49,140.4,142.37,75619
2021-03-17,TRV,143.05,143.82,141.5,143.62,54544
2021-03-18,TRV,145.28,146.5,142.17,142.6,169132
2021-03-19,TRV,141.9,141.93,135.4,135.88,108945
2021-03-22,TRV,135.66,135.96,133.53,134.21,97339
2021-03-23,TRV,134.05,135.66,133.48,133.66,101777
2021-03-24,TRV,134.37,137.34,134.37,135.67,114833
2021-03-25,TRV,136.5,139.22,134.52,138.97,76577
2021-03-26,TRV,139.59,139.87,137.76,139.64,60642
2021-03-29,TRV,137.89,140.46,137.1,139.9,51956
2021-03-30,TRV,140.67,141.06,139.39,139.92,55685
2021-03-31,TRV,139.85,139.93,136.66,136.66,85607
2021-04-01,TRV,136.59,137.58,136.0,137.01,92310
2021-04-05,TRV,137.83,138.57,136.95,138.18,73543
2021-04-06,TRV,138.48,139.94,137.73,137.99,154576
2021-04-07,TRV,138.05,138.55,137.32,138.36,99703
2021-04-08,TRV,137.22,137.22,135.99,136.66,139576
2021-04-09,TRV,137.91,138.66,137.34,137.88,80854
2021-04-12,TRV,138.12,138.41,137.58,138.01,48562
2021-04-13,TRV,137.59,138.55,137.13,138.44,33827
2021-04-14,TRV,138.31,142.17,138.31,141.28,69756
2021-04-15,TRV,141.79,141.79,139.85,140.3,116983
2021-04-16,TRV,141.44,142.22,140.99,141.62,33222
2021-04-20,TRV,141.1,142.86,140.16,141.58,121925
2021-04-21,TRV,142.5,143.25,142.1,143.07,49524
2021-04-22,TRV,142.39,142.82,140.41,141.79,70984
2021-04-23,TRV,142.1,143.9,142.1,143.52,39992
2021-04-26,TRV,143.63,143.67,141.37,141.68,39531
2021-04-27,TRV,141.99,142.17,140.54,141.11,69501
2021-04-28,TRV,141.69,141.69,139.09,139.74,79552
2021-04-29,TRV,141.06,141.67,140.35,141.55,59470
2021-04-30,TRV,141.64,142.26,139.95,140.6,58222
2021-05-03,TRV,141.91,143.72,141.62,142.37,61442
2021-05-04,TRV,142.21,144.22,141.85,144.09,102254
2021-05-05,TRV,144.02,145.2,142.13,144.81,110628
2021-05-06,TRV,145.08,146.24,144.77,145.84,60854
2021-05-07,TRV,145.01,146.49,145.01,146.25,86538
2021-05-10,TRV,146.78,147.92,146.61,146.98,55521
2021-05-11,TRV,147.08,147.08,142.22,142.51,51678
2021-05-12,TRV,143.35,143.35,139.73,139.73,54898
2021-05-13,TRV,138.95,144.3,138.93,143.47,50108
2021-05-14,TRV,143.64,146.22,143.28,145.97,38950
2021-05-17,TRV,145.38,146.06,144.64,145.81,25282
2021-05-18,TRV,145.12,145.12,143.06,143.12,40685
2021-05-19,TRV,142.4,143.07,140.23,142.76,54555
2021-05-20,TRV,143.15,145.09,142.42,144.47,33564
2021-05-21,TRV,145.45,146.28,143.97,144.62,34517
2021-05-24,TRV,144.91,145.62,143.95,144.39,35767
2021-05-25,TRV,143.93,144.93,141.94,142.49,29471
2021-05-26,TRV,142.79,143.38,142.56,142.88,43370
2021-05-27,TRV,144.08,144.98,143.42,144.98,44101
2021-05-28,TRV,145.22,145.61,144.56,145.21,33596
2021-06-01,TRV,146.53,147.21,145.84,146.24,34250
2021-06-02,TRV,146.17,146.63,145.52,145.68,31283
2021-06-03,TRV,145.6,147.53,144.87,146.43,51846
2021-06-04,TRV,146.21,146.21,144.67,145.56,59912
2021-06-07,TRV,144.89,145.18,143.34,143.4,23169
2021-06-08,TRV,142.7,143.47,141.81,143.15,15742
2021-06-09,TRV,142.73,142.73,141.38,141.64,20561
2021-06-10,TRV,142.03,142.46,140.77,140.87,23711
2021-06-11,TRV,141.71,142.28,141.04,141.15,23349
2021-06-14,TRV,141.07,141.07,139.59,140.1,39959
2021-06-15,TRV,140.56,142.11,139.63,141.35,35378
2021-06-16,TRV,141.11,141.88,139.69,139.69,73852
2021-06-17,TRV,140.24,140.24,135.9,136.14,73216
2021-06-18,TRV,134.46,134.46,132.11,132.24,125361
2021-06-21,TRV,134.05,136.24,133.59,135.9,27897
2021-06-22,TRV,134.86,136.37,134.86,135.62,24496
2021-06-23,TRV,135.64,136.12,135.22,135.22,49809
2021-06-24,TRV,135.89,137.63,135.68,137.11,43908
2021-06-25,TRV,138.05,138.89,137.43,138.61,47434
2021-06-28,TRV,137.89,137.96,136.03,136.69,46319
2021-06-29,TRV,137.87,137.87,136.24,136.74,29585
2021-06-30,TRV,136.62,137.31,136.22,137.0,35720
2021-07-01,TRV,137.12,139.08,136.63,138.84,24256
2021-07-02,TRV,138.15,138.5,137.67,138.29,18398
2021-07-06,TRV,137.9,138.24,135.72,138.01,53308
2021-07-07,TRV,136.88,139.39,136.88,139.14,29442
2021-07-08,TRV,137.32,138.08,135.32,135.85,52519
2021-07-09,TRV,137.65,140.25,137.59,140.23,27822
2021-07-12,TRV,140.04,141.22,139.68,140.85,58998
2021-07-13,TRV,140.15,141.44,139.62,139.87,58143
2021-07-14,TRV,140.25,141.44,139.83,141.26,53772
2021-07-15,TRV,140.1,142.4,139.66,142.32,60325
2021-07-16,TRV,141.82,143.53,141.6,143.03,51763
2021-07-19,TRV,140.48,141.68,136.99,138.33,77338
2021-07-20,TRV,138.15,141.17,136.01,138.1,147560
2021-07-21,TRV,139.56,141.17,138.63,138.79,49557
2021-07-22,TRV,136.54,136.95,134.65,135.05,54211
2021-07-23,TRV,137.01,137.16,134.23,135.27,72485
2021-07-26,TRV,135.76,136.91,135.16,136.04,39865
2021-07-27,TRV,135.36,137.22,135.15,136.59,29695
2021-07-28,TRV,137.0,137.27,133.69,134.27,51326
2021-07-29,TRV,134.96,136.23,133.51,136.19,37695
2021-07-30,TRV,136.2,137.64,135.63,136.17,26124
2021-08-02,TRV,137.07,138.74,135.98,136.16,43495
2021-08-03,TRV,136.41,137.56,135.16,137.54,44951
2021-08-04,TRV,136.7,137.75,136.64,136.91,45782
2021-08-05,TRV,138.26,138.46,136.69,137.65,16751
2021-08-06,TRV,138.57,140.23,138.57,139.72,27934
2021-08-09,TRV,139.29,140.59,139.23,140.25,16475
2021-08-10,TRV,140.19,141.75,140.05,141.05,24912
2021-08-11,TRV,141.36,142.89,141.3,142.85,26327
2021-08-12,TRV,143.44,143.58,142.14,143.08,28136
2021-08-13,TRV,143.31,143.47,142.4,142.99,13763
2021-08-16,TRV,142.6,144.42,142.35,144.29,36283
2021-08-17,TRV,144.33,145.65,144.14,145.35,15670
2021-08-18,TRV,144.73,146.72,144.28,145.1,35166
2021-08-19,TRV,144.56,147.12,144.56,145.9,34653
2021-08-20,TRV,145.94,148.23,145.24,147.15,36396
2021-08-23,TRV,147.44,148.45,146.17,146.2,19375
2021-08-24,TRV,146.95,147.19,146.3,146.9,27902
2021-08-25,TRV,146.98,149.28,146.85,148.7,41961
2021-08-26,TRV,148.52,148.56,146.28,146.28,28150
2021-08-27,TRV,146.99,148.39,146.99,148.26,17862
2021-08-30,TRV,147.03,147.03,145.82,145.83,21295
2021-08-31,TRV,145.88,147.01,145.16,146.07,57775
2021-09-01,TRV,145.9,146.51,144.7,145.58,42641
2021-09-02,TRV,145.73,146.41,144.86,146.29,34904
2021-09-03,TRV,145.8,146.22,144.91,145.57,24839
2021-09-07,TRV,144.84,145.24,143.44,144.33,48492
2021-09-08,TRV,144.09,146.14,143.76,145.1,35136
2021-09-09,TRV,144.9,146.71,144.9,145.28,79546
2021-09-10,TRV,145.62,146.12,143.78,143.8,48382
2021-09-13,TRV,143.98,146.15,143.53,146.15,51361
2021-09-14,TRV,146.43,146.46,143.37,143.72,33399
2021-09-15,TRV,144.04,145.1,143.28,144.89,64103
2021-09-16,TRV,144.48,145.0,143.05,144.11,29811
2021-09-17,TRV,144.69,145.14,143.25,143.75,70614
2021-09-20,TRV,140.49,141.58,138.55,140.36,53209
2021-09-21,TRV,140.41,141.53,139.53,140.66,42363
2021-09-22,TRV,141.58,143.07,141.2,142.04,55064
2021-09-23,TRV,143.53,144.71,143.45,143.49,52163
2021-09-24,TRV,143.65,144.07,143.04,143.84,21577
2021-09-27,TRV,144.66,145.4,143.63,143.69,40470
2021-09-28,TRV,144.12,144.12,140.88,141.1,42381
2021-09-29,TRV,140.3,143.06,140.09,142.42,25129
2021-09-30,TRV,142.71,143.48,139.8,139.8,56690
2021-10-01,TRV,140.56,141.45,138.2,140.08,39008
2021-10-04,TRV,139.36,141.2,138.34,139.25,46350
2021-10-05,TRV,139.88,141.78,138.75,141.29,73904
2021-10-06,TRV,140.63,142.66,138.44,142.58,42003
2021-10-07,TRV,143.71,145.4,143.71,144.58,79305
2021-10-08,TRV,144.76,145.69,144.09,144.75,44459
2021-10-11,TRV,144.79,145.89,143.65,143.69,47918
2021-10-12,TRV,144.2,145.15,143.64,143.96,51869
2021-10-13,TRV,143.09,144.09,141.26,143.89,54205
2021-10-14,TRV,144.44,145.12,143.6,144.14,65445
2021-10-15,TRV,144.79,145.54,143.06,143.11,36289
2021-10-18,TRV,141.86,141.86,140.08,140.63,58972
2021-10-19,TRV,143.68,145.46,142.44,142.67,191927
2021-10-20,TRV,143.14,146.65,143.14,145.91,83555
2021-10-21,TRV,146.27,147.76,146.05,147.36,57282
2021-10-22,TRV,148.29,150.01,147.96,149.34,92577
2021-10-26,TRV,148.84,149.07,147.52,147.52,29721
2021-10-27,TRV,147.95,149.03,146.89,146.96,42735
2021-10-28,TRV,148.05,149.3,148.01,148.64,49613
2021-10-29,TRV,149.26,149.26,147.78,147.98,58570
2021-11-01,TRV,148.6,148.98,146.27,147.18,31445
2021-11-02,TRV,148.32,148.32,146.02,146.04,42358
2021-11-03,TRV,145.81,148.2,145.81,147.49,56517
2021-11-04,TRV,146.61,146.78,143.59,144.31,103300
2021-11-05,TRV,144.69,147.52,144.69,146.76,60578
2021-11-08,TRV,147.44,147.54,145.92,145.93,26011
2021-11-09,TRV,146.16,146.21,144.69,144.89,46906
2021-11-10,TRV,145.8,145.8,144.68,145.56,33836
2021-11-11,TRV,144.89,145.5,144.67,145.06,33605
2021-11-12,TRV,145.03,145.48,144.4,144.74,35187
2021-11-15,TRV,145.24,146.2,144.79,145.34,48498
2021-11-16,TRV,146.16,147.23,146.04,146.16,43441
2021-11-17,TRV,145.4,145.4,143.73,143.81,57492
2021-11-18,TRV,144.18,144.98,143.41,143.42,55049
2021-11-19,TRV,142.59,142.67,140.22,140.27,38286
2021-11-22,TRV,140.53,145.35,140.14,144.24,59747
2021-11-23,TRV,145.03,148.39,145.03,147.47,57688
2021-11-24,TRV,147.07,147.43,146.12,146.17,35245
2021-11-26,TRV,141.78,142.61,139.39,141.34,74814
2021-11-29,TRV,142.43,142.43,139.73,140.2,36771
2021-11-30,TRV,138.24,138.84,134.83,135.07,82391
2021-12-01,TRV,137.71,139.01,133.71,133.71,76240
2021-12-02,TRV,134.99,138.57,134.52,138.02,51464
2021-12-03,TRV,137.52,138.64,135.92,137.15,39105
2021-12-06,TRV,139.34,140.68,138.57,139.58,69461
2021-12-07,TRV,139.82,141.08,139.82,140.78,38127
2021-12-08,TRV,141.09,141.97,140.65,141.33,43676
2021-12-09,TRV,140.62,142.85,140.59,141.95,37112
2021-12-10,TRV,141.87,143.17,141.87,142.66,40995
2021-12-13,TRV,142.66,142.85,141.28,141.61,33737
2021-12-14,TRV,141.8,146.25,141.8,145.09,37824
2021-12-15,TRV,145.06,147.09,143.76,146.46,59548
2021-12-16,TRV,147.13,150.65,147.13,149.79,78330
2021-12-17,TRV,149.47,149.5,146.16,146.21,83098
2021-12-20,TRV,144.13,144.3,140.62,142.12,44114
2021-12-21,TRV,143.14,145.29,142.89,143.88,34740
2021-12-22,TRV,143.77,144.22,142.93,143.08,31676
2021-12-23,TRV,143.54,144.15,142.93,143.02,63467
2021-12-27,TRV,142.0,144.34,142.0,144.34,35102
2021-12-28,TRV,144.97,145.81,144.97,145.33,35446
2021-12-29,TRV,145.73,146.08,145.32,145.61,34836
