date,tic,open,high,low,close,volume
2021-01-04,UDR,31.93,31.93,30.46,30.46,140542
2021-01-05,UDR,30.65,30.8,30.38,30.39,55191
2021-01-06,UDR,30.84,31.68,30.56,31.56,118983
2021-01-07,UDR,31.44,31.44,30.8,31.04,50775
2021-01-08,UDR,31.01,31.24,30.87,31.19,31771
2021-01-11,UDR,31.19,31.32,30.71,30.93,82133
2021-01-12,UDR,30.84,31.48,30.69,31.33,91981
2021-01-13,UDR,31.42,31.95,31.21,31.93,55183
2021-01-14,UDR,31.96,32.53,31.86,32.34,82609
2021-01-15,UDR,32.44,32.94,32.29,32.91,64644
2021-01-19,UDR,33.01,33.01,32.12,32.28,65296
2021-01-20,UDR,32.01,33.05,31.87,32.97,101240
2021-01-21,UDR,32.66,33.0,32.4,32.79,39669
2021-01-22,UDR,32.65,32.86,32.57,32.67,30959
2021-01-25,UDR,32.51,32.83,32.25,32.53,35969
2021-01-26,UDR,32.63,32.93,32.39,32.69,55502
2021-01-27,UDR,32.52,32.88,31.68,31.81,63043
2021-01-28,UDR,32.14,32.98,31.9,32.49,61146
2021-01-29,UDR,31.98,32.63,31.72,32.1,47634
2021-02-01,UDR,32.22,32.41,31.65,32.35,74956
2021-02-02,UDR,32.3,32.67,32.21,32.44,41278
2021-02-03,UDR,32.17,32.92,32.04,32.8,47780
2021-02-04,UDR,32.63,33.56,32.56,33.17,113383
2021-02-05,UDR,33.42,33.47,33.01,33.46,39597
2021-02-08,UDR,33.39,34.26,33.39,34.2,104240
2021-02-09,UDR,34.2,34.42,34.0,34.35,42751
2021-02-10,UDR,33.45,34.96,33.45,34.84,85902
2021-02-11,UDR,34.94,36.22,34.68,36.18,131627
2021-02-12,UDR,36.18,36.27,35.57,35.66,131219
2021-02-16,UDR,35.73,35.78,35.12,35.49,161690
2021-02-17,UDR,35.44,35.49,34.98,35.32,36350
2021-02-18,UDR,35.18,35.53,34.94,35.02,55031
2021-02-19,UDR,35.0,35.4,34.92,35.22,41536
2021-02-22,UDR,35.15,35.67,35.11,35.44,50737
2021-02-23,UDR,35.94,36.47,35.64,36.29,120228
2021-02-24,UDR,36.34,36.37,35.99,36.26,109188
2021-02-25,UDR,36.15,36.43,35.18,35.39,110203
2021-02-26,UDR,35.23,35.47,34.42,34.42,134099
2021-03-01,UDR,35.18,35.58,34.85,35.14,138272
2021-03-02,UDR,35.03,35.42,34.8,35.15,110663
2021-03-03,UDR,35.39,36.1,35.17,35.64,60350
2021-03-04,UDR,35.6,36.05,34.86,35.32,121222
2021-03-05,UDR,35.58,35.84,34.8,35.52,159021
2021-03-08,UDR,35.73,36.6,35.5,36.25,144131
2021-03-09,UDR,36.28,36.63,35.82,35.82,67438
2021-03-10,UDR,35.92,36.36,35.27,36.18,91304
2021-03-11,UDR,36.27,36.73,36.09,36.4,69394
2021-03-12,UDR,36.84,37.73,36.78,37.68,159624
2021-03-15,UDR,37.83,38.42,37.44,38.06,113837
2021-03-16,UDR,38.2,38.2,37.15,37.36,71291
2021-03-17,UDR,37.48,37.76,37.1,37.7,53873
2021-03-18,UDR,37.67,37.78,37.28,37.56,186577
2021-03-19,UDR,37.4,37.43,36.16,36.18,87437
2021-03-22,UDR,36.12,36.52,35.92,36.33,108921
2021-03-23,UDR,36.2,36.61,36.14,36.48,78542
