date,tic,open,high,low,close,volume
2021-01-04,UHS,134.03,134.03,129.71,131.83,26243
2021-01-05,UHS,130.37,134.31,130.37,132.44,33277
2021-01-06,UHS,135.7,139.36,135.5,138.14,37947
2021-01-07,UHS,138.58,139.46,137.47,138.75,23719
2021-01-08,UHS,138.17,139.73,136.54,137.49,38917
2021-01-11,UHS,134.35,136.83,128.29,131.54,74436
2021-01-12,UHS,132.03,134.37,130.62,134.07,58227
2021-01-13,UHS,133.4,134.33,130.56,132.3,30057
2021-01-14,UHS,132.82,133.09,129.73,130.06,31822
2021-01-15,UHS,129.5,130.33,128.39,129.0,29075
2021-01-19,UHS,129.95,129.95,126.51,127.06,19713
2021-01-20,UHS,126.72,129.05,126.72,128.37,19387
2021-01-21,UHS,128.35,129.28,126.87,127.35,22758
2021-01-22,UHS,127.02,127.49,125.19,125.78,22874
2021-01-25,UHS,125.02,125.22,122.58,124.21,35014
2021-01-26,UHS,124.42,125.67,123.6,124.33,35116
2021-01-27,UHS,122.45,123.2,120.59,122.32,82880
2021-01-28,UHS,123.38,126.16,123.12,124.46,44233
2021-01-29,UHS,124.64,124.64,120.8,121.53,29947
2021-02-01,UHS,121.98,124.94,120.41,124.41,46496
2021-02-02,UHS,125.49,127.27,123.9,124.69,44086
2021-02-03,UHS,123.94,126.52,123.85,126.17,41016
2021-02-04,UHS,126.19,128.56,126.15,128.3,41886
2021-02-05,UHS,128.72,128.72,126.03,127.3,22794
2021-02-08,UHS,127.45,128.55,127.18,128.07,31413
2021-02-09,UHS,128.65,128.7,125.73,126.93,20737
2021-02-10,UHS,127.26,128.13,126.45,127.12,16550
2021-02-11,UHS,128.51,128.51,126.63,126.73,23855
2021-02-12,UHS,126.55,126.7,125.27,125.94,13274
2021-02-16,UHS,126.25,126.36,124.32,124.88,14734
2021-02-17,UHS,124.06,125.89,124.06,125.58,14523
2021-02-18,UHS,125.4,125.4,123.07,124.1,17190
2021-02-19,UHS,124.66,126.49,123.59,126.19,21190
2021-02-22,UHS,124.62,129.11,124.22,128.29,75173
2021-02-23,UHS,128.78,132.74,128.02,130.27,51328
2021-02-24,UHS,131.62,135.18,131.58,134.35,68387
2021-02-25,UHS,134.27,134.57,130.54,131.55,67791
2021-02-26,UHS,129.67,129.67,122.14,122.15,72199
2021-03-01,UHS,123.01,127.41,123.01,124.54,94364
2021-03-02,UHS,124.29,127.0,124.07,125.85,35949
2021-03-03,UHS,125.78,125.78,122.61,123.46,30737
2021-03-04,UHS,123.16,126.17,121.96,123.73,33959
2021-03-05,UHS,124.9,128.7,123.58,128.03,34889
2021-03-08,UHS,129.44,131.96,129.31,131.16,25045
2021-03-09,UHS,131.73,132.9,127.59,128.01,26270
2021-03-10,UHS,127.65,131.09,127.65,130.07,28344
2021-03-11,UHS,129.77,131.79,129.45,129.51,30879
2021-03-12,UHS,130.61,134.08,130.27,134.02,25859
2021-03-15,UHS,134.22,136.65,134.17,136.65,15674
2021-03-16,UHS,135.0,135.4,132.98,133.41,23232
2021-03-17,UHS,133.81,135.93,132.74,135.35,21767
2021-03-18,UHS,135.01,138.15,134.61,135.89,21978
2021-03-19,UHS,135.15,136.97,133.75,134.37,39935
2021-03-22,UHS,134.21,134.56,132.4,133.9,45988
2021-03-23,UHS,132.85,132.89,128.68,129.52,27033
2021-03-24,UHS,130.6,132.96,130.08,130.19,36876
2021-03-25,UHS,130.58,132.84,128.81,132.22,46275
2021-03-26,UHS,132.73,132.83,130.23,131.85,42309
