date,tic,open,high,low,close,volume
2021-01-04,UNH,323.88,324.21,313.73,321.97,198305
2021-01-05,UNH,321.03,323.62,317.69,317.75,155236
2021-01-06,UNH,311.25,331.11,308.95,331.06,579035
2021-01-07,UNH,330.01,337.6,330.01,336.47,165490
2021-01-08,UNH,338.33,338.33,330.53,334.98,141665
2021-01-11,UNH,333.17,335.62,330.99,332.4,101256
2021-01-12,UNH,331.2,331.71,327.35,329.32,113147
2021-01-13,UNH,328.27,328.73,323.79,327.19,82715
2021-01-14,UNH,328.49,330.48,322.9,323.17,148119
2021-01-15,UNH,321.88,325.16,318.65,323.74,150442
2021-01-19,UNH,327.42,328.68,323.95,324.58,124676
2021-01-20,UNH,324.33,324.33,319.13,323.09,159570
2021-01-21,UNH,323.55,332.31,323.55,327.06,158607
2021-01-22,UNH,326.49,326.49,320.25,320.25,94845
2021-01-25,UNH,319.26,322.69,317.79,320.7,99270
2021-01-26,UNH,322.12,323.56,315.78,315.91,118053
2021-01-27,UNH,310.59,311.21,303.12,306.32,254743
2021-01-28,UNH,310.16,319.26,309.01,311.59,178440
2021-01-29,UNH,310.45,312.22,304.94,307.49,201778
2021-02-01,UNH,309.27,311.54,306.66,307.56,159060
2021-02-02,UNH,311.4,317.43,311.4,312.24,114293
2021-02-03,UNH,311.13,313.34,308.43,311.35,149083
2021-02-04,UNH,306.17,308.73,302.57,303.31,417608
2021-02-05,UNH,306.12,307.02,298.05,298.5,964407
2021-02-08,UNH,301.27,301.27,298.36,298.52,456058
2021-02-09,UNH,298.25,304.95,296.64,303.6,248362
2021-02-10,UNH,306.22,309.24,303.94,307.09,206843
2021-02-11,UNH,309.18,310.1,305.46,306.78,197526
2021-02-12,UNH,305.94,306.11,302.1,302.37,238211
2021-02-16,UNH,302.26,303.44,297.12,299.18,193076
2021-02-17,UNH,298.24,302.52,297.08,301.04,194477
2021-02-18,UNH,300.32,303.62,299.75,302.44,97657
2021-02-19,UNH,302.81,302.97,298.66,298.82,122931
