date,tic,open,high,low,close,volume
2021-01-04,UNP,186.5,186.99,180.24,181.51,146809
2021-01-05,UNP,181.63,184.72,181.6,183.98,85121
2021-01-06,UNP,184.34,189.38,183.93,187.75,131031
2021-01-07,UNP,188.66,190.92,187.36,190.5,123501
2021-01-08,UNP,195.11,197.88,194.23,195.89,211587
2021-01-11,UNP,196.68,197.55,194.18,194.32,166659
2021-01-12,UNP,194.1,197.16,191.45,195.68,254513
2021-01-13,UNP,195.56,195.85,192.82,193.84,61587
2021-01-14,UNP,195.08,195.22,193.07,193.47,83799
2021-01-15,UNP,192.28,194.65,191.09,193.84,94676
2021-01-19,UNP,195.41,195.63,192.64,192.68,237831
2021-01-20,UNP,193.77,195.5,193.17,195.34,134450
2021-01-21,UNP,189.48,193.59,186.11,186.11,367761
2021-01-22,UNP,185.91,186.96,182.04,185.39,228097
2021-01-25,UNP,183.82,185.38,180.02,184.75,253439
2021-01-26,UNP,185.36,185.36,178.48,179.08,241112
2021-01-27,UNP,176.16,177.89,172.99,173.83,291152
2021-01-28,UNP,176.54,183.4,175.0,180.18,189789
2021-01-29,UNP,178.66,179.68,176.14,176.73,168616
2021-02-01,UNP,178.22,179.6,177.49,177.76,120851
2021-02-02,UNP,179.35,185.38,179.16,184.37,205987
2021-02-03,UNP,183.73,184.3,182.54,183.01,97076
2021-02-04,UNP,183.19,184.96,182.08,183.09,109552
2021-02-05,UNP,184.73,185.85,182.46,182.79,96643
2021-02-08,UNP,183.65,183.65,181.06,182.67,91156
2021-02-09,UNP,182.22,183.82,181.38,183.09,73470
2021-02-10,UNP,183.96,184.37,181.44,182.02,84032
2021-02-11,UNP,183.1,186.0,182.92,185.42,234139
2021-02-12,UNP,184.99,191.25,184.99,190.8,219066
2021-02-16,UNP,191.12,192.77,188.7,191.53,190944
2021-02-17,UNP,190.64,191.37,187.78,189.09,106914
2021-02-18,UNP,187.16,187.7,182.73,185.33,259449
2021-02-19,UNP,186.51,189.35,186.41,187.0,122708
2021-02-22,UNP,185.66,188.25,185.05,185.06,151460
2021-02-23,UNP,185.28,186.16,183.28,185.24,151013
2021-02-24,UNP,184.73,190.34,183.9,188.99,163327
2021-02-25,UNP,188.42,189.61,187.03,188.05,202170
2021-02-26,UNP,187.64,188.59,185.34,185.61,146029
2021-03-01,UNP,187.05,190.22,186.9,188.05,193367
2021-03-02,UNP,188.57,189.39,186.51,188.15,104015
2021-03-03,UNP,187.74,188.56,185.47,185.55,139731
2021-03-04,UNP,185.33,185.65,178.6,180.61,203145
2021-03-05,UNP,182.73,188.95,180.47,188.52,187918
2021-03-08,UNP,189.07,193.9,189.06,189.57,203683
2021-03-09,UNP,190.45,193.27,190.09,190.36,132385
2021-03-10,UNP,191.0,193.41,190.18,191.6,259919
2021-03-11,UNP,192.97,194.66,191.68,193.02,156342
2021-03-12,UNP,194.36,195.55,192.36,192.46,118249
2021-03-15,UNP,192.84,193.0,188.79,191.3,217288
2021-03-16,UNP,190.36,191.09,187.93,190.38,168524
2021-03-17,UNP,189.95,192.59,188.7,190.82,128550
2021-03-18,UNP,190.57,195.74,190.33,193.68,149737
2021-03-19,UNP,193.65,193.73,188.16,189.53,197416
