date,tic,open,high,low,close,volume
2021-01-04,USB,38.08,38.27,37.21,37.62,147519
2021-01-05,USB,37.63,38.02,37.18,37.74,133557
2021-01-06,USB,38.92,40.49,38.89,40.0,276996
2021-01-07,USB,40.5,41.55,40.46,40.8,279759
2021-01-08,USB,40.8,40.97,39.83,40.23,328044
2021-01-11,USB,39.62,40.34,39.58,40.25,187930
2021-01-12,USB,40.66,40.84,40.35,40.55,165613
2021-01-13,USB,40.35,40.65,40.11,40.42,221852
2021-01-14,USB,40.55,40.61,40.2,40.21,239081
2021-01-15,USB,39.62,39.8,39.18,39.51,215170
2021-01-19,USB,39.47,39.7,39.2,39.2,258800
2021-01-20,USB,38.5,38.5,36.89,37.18,391320
2021-01-21,USB,37.46,37.59,36.87,37.25,492558
2021-01-22,USB,37.03,37.69,36.97,37.41,364985
2021-01-25,USB,36.91,37.57,36.66,37.33,226519
2021-01-26,USB,37.6,37.6,36.86,36.88,170419
2021-01-27,USB,36.39,36.39,34.86,34.86,368207
2021-01-28,USB,35.69,35.97,34.88,35.7,203349
2021-01-29,USB,35.74,35.89,34.93,34.95,233284
2021-02-01,USB,35.3,35.36,34.65,34.87,188942
2021-02-02,USB,35.35,36.32,35.35,36.11,184198
2021-02-03,USB,35.97,36.58,35.97,36.52,151790
2021-02-04,USB,36.68,37.81,36.51,37.81,286062
2021-02-05,USB,38.2,38.23,37.67,37.83,114703
2021-02-08,USB,37.91,38.69,37.9,38.68,207356
2021-02-09,USB,38.45,39.03,38.33,38.83,225104
2021-02-10,USB,38.97,39.09,38.62,38.63,149440
2021-02-11,USB,38.56,38.85,38.23,38.55,196333
2021-02-12,USB,38.44,39.3,38.44,38.87,133764
2021-02-16,USB,39.37,39.94,39.22,39.7,390863
2021-02-17,USB,39.58,40.3,39.29,40.22,382278
2021-02-18,USB,39.91,40.37,39.45,40.04,358239
2021-02-19,USB,40.26,40.93,40.23,40.82,266898
2021-02-22,USB,40.68,41.72,40.68,41.54,230430
2021-02-23,USB,42.2,42.98,41.86,42.11,310043
2021-02-24,USB,42.18,43.27,42.18,43.1,260839
2021-02-25,USB,43.47,43.66,42.09,42.14,217302
2021-02-26,USB,41.77,41.85,40.67,40.8,300608
2021-03-01,USB,41.7,42.04,41.54,41.73,257256
2021-03-02,USB,41.73,41.94,41.29,41.33,176904
2021-03-03,USB,41.56,42.57,41.44,41.72,380237
2021-03-04,USB,41.74,42.04,40.84,41.58,553876
2021-03-05,USB,42.3,42.98,41.12,42.8,395620
2021-03-08,USB,43.3,44.38,42.88,44.08,568108
2021-03-09,USB,43.12,43.92,42.82,43.16,576470
2021-03-10,USB,43.23,44.19,43.14,43.9,439483
2021-03-11,USB,43.41,44.08,43.18,43.52,405653
2021-03-12,USB,44.22,44.64,44.05,44.59,252872
2021-03-15,USB,44.62,44.62,43.5,44.05,289932
2021-03-16,USB,43.77,43.92,43.08,43.91,234003
2021-03-17,USB,44.27,44.61,43.83,44.45,364302
2021-03-18,USB,44.87,46.51,44.83,45.92,391361
2021-03-19,USB,45.45,45.65,44.78,45.1,412122
2021-03-22,USB,44.82,44.86,43.93,44.28,214198
2021-03-23,USB,43.81,44.46,43.37,43.73,215485
2021-03-24,USB,43.88,44.55,43.63,43.63,160568
2021-03-25,USB,43.64,44.81,43.51,44.8,284018
2021-03-26,USB,45.31,45.9,45.22,45.86,260257
2021-03-29,USB,45.24,45.77,44.72,45.37,498320
2021-03-30,USB,45.7,46.16,45.43,45.89,292309
2021-03-31,USB,45.7,46.05,45.46,45.46,193187
2021-04-01,USB,45.32,45.9,45.15,45.89,216114
2021-04-05,USB,46.42,46.64,46.17,46.35,211065
2021-04-06,USB,46.12,46.35,45.81,46.21,152676
2021-04-07,USB,46.41,46.74,46.25,46.69,136085
2021-04-08,USB,46.62,46.9,45.98,46.66,237473
2021-04-09,USB,47.12,47.21,46.65,47.12,197845
2021-04-12,USB,47.27,47.51,47.12,47.4,203017
2021-04-13,USB,47.03,47.09,46.53,46.57,136352
2021-04-14,USB,46.49,47.54,46.27,47.32,221817
2021-04-15,USB,46.68,46.92,44.83,46.29,570300
2021-04-16,USB,46.66,48.03,46.49,47.56,301038
2021-04-20,USB,46.86,47.07,46.16,46.2,432078
