date,tic,open,high,low,close,volume
2023-10-02,VLTO,82.8,88.28,81.33,84.54,1472171
2023-10-03,VLTO,81.75,82.57,75.42,76.88,1187849
2023-10-04,VLTO,76.33,79.85,75.83,77.83,612507
2023-10-05,VLTO,74.89,75.13,72.15,73.74,1212754
2023-10-06,VLTO,72.92,77.82,72.8,77.35,1009436
2023-10-09,VLTO,76.17,77.37,73.19,73.98,921869
2023-10-10,VLTO,73.36,74.9,71.98,74.4,770995
2023-10-11,VLTO,73.61,75.94,73.13,73.83,520595
2023-10-12,VLTO,73.15,74.63,72.28,73.66,528371
2023-10-13,VLTO,73.25,73.39,69.94,71.27,720103
2023-10-16,VLTO,71.25,74.23,71.25,73.5,780784
2023-10-17,VLTO,72.65,74.51,72.55,73.88,335728
2023-10-18,VLTO,72.61,73.26,71.7,71.9,357004
2023-10-19,VLTO,71.1,71.92,69.41,69.69,207943
2023-10-20,VLTO,69.81,70.07,68.38,69.36,399914
2023-10-23,VLTO,68.74,71.82,67.15,71.34,601602
2023-10-24,VLTO,71.67,72.89,71.23,71.56,369721
2023-10-25,VLTO,70.9,71.64,69.24,70.18,445605
2023-10-26,VLTO,65.98,71.48,65.61,69.43,459379
2023-10-27,VLTO,68.22,68.87,67.22,67.47,468031
2023-10-30,VLTO,67.97,68.76,66.93,67.85,446370
2023-10-31,VLTO,68.24,68.95,67.12,68.48,303434
2023-11-01,VLTO,68.21,68.6,66.94,66.95,265520
2023-11-02,VLTO,67.45,69.95,66.43,69.76,262165
2023-11-03,VLTO,69.7,70.51,68.64,70.21,159802
2023-11-06,VLTO,69.28,69.28,67.53,67.69,177428
2023-11-07,VLTO,66.97,69.65,66.94,69.51,165473
2023-11-08,VLTO,69.01,69.68,68.99,69.27,200554
2023-11-09,VLTO,69.13,69.73,68.96,69.09,175623
2023-11-10,VLTO,68.76,70.2,68.76,70.0,82692
2023-11-13,VLTO,69.92,72.59,69.92,72.4,303554
2023-11-14,VLTO,73.31,73.41,72.46,73.06,264525
2023-11-15,VLTO,72.68,74.0,72.48,73.43,244607
2023-11-16,VLTO,72.24,72.47,70.05,70.3,130406
2023-11-17,VLTO,70.11,70.68,69.56,70.42,118561
2023-11-20,VLTO,70.22,70.64,70.03,70.17,81140
2023-11-21,VLTO,70.11,72.19,69.9,71.74,136720
2023-11-22,VLTO,72.27,73.22,71.83,72.41,119902
2023-11-24,VLTO,71.97,73.52,71.97,73.46,70705
2023-11-27,VLTO,73.29,73.29,72.47,72.9,81924
2023-11-28,VLTO,72.33,73.9,72.33,72.73,76569
