date,tic,open,high,low,close,volume
2021-01-04,VMC,143.4,144.69,139.96,140.81,32087
2021-01-05,VMC,141.4,142.05,140.01,141.7,32963
2021-01-06,VMC,150.0,156.54,149.42,154.35,157846
2021-01-07,VMC,156.03,157.3,153.52,155.75,62129
2021-01-08,VMC,155.75,157.66,153.82,156.46,46891
2021-01-11,VMC,154.36,157.65,154.02,156.71,50862
2021-01-12,VMC,156.74,161.58,156.27,159.59,57332
2021-01-13,VMC,159.02,159.02,154.68,155.24,46196
2021-01-14,VMC,155.98,156.3,153.87,154.16,42368
2021-01-15,VMC,152.72,154.96,151.13,154.56,37164
2021-01-19,VMC,154.36,154.36,152.25,152.64,44507
2021-01-20,VMC,153.15,154.66,153.08,154.51,48600
2021-01-21,VMC,154.06,155.83,151.93,152.65,35836
2021-01-22,VMC,150.92,152.71,150.14,152.24,38281
2021-01-25,VMC,151.3,151.39,149.05,150.57,37581
2021-01-26,VMC,151.01,151.01,144.33,144.57,40570
2021-01-27,VMC,142.17,142.75,137.79,140.38,49875
2021-01-28,VMC,141.6,144.07,141.6,142.99,39721
2021-01-29,VMC,141.61,144.64,140.55,143.3,49601
2021-02-01,VMC,145.17,146.37,142.84,146.13,29195
2021-02-02,VMC,147.34,148.92,145.94,145.94,30168
2021-02-03,VMC,146.11,147.82,146.08,146.54,16525
2021-02-04,VMC,146.02,149.06,145.35,147.38,35714
2021-02-05,VMC,147.77,147.89,146.28,146.91,30480
2021-02-08,VMC,148.06,150.04,146.82,148.05,24750
2021-02-09,VMC,148.37,151.46,147.55,149.36,26990
2021-02-10,VMC,150.8,154.65,149.27,152.93,40944
2021-02-11,VMC,153.52,155.07,152.52,153.77,48254
2021-02-12,VMC,152.79,158.22,152.79,158.02,56483
2021-02-16,VMC,154.37,160.94,153.5,156.11,59876
2021-02-17,VMC,153.77,155.84,151.77,155.68,47160
2021-02-18,VMC,154.56,155.57,153.17,154.2,39143
2021-02-19,VMC,155.58,158.73,155.58,157.97,56334
2021-02-22,VMC,157.03,158.08,155.21,155.52,42157
2021-02-23,VMC,156.59,160.04,153.47,159.46,57248
2021-02-24,VMC,159.46,168.09,159.46,167.3,111996
2021-02-25,VMC,166.74,167.0,160.95,161.84,37058
2021-02-26,VMC,161.49,162.61,158.37,161.23,73761
2021-03-01,VMC,163.8,167.34,163.8,165.51,30750
2021-03-02,VMC,166.0,166.48,162.37,162.65,48675
2021-03-03,VMC,162.92,165.34,162.92,164.01,76790
2021-03-04,VMC,163.39,164.75,156.6,159.82,58396
2021-03-05,VMC,161.99,161.99,155.24,160.98,69028
2021-03-08,VMC,162.27,165.98,161.16,162.8,47684
2021-03-09,VMC,163.07,163.26,160.19,161.75,37711
2021-03-10,VMC,161.54,166.01,161.54,164.96,29185
2021-03-11,VMC,165.27,168.08,164.31,165.51,40976
2021-03-12,VMC,165.6,166.23,163.93,165.55,18180
2021-03-15,VMC,165.58,166.02,162.7,165.94,35939
2021-03-16,VMC,164.97,165.3,161.93,162.22,31117
2021-03-17,VMC,161.84,164.13,160.5,162.37,42293
2021-03-18,VMC,162.78,164.81,160.79,161.7,67974
2021-03-19,VMC,159.6,161.28,158.87,159.07,46133
2021-03-22,VMC,158.36,158.36,155.03,156.06,58531
2021-03-23,VMC,155.43,155.43,151.96,152.56,57767
2021-03-24,VMC,153.94,157.27,153.94,154.71,25867
2021-03-25,VMC,154.58,160.83,152.87,159.59,64809
2021-03-26,VMC,162.12,164.1,160.36,164.1,29874
2021-03-29,VMC,164.93,166.85,162.82,164.38,46841
2021-03-30,VMC,164.73,168.63,164.47,165.82,41920
2021-03-31,VMC,168.19,169.4,161.04,162.72,68341
2021-04-01,VMC,161.66,163.07,158.13,160.18,96994
2021-04-05,VMC,162.58,164.37,162.06,164.05,61648
2021-04-06,VMC,164.28,164.3,162.52,164.2,55734
2021-04-07,VMC,164.95,165.15,161.83,162.74,35231
2021-04-08,VMC,161.39,164.2,159.72,164.08,36042
2021-04-09,VMC,164.25,166.22,163.74,166.02,51499
2021-04-12,VMC,167.05,168.14,165.73,167.83,51209
2021-04-13,VMC,167.11,167.37,165.08,165.51,33117
2021-04-14,VMC,166.64,168.19,166.03,167.66,24857
2021-04-15,VMC,167.24,168.54,166.58,168.15,37802
2021-04-16,VMC,169.93,170.07,168.93,169.23,47508
2021-04-20,VMC,170.06,170.06,166.17,167.92,48673
2021-04-21,VMC,166.59,170.79,166.59,170.76,55324
2021-04-22,VMC,170.87,171.37,169.53,169.54,38259
2021-04-23,VMC,169.4,170.5,168.82,170.04,39010
2021-04-26,VMC,170.0,172.83,170.0,172.79,49306
2021-04-27,VMC,173.33,174.92,172.84,174.19,26110
2021-04-28,VMC,175.47,175.7,172.21,172.34,32526
2021-04-29,VMC,173.33,174.98,172.94,174.86,19092
2021-04-30,VMC,172.98,173.61,171.37,171.66,20290
2021-05-03,VMC,173.28,174.5,172.15,173.01,30133
2021-05-04,VMC,173.62,182.62,173.62,182.35,101068
2021-05-05,VMC,183.32,184.46,181.59,182.29,81893
2021-05-06,VMC,181.73,184.09,181.12,184.09,39471
2021-05-07,VMC,182.86,185.41,182.42,184.72,35956
2021-05-10,VMC,185.6,186.82,183.44,183.73,27966
2021-05-11,VMC,180.35,184.46,180.14,184.29,28473
2021-05-12,VMC,185.05,186.02,180.57,181.29,49626
2021-05-13,VMC,180.84,183.8,180.57,183.19,94707
2021-05-14,VMC,184.42,185.7,183.38,184.16,68028
2021-05-17,VMC,183.9,186.76,182.96,185.94,38993
2021-05-18,VMC,185.77,186.39,183.04,183.05,28118
2021-05-19,VMC,179.68,180.04,176.01,178.11,32048
2021-05-20,VMC,178.88,178.88,176.18,177.86,29453
2021-05-21,VMC,179.38,180.88,177.54,177.59,21902
2021-05-24,VMC,178.51,179.06,176.47,177.7,35819
2021-05-25,VMC,178.02,179.2,175.19,175.64,28993
2021-05-26,VMC,176.03,177.98,175.73,177.1,18856
2021-05-27,VMC,178.89,180.34,178.24,179.04,53146
2021-05-28,VMC,178.64,178.64,176.42,176.85,21700
2021-06-01,VMC,178.81,178.81,177.01,177.13,18233
2021-06-02,VMC,177.64,177.64,174.13,174.17,41738
2021-06-03,VMC,174.09,177.38,173.19,176.6,73429
2021-06-04,VMC,177.33,177.33,172.41,173.17,88096
2021-06-07,VMC,174.47,175.83,171.33,171.68,39296
