date,tic,open,high,low,close,volume
2021-01-04,VRSK,201.9,202.87,195.72,196.65,40519
2021-01-05,VRSK,197.49,197.49,193.83,195.39,20288
2021-01-06,VRSK,193.93,196.19,192.66,193.63,59849
2021-01-07,VRSK,194.79,196.54,193.12,194.52,33469
2021-01-08,VRSK,194.36,195.56,193.51,194.67,32758
2021-01-11,VRSK,194.24,194.44,191.21,191.69,28578
2021-01-12,VRSK,191.01,191.51,187.82,190.57,33671
2021-01-13,VRSK,190.71,192.27,189.79,190.66,43482
2021-01-14,VRSK,191.16,191.47,186.29,187.76,34973
2021-01-15,VRSK,186.83,187.06,182.86,184.01,46263
2021-01-19,VRSK,183.99,186.33,183.67,185.39,34211
2021-01-20,VRSK,185.98,189.62,185.21,188.67,49166
2021-01-21,VRSK,187.04,189.96,187.04,188.62,69341
2021-01-22,VRSK,188.14,188.64,186.16,186.88,24352
2021-01-25,VRSK,186.46,186.46,182.53,182.71,64881
2021-01-26,VRSK,181.97,184.38,180.14,182.57,61011
2021-01-27,VRSK,181.04,181.87,177.46,178.27,70144
2021-01-28,VRSK,177.63,183.36,177.25,180.59,55345
2021-01-29,VRSK,179.16,179.95,177.03,178.0,48431
2021-02-01,VRSK,178.35,181.1,178.05,180.22,28509
2021-02-02,VRSK,180.42,183.2,179.75,182.78,52646
2021-02-03,VRSK,181.95,182.4,179.82,181.17,23786
2021-02-04,VRSK,181.44,183.5,180.62,182.4,43664
2021-02-05,VRSK,182.85,183.42,181.35,181.35,20901
2021-02-08,VRSK,181.63,182.99,181.33,182.99,38186
2021-02-09,VRSK,183.44,185.07,183.32,184.47,17341
2021-02-10,VRSK,186.14,186.14,183.66,184.78,28615
2021-02-11,VRSK,185.47,185.71,182.95,183.33,21833
2021-02-12,VRSK,183.46,183.69,182.37,183.37,28496
2021-02-16,VRSK,182.92,184.34,182.3,182.31,24431
2021-02-17,VRSK,181.7,182.74,180.87,182.74,36140
2021-02-18,VRSK,182.64,186.66,182.64,186.08,41225
2021-02-19,VRSK,185.99,186.14,183.72,184.37,73738
2021-02-22,VRSK,183.33,183.84,180.23,180.42,61279
2021-02-23,VRSK,181.42,182.6,176.9,179.61,108536
2021-02-24,VRSK,170.44,172.36,161.93,162.21,192476
2021-02-25,VRSK,162.91,165.45,158.84,158.84,291099
2021-02-26,VRSK,159.02,159.74,157.08,158.58,77513
2021-03-01,VRSK,161.11,162.66,160.38,161.74,105222
2021-03-02,VRSK,161.07,161.79,159.16,161.23,76003
2021-03-03,VRSK,159.56,160.86,158.48,159.72,92457
2021-03-04,VRSK,158.79,159.33,154.79,156.48,141388
2021-03-05,VRSK,157.84,163.2,156.02,162.82,72611
2021-03-08,VRSK,164.25,167.97,163.33,166.24,118234
2021-03-09,VRSK,171.46,171.72,168.64,169.0,69324
2021-03-10,VRSK,170.56,170.9,168.82,169.4,62144
2021-03-11,VRSK,169.98,169.98,166.28,167.76,39010
2021-03-12,VRSK,164.37,167.45,164.37,166.6,29275
2021-03-15,VRSK,165.88,169.4,165.88,169.31,50783
2021-03-16,VRSK,170.49,170.72,167.55,167.97,28949
2021-03-17,VRSK,168.24,168.24,165.83,166.79,34491
2021-03-18,VRSK,166.05,166.05,163.37,165.55,84910
2021-03-19,VRSK,166.13,167.22,165.39,166.76,57592
2021-03-22,VRSK,166.11,170.04,166.11,169.68,60635
2021-03-23,VRSK,170.96,172.97,168.96,172.27,180892
2021-03-24,VRSK,172.48,173.16,170.7,171.66,145666
2021-03-25,VRSK,171.61,171.61,169.4,169.53,41654
2021-03-26,VRSK,169.15,173.36,168.85,173.29,35463
2021-03-29,VRSK,172.18,175.83,172.16,174.98,31055
2021-03-30,VRSK,174.18,174.44,170.18,170.67,53113
