date,tic,open,high,low,close,volume
2021-01-04,VRTX,237.705,237.705,226.32,229.775,152358
2021-01-05,VRTX,229.355,229.87,225.12,228.73,80504
2021-01-06,VRTX,225.1,227.43,222.5,226.68,127776
2021-01-07,VRTX,227.33,233.96,227.33,232.94,104701
2021-01-08,VRTX,233.46,237.57,233.46,237.22,78034
2021-01-11,VRTX,236.25,236.3,227.68,234.765,87979
2021-01-12,VRTX,234.73,238.2,228.74,229.39,92887
2021-01-13,VRTX,230.21,230.33,226.96,227.095,105751
2021-01-14,VRTX,228.395,228.395,224.82,226.135,85172
2021-01-15,VRTX,227.33,227.335,224.6,225.53,200041
2021-01-19,VRTX,227.165,233.835,223.66,231.99,107030
2021-01-20,VRTX,233.06,239.34,231.38,236.8,112510
2021-01-21,VRTX,236.825,239.71,233.5,238.7,98501
2021-01-22,VRTX,237.72,241.57,237.63,237.785,56752
2021-01-25,VRTX,240.99,242.93,239.385,241.05,88143
2021-01-26,VRTX,240.43,241.74,236.27,237.68,94041
2021-01-27,VRTX,233.615,233.9,224.8,225.24,127175
2021-01-28,VRTX,226.57,234.825,226.57,230.14,96757
2021-01-29,VRTX,229.69,232.8,227.58,228.9,151968
2021-02-01,VRTX,231.0,232.325,226.345,231.79,179883
2021-02-02,VRTX,225.955,227.72,216.18,217.18,472935
2021-02-03,VRTX,217.69,218.63,211.065,211.095,224822
2021-02-04,VRTX,212.97,214.79,211.695,213.75,149085
2021-02-05,VRTX,214.55,217.54,212.32,215.22,157958
2021-02-08,VRTX,217.49,218.22,213.64,214.45,84202
2021-02-09,VRTX,214.7,215.56,212.58,213.86,67053
2021-02-10,VRTX,216.3,216.3,212.07,212.35,106951
2021-02-11,VRTX,212.47,212.65,209.72,210.51,137745
2021-02-12,VRTX,210.82,214.36,210.22,214.12,82620
2021-02-16,VRTX,213.8,214.24,208.64,210.36,125692
2021-02-17,VRTX,208.72,214.9,208.58,214.6,103319
2021-02-18,VRTX,213.56,213.75,209.615,209.96,132022
2021-02-19,VRTX,211.42,211.5,206.8,207.04,83756
2021-02-22,VRTX,206.46,216.12,204.74,215.13,161306
