date,tic,open,high,low,close,volume
2021-01-04,VTR,41.64,41.64,39.72,39.75,113558
2021-01-05,VTR,39.95,40.62,39.77,40.19,64093
2021-01-06,VTR,40.44,41.59,40.3,41.04,99621
2021-01-07,VTR,40.49,40.75,39.58,40.25,76428
2021-01-08,VTR,39.86,40.13,39.35,39.99,58806
2021-01-11,VTR,39.84,40.02,38.91,39.2,60538
2021-01-12,VTR,39.35,39.86,39.03,39.64,92482
2021-01-13,VTR,40.0,40.96,39.91,40.8,47191
2021-01-14,VTR,41.14,41.46,40.82,41.09,62479
2021-01-15,VTR,40.87,41.83,40.63,41.57,77814
2021-01-19,VTR,41.28,41.37,39.91,40.53,263532
2021-01-20,VTR,39.97,41.81,39.97,41.35,209482
2021-01-21,VTR,41.05,41.27,40.23,41.24,97808
2021-01-22,VTR,40.92,41.92,40.74,41.68,119053
2021-01-25,VTR,41.41,42.22,40.54,40.66,116810
2021-01-26,VTR,41.13,41.41,39.8,40.08,116535
2021-01-27,VTR,39.51,39.93,38.55,39.01,153859
2021-01-28,VTR,39.07,41.1,38.98,40.03,89433
2021-01-29,VTR,39.31,40.17,38.63,39.13,107848
2021-02-01,VTR,39.52,40.47,39.15,40.32,179583
2021-02-02,VTR,40.08,41.09,40.05,40.1,81774
2021-02-03,VTR,39.41,40.58,39.07,40.44,96275
2021-02-04,VTR,40.86,41.49,40.86,41.12,72347
2021-02-05,VTR,41.31,41.45,40.96,41.11,44978
2021-02-08,VTR,41.06,41.07,40.65,40.83,70765
2021-02-09,VTR,40.75,41.04,40.43,40.94,54248
2021-02-10,VTR,41.27,42.71,41.27,42.1,86932
2021-02-11,VTR,42.02,43.09,41.98,43.08,90778
2021-02-12,VTR,43.09,43.1,42.34,43.04,57794
2021-02-16,VTR,42.91,43.32,42.51,42.71,67927
2021-02-17,VTR,42.64,43.29,42.39,42.91,74501
2021-02-18,VTR,42.18,43.89,42.18,43.74,158835
2021-02-19,VTR,43.54,44.68,43.5,44.48,110273
2021-02-22,VTR,44.22,46.43,44.06,45.95,113434
2021-02-23,VTR,46.45,46.73,45.67,46.32,116940
2021-02-24,VTR,46.36,47.57,46.03,47.44,115524
2021-02-25,VTR,47.58,47.88,45.44,45.8,63597
2021-02-26,VTR,45.54,46.53,44.88,44.9,122825
2021-03-01,VTR,45.64,46.13,44.72,44.77,99200
2021-03-02,VTR,44.65,45.16,44.08,44.95,68208
2021-03-03,VTR,44.97,45.42,44.53,45.1,74447
2021-03-04,VTR,45.15,46.22,44.7,45.27,121453
2021-03-05,VTR,45.73,47.04,45.02,46.8,141650
2021-03-08,VTR,46.91,48.59,46.78,48.2,77306
2021-03-09,VTR,48.29,48.96,47.84,47.91,104510
2021-03-10,VTR,47.84,49.03,47.39,48.48,160277
2021-03-11,VTR,48.18,48.68,47.66,47.7,124854
2021-03-12,VTR,48.19,48.19,47.45,47.96,187401
2021-03-15,VTR,48.04,48.43,47.5,48.12,152018
2021-03-16,VTR,47.94,48.12,46.67,47.41,70922
2021-03-17,VTR,47.44,48.46,47.44,48.46,101117
