date,tic,open,high,low,close,volume
2021-01-04,WAB,71.53,72.15,70.35,70.63,97864
2021-01-05,WAB,70.35,72.55,70.35,71.47,57129
2021-01-06,WAB,72.89,77.53,72.62,76.94,89221
2021-01-07,WAB,77.37,79.92,77.04,79.65,89971
2021-01-08,WAB,80.41,80.41,78.42,78.93,46486
2021-01-11,WAB,78.89,79.63,78.6,79.45,61578
2021-01-12,WAB,79.71,81.87,79.17,81.34,62090
2021-01-13,WAB,81.27,81.94,79.97,80.21,41394
2021-01-14,WAB,80.83,81.53,80.25,81.37,57437
2021-01-15,WAB,80.49,80.49,78.41,79.66,62066
2021-01-19,WAB,80.28,81.24,79.35,79.38,88169
2021-01-20,WAB,79.85,79.85,78.75,79.09,34214
2021-01-21,WAB,79.43,79.43,78.18,78.67,44720
2021-01-22,WAB,77.6,78.53,77.6,78.23,51453
2021-01-25,WAB,77.5,78.34,76.77,76.87,66103
2021-01-26,WAB,77.27,77.85,74.53,74.71,60268
2021-01-27,WAB,73.22,73.74,71.46,72.44,72393
2021-01-28,WAB,72.82,74.17,72.45,72.8,63847
2021-01-29,WAB,72.18,73.38,71.43,72.13,40282
2021-02-01,WAB,72.97,74.34,72.75,74.13,50747
2021-02-02,WAB,75.1,76.92,74.69,76.07,63096
2021-02-03,WAB,75.63,77.2,75.33,76.94,38232
2021-02-04,WAB,77.54,78.83,77.31,78.27,50201
2021-02-05,WAB,78.76,79.06,77.72,78.29,39593
2021-02-08,WAB,78.75,80.43,78.55,80.3,72044
2021-02-09,WAB,79.96,80.22,78.95,79.63,71095
2021-02-10,WAB,79.52,81.63,79.52,80.7,133250
2021-02-11,WAB,80.42,80.42,77.25,78.93,87538
2021-02-12,WAB,78.44,78.51,77.41,78.45,46416
2021-02-16,WAB,79.54,79.54,77.14,78.35,89139
2021-02-17,WAB,77.83,77.97,76.14,77.28,85451
2021-02-18,WAB,74.83,74.94,69.2,70.13,208266
2021-02-19,WAB,70.87,73.34,70.87,72.0,120914
2021-02-22,WAB,71.55,73.75,70.88,72.17,78515
2021-02-23,WAB,72.04,73.06,70.04,72.57,96579
2021-02-24,WAB,72.72,73.26,72.07,72.79,72552
2021-02-25,WAB,72.67,72.85,69.81,70.68,100454
2021-02-26,WAB,70.45,71.15,69.62,70.6,56798
2021-03-01,WAB,71.31,73.31,71.23,72.94,78797
2021-03-02,WAB,73.01,73.82,72.58,72.8,70179
2021-03-03,WAB,72.71,73.28,72.2,72.39,138636
2021-03-04,WAB,71.81,72.31,69.33,70.49,98380
2021-03-05,WAB,71.53,72.97,70.11,72.68,62153
2021-03-08,WAB,73.39,73.8,72.41,72.44,143780
2021-03-09,WAB,72.4,73.26,70.98,71.11,82697
2021-03-10,WAB,71.41,74.65,71.41,74.26,91955
2021-03-11,WAB,74.54,76.83,74.46,75.3,110162
2021-03-12,WAB,75.37,76.28,74.89,76.03,80048
2021-03-15,WAB,76.06,76.34,74.52,75.58,84876
2021-03-16,WAB,74.95,75.03,74.28,74.6,58562
2021-03-17,WAB,74.31,75.65,74.04,74.81,122245
2021-03-18,WAB,74.48,76.24,74.15,74.15,127727
2021-03-19,WAB,73.78,74.5,72.72,73.63,114178
2021-03-22,WAB,72.92,73.27,71.49,72.51,81778
2021-03-23,WAB,72.21,73.78,71.71,72.04,93164
2021-03-24,WAB,72.97,75.23,72.96,74.05,63217
2021-03-25,WAB,73.51,75.88,73.45,75.81,142383
2021-03-26,WAB,76.32,76.5,75.2,76.46,108041
2021-03-29,WAB,75.94,77.44,75.69,76.01,58738
2021-03-30,WAB,76.17,78.14,76.17,77.54,74778
2021-03-31,WAB,77.31,77.65,75.93,77.06,113632
2021-04-01,WAB,77.27,77.27,75.81,76.89,100178
2021-04-05,WAB,77.45,78.84,77.09,78.84,95120
2021-04-06,WAB,78.41,78.6,77.29,77.29,155245
2021-04-07,WAB,77.28,77.52,75.75,75.99,91461
2021-04-08,WAB,75.81,76.06,74.97,75.61,180080
2021-04-09,WAB,76.23,77.55,76.17,77.54,103538
2021-04-12,WAB,77.79,78.74,77.42,78.69,52407
2021-04-13,WAB,78.43,78.43,76.81,77.09,31311
2021-04-14,WAB,77.11,78.93,77.11,78.66,68533
2021-04-15,WAB,78.39,78.69,77.83,78.52,54976
2021-04-16,WAB,79.44,79.44,78.31,78.48,58336
2021-04-20,WAB,78.89,79.12,77.48,78.48,132822
2021-04-21,WAB,77.92,80.94,77.92,80.8,87348
2021-04-22,WAB,80.88,82.7,80.46,81.55,131273
2021-04-23,WAB,81.82,83.42,81.82,83.18,59311
2021-04-26,WAB,82.99,83.32,82.09,82.27,90966
2021-04-27,WAB,82.17,82.95,82.01,82.72,70837
2021-04-28,WAB,82.65,83.78,82.41,83.35,74294
2021-04-29,WAB,83.99,84.13,80.24,81.5,183378
2021-04-30,WAB,81.13,82.36,79.21,79.8,160228
2021-05-03,WAB,80.9,81.52,78.77,78.86,99644
2021-05-04,WAB,78.65,79.34,77.77,79.16,135382
2021-05-05,WAB,79.06,79.37,78.49,78.98,98173
2021-05-06,WAB,79.28,79.72,78.82,79.62,66206
2021-05-07,WAB,78.67,80.05,78.66,79.87,72371
2021-05-10,WAB,80.44,80.5,78.83,78.83,79429
2021-05-11,WAB,77.92,78.89,76.75,77.32,61120
2021-05-12,WAB,77.72,77.92,75.54,75.81,57620
2021-05-13,WAB,75.79,77.47,75.79,76.95,45997
2021-05-14,WAB,77.87,79.12,77.48,78.56,40454
2021-05-17,WAB,78.17,78.83,77.67,78.4,39525
2021-05-18,WAB,78.46,78.78,77.1,77.14,107993
2021-05-19,WAB,75.45,76.4,75.07,76.06,58665
2021-05-20,WAB,75.93,76.59,75.0,76.37,54239
2021-05-21,WAB,76.84,78.01,76.64,77.9,65110
2021-05-24,WAB,78.3,79.01,77.75,78.89,42385
2021-05-25,WAB,79.54,80.23,78.86,79.08,46919
2021-05-26,WAB,78.99,79.41,78.29,79.37,27656
2021-05-27,WAB,80.67,81.24,80.08,80.54,30915
2021-05-28,WAB,80.09,80.7,79.54,80.7,23223
2021-06-01,WAB,81.56,82.18,80.98,82.14,38030
2021-06-02,WAB,81.76,82.56,81.56,81.84,40369
2021-06-03,WAB,81.38,81.78,80.33,80.6,33325
2021-06-04,WAB,80.9,81.01,80.33,80.73,35392
2021-06-07,WAB,80.75,81.15,80.08,80.28,24140
2021-06-08,WAB,80.33,80.58,79.65,80.31,34332
2021-06-09,WAB,80.33,80.33,79.35,79.39,33780
2021-06-10,WAB,80.12,80.12,79.23,79.27,28292
2021-06-11,WAB,79.53,79.89,78.92,79.56,47575
2021-06-14,WAB,79.43,79.43,78.0,78.66,55621
2021-06-15,WAB,79.03,79.09,77.53,78.4,43810
2021-06-16,WAB,77.87,78.9,77.86,78.06,27028
2021-06-17,WAB,78.3,78.36,74.73,75.84,108499
2021-06-18,WAB,74.41,76.14,74.39,75.69,143471
2021-06-21,WAB,76.6,77.71,76.44,77.49,150091
2021-06-22,WAB,77.28,79.25,77.26,78.92,184987
2021-06-23,WAB,79.3,80.31,79.11,79.11,68595
2021-06-24,WAB,79.45,81.65,79.34,81.41,58200
2021-06-25,WAB,81.68,82.11,80.73,80.84,31659
2021-06-28,WAB,80.33,80.5,79.81,79.98,44263
2021-06-29,WAB,80.07,80.52,79.16,79.27,31546
2021-06-30,WAB,79.24,80.32,79.1,80.24,59443
2021-07-01,WAB,81.42,81.47,79.77,79.81,118897
2021-07-02,WAB,79.63,79.79,78.84,79.48,64623
2021-07-06,WAB,79.25,79.25,77.08,78.29,109869
2021-07-07,WAB,77.95,79.29,77.28,79.14,38102
2021-07-08,WAB,78.15,78.7,76.74,78.12,73054
2021-07-09,WAB,79.47,80.9,79.47,80.8,66611
2021-07-12,WAB,79.96,81.38,79.96,80.87,31054
2021-07-13,WAB,80.74,81.25,80.72,80.79,33912
2021-07-14,WAB,81.43,81.65,79.91,80.43,41339
2021-07-15,WAB,79.6,81.59,79.54,80.27,47421
2021-07-16,WAB,80.77,80.84,79.36,79.64,57589
2021-07-19,WAB,77.63,77.72,75.68,76.21,94432
2021-07-20,WAB,76.69,80.15,76.25,79.79,75607
2021-07-21,WAB,79.77,80.73,79.77,80.52,30596
2021-07-22,WAB,80.36,80.39,79.14,79.62,41670
2021-07-23,WAB,80.03,80.12,79.15,79.73,38197
2021-07-26,WAB,79.48,80.42,79.26,80.03,62483
2021-07-27,WAB,79.16,80.48,78.92,79.97,80283
2021-07-28,WAB,80.36,81.57,79.86,81.18,78898
2021-07-29,WAB,82.12,83.38,80.57,82.89,157601
2021-07-30,WAB,82.83,82.88,81.45,82.76,35042
2021-08-02,WAB,83.42,85.13,81.33,81.51,41411
2021-08-03,WAB,81.34,83.67,80.99,83.35,46153
2021-08-04,WAB,82.82,83.95,82.67,82.7,33356
2021-08-05,WAB,83.9,84.35,83.34,83.95,75246
2021-08-06,WAB,84.33,84.61,83.61,83.93,92387
2021-08-09,WAB,83.4,84.82,83.37,84.55,55010
2021-08-10,WAB,84.51,85.82,84.09,85.55,61663
2021-08-11,WAB,85.44,87.29,85.42,87.27,40173
2021-08-12,WAB,87.23,87.23,86.02,86.89,20800
2021-08-13,WAB,86.76,86.88,86.0,86.83,18046
2021-08-16,WAB,86.13,87.38,85.88,86.85,41079
2021-08-17,WAB,86.23,86.97,85.4,86.36,33251
2021-08-18,WAB,85.64,86.66,85.55,85.78,30936
2021-08-19,WAB,85.12,86.13,83.36,83.36,67697
2021-08-20,WAB,83.48,84.15,83.14,83.66,111263
2021-08-23,WAB,84.49,85.58,84.32,85.36,211352
2021-08-24,WAB,85.84,86.31,84.98,85.07,344427
2021-08-25,WAB,85.14,85.8,85.04,85.56,343493
2021-08-26,WAB,85.84,86.58,85.22,86.03,159805
2021-08-27,WAB,87.02,88.43,86.91,87.97,37890
2021-08-30,WAB,88.16,88.29,87.47,87.49,67003
2021-08-31,WAB,87.6,87.78,86.73,87.74,48718
2021-09-01,WAB,87.79,87.85,85.94,86.59,50470
2021-09-02,WAB,87.02,88.73,87.02,88.45,48980
2021-09-03,WAB,88.89,88.89,87.83,88.04,18018
2021-09-07,WAB,87.89,88.08,86.16,86.53,57995
2021-09-08,WAB,86.4,87.07,85.53,87.07,33117
2021-09-09,WAB,87.03,87.92,86.77,87.19,43741
2021-09-10,WAB,88.1,88.1,86.96,87.14,51418
2021-09-13,WAB,87.98,88.59,87.45,88.21,130462
2021-09-14,WAB,88.73,88.73,86.94,87.28,49981
2021-09-15,WAB,87.35,88.73,87.35,88.44,38542
2021-09-16,WAB,88.54,88.63,86.55,86.55,50441
2021-09-17,WAB,86.04,86.04,84.89,85.39,57190
2021-09-20,WAB,83.47,84.5,82.58,84.33,51742
2021-09-21,WAB,84.8,84.8,83.08,83.77,40577
2021-09-22,WAB,84.34,85.8,84.34,84.77,21052
2021-09-23,WAB,86.23,87.83,86.23,87.26,45183
2021-09-24,WAB,87.03,87.54,86.78,87.32,16744
2021-09-27,WAB,87.58,88.67,87.35,87.96,35052
2021-09-28,WAB,87.86,88.18,86.36,86.38,62569
2021-09-29,WAB,86.74,86.74,85.5,85.99,58666
