date,tic,open,high,low,close,volume
2021-01-04,WDC,37.31,37.53,35.33,35.44,234810
2021-01-05,WDC,35.76,36.64,35.76,36.01,140248
2021-01-06,WDC,36.0,36.94,35.75,36.28,141212
2021-01-07,WDC,36.65,37.58,36.6,37.16,216359
2021-01-08,WDC,37.51,37.6,34.81,35.17,250443
2021-01-11,WDC,34.53,35.42,34.43,35.01,139011
2021-01-12,WDC,35.06,35.07,33.77,33.88,152227
2021-01-13,WDC,33.6,33.75,33.01,33.57,176102
2021-01-14,WDC,33.64,34.67,33.24,34.19,143498
2021-01-15,WDC,34.02,35.36,33.96,34.73,176901
2021-01-19,WDC,34.89,35.38,34.42,35.29,124439
2021-01-20,WDC,35.62,35.87,34.9,35.2,90014
2021-01-21,WDC,35.23,36.5,35.23,36.32,113574
2021-01-22,WDC,35.36,35.47,34.05,34.42,250172
2021-01-25,WDC,34.41,34.85,34.07,34.81,97066
2021-01-26,WDC,35.19,35.69,34.95,35.37,164675
2021-01-27,WDC,34.62,37.61,34.51,36.08,270637
2021-01-28,WDC,36.29,36.5,35.35,35.79,192586
2021-01-29,WDC,39.69,41.18,37.43,38.38,741954
2021-02-01,WDC,38.6,39.34,38.37,39.08,215407
2021-02-02,WDC,39.79,40.03,39.05,39.32,151715
2021-02-03,WDC,39.4,39.83,38.89,39.19,145844
2021-02-04,WDC,39.52,40.3,39.43,40.22,202863
2021-02-05,WDC,40.45,40.92,40.23,40.58,111618
2021-02-08,WDC,40.73,42.3,40.73,42.18,249427
2021-02-09,WDC,42.23,42.41,41.74,41.86,71073
2021-02-10,WDC,42.21,42.55,40.62,40.94,237987
2021-02-11,WDC,42.5,43.93,42.13,43.39,439744
2021-02-12,WDC,43.55,45.17,43.36,44.5,276729
2021-02-16,WDC,46.16,46.32,44.4,45.25,317574
2021-02-17,WDC,44.87,46.68,44.64,45.74,211791
2021-02-18,WDC,45.19,47.32,45.19,46.62,310018
2021-02-19,WDC,47.95,47.95,46.0,46.76,174817
2021-02-22,WDC,46.14,47.13,46.01,46.03,122109
2021-02-23,WDC,44.67,45.74,42.8,45.65,173449
2021-02-24,WDC,46.26,48.24,45.72,47.9,296064
2021-02-25,WDC,47.61,47.97,45.57,46.07,155583
2021-02-26,WDC,46.27,47.72,45.8,46.6,164166
2021-03-01,WDC,47.84,49.52,47.55,49.06,281269
2021-03-02,WDC,48.79,49.24,47.18,47.19,154203
2021-03-03,WDC,47.42,48.95,46.6,47.3,210543
2021-03-04,WDC,46.92,46.96,42.54,43.09,392837
2021-03-05,WDC,46.0,47.05,43.88,46.21,438975
2021-03-08,WDC,47.32,48.31,46.73,46.76,355515
2021-03-09,WDC,47.57,47.97,46.73,47.05,299900
2021-03-10,WDC,47.2,47.45,45.14,45.2,242837
2021-03-11,WDC,46.41,47.08,45.9,46.62,203943
2021-03-12,WDC,46.16,47.17,45.86,46.45,129048
2021-03-15,WDC,46.54,46.54,45.2,46.53,146065
2021-03-16,WDC,47.33,48.73,47.07,47.34,187314
2021-03-17,WDC,47.0,48.54,47.0,48.4,206231
2021-03-18,WDC,47.87,48.98,46.73,46.94,254982
2021-03-19,WDC,47.57,49.22,47.1,47.94,336622
2021-03-22,WDC,48.37,48.45,47.37,47.77,151074
2021-03-23,WDC,47.68,47.82,43.94,44.42,336497
2021-03-24,WDC,45.17,45.41,43.17,43.27,410340
2021-03-25,WDC,42.3,43.69,41.91,43.47,167974
2021-03-26,WDC,44.35,45.69,44.07,45.67,134993
2021-03-29,WDC,45.59,46.09,44.17,44.39,197645
2021-03-30,WDC,44.37,44.66,43.79,44.32,91138
2021-03-31,WDC,44.39,45.67,43.95,45.3,189292
2021-04-01,WDC,47.94,48.59,47.04,48.46,450470
2021-04-05,WDC,48.66,49.24,47.97,48.91,227471
2021-04-06,WDC,48.26,49.56,47.99,49.41,201464
2021-04-07,WDC,49.66,50.64,48.82,49.03,178613
2021-04-08,WDC,49.66,50.03,48.76,49.52,181424
2021-04-09,WDC,49.38,49.68,48.99,49.45,107308
2021-04-12,WDC,49.26,49.37,48.31,48.47,149668
2021-04-13,WDC,48.39,48.41,47.31,47.37,118369
2021-04-14,WDC,47.13,47.75,46.58,46.63,192483
2021-04-15,WDC,47.12,47.2,46.35,46.63,174936
2021-04-16,WDC,46.93,47.84,46.73,46.76,151458
2021-04-19,WDC,46.8,47.36,45.86,46.31,170607
2021-04-20,WDC,46.33,46.67,45.77,46.16,119075
2021-04-21,WDC,45.77,47.15,45.47,47.13,119154
2021-04-22,WDC,47.17,47.19,44.77,44.97,236631
2021-04-23,WDC,45.44,46.43,44.83,46.24,152385
2021-04-26,WDC,46.9,48.86,46.86,48.5,222578
2021-04-27,WDC,48.82,49.29,48.2,49.2,142819
2021-04-28,WDC,49.04,49.33,47.65,48.03,276270
2021-04-29,WDC,48.53,48.76,47.34,48.3,380932
2021-04-30,WDC,49.54,50.69,47.36,47.93,574437
2021-05-03,WDC,48.4,48.7,47.04,47.59,216633
