date,tic,open,high,low,close,volume
2021-01-04,WEC,77.75,77.88,76.22,76.46,140196
2021-01-05,WEC,76.63,76.75,75.31,76.29,114678
2021-01-06,WEC,76.12,77.64,75.66,77.23,70953
2021-01-07,WEC,77.32,77.32,74.59,74.68,72718
2021-01-08,WEC,74.87,75.08,73.59,74.36,57287
2021-01-11,WEC,74.41,74.43,72.85,73.62,31370
2021-01-12,WEC,72.9,73.19,71.49,72.16,62449
2021-01-13,WEC,72.79,74.71,72.42,74.41,70626
2021-01-14,WEC,74.39,74.39,72.88,73.53,74373
2021-01-15,WEC,73.44,75.27,73.34,75.08,56251
2021-01-19,WEC,75.47,75.47,74.22,74.4,39493
2021-01-20,WEC,74.25,75.12,73.93,74.8,38069
2021-01-21,WEC,74.48,74.67,73.95,74.32,52137
2021-01-22,WEC,74.28,74.28,73.51,73.97,39469
2021-01-25,WEC,73.95,76.06,73.66,75.7,70197
2021-01-26,WEC,75.48,75.8,74.21,75.61,29728
2021-01-27,WEC,75.14,78.73,74.96,76.86,182711
2021-01-28,WEC,76.74,78.12,75.75,75.75,99578
2021-01-29,WEC,75.41,76.2,74.83,75.26,44463
2021-02-01,WEC,75.42,75.81,74.53,74.96,44167
2021-02-02,WEC,74.95,75.62,74.12,74.32,69851
2021-02-03,WEC,74.2,74.38,73.44,73.81,89364
2021-02-04,WEC,73.74,74.64,72.88,73.47,109119
2021-02-05,WEC,73.74,74.56,73.21,73.54,93056
2021-02-08,WEC,73.37,73.48,72.0,72.05,49553
2021-02-09,WEC,72.51,72.61,71.28,72.37,24938
2021-02-10,WEC,72.9,73.54,71.97,72.65,59143
2021-02-11,WEC,72.56,72.74,71.53,71.63,76483
2021-02-12,WEC,71.56,71.6,70.34,70.88,56060
2021-02-16,WEC,70.33,70.56,69.0,69.22,116373
2021-02-17,WEC,69.51,70.1,69.37,70.01,47490
2021-02-18,WEC,70.16,71.51,70.0,71.18,145023
2021-02-19,WEC,71.5,71.55,70.61,71.03,112888
2021-02-22,WEC,71.03,71.07,69.43,70.0,92861
2021-02-23,WEC,70.73,72.19,70.56,71.71,165375
2021-02-24,WEC,71.33,71.33,69.9,69.93,77759
2021-02-25,WEC,69.87,70.04,68.81,69.77,81642
2021-02-26,WEC,69.79,71.47,68.81,68.81,149848
2021-03-01,WEC,69.72,71.76,69.66,70.66,99038
2021-03-02,WEC,70.75,71.05,69.77,70.84,72525
2021-03-03,WEC,70.34,70.62,68.89,70.17,79274
2021-03-04,WEC,70.33,72.23,70.03,70.16,80767
2021-03-05,WEC,70.36,72.58,70.28,72.09,65258
2021-03-08,WEC,72.08,74.11,72.08,73.67,67451
2021-03-09,WEC,73.74,74.35,73.72,74.02,77047
2021-03-10,WEC,73.64,75.09,73.64,74.41,68809
2021-03-11,WEC,74.13,74.94,73.88,74.17,32679
2021-03-12,WEC,74.19,75.74,74.14,75.48,39829
2021-03-15,WEC,75.87,76.51,75.47,75.91,71668
2021-03-16,WEC,75.73,76.04,75.45,75.88,40971
2021-03-17,WEC,75.56,75.85,74.55,74.6,67424
2021-03-18,WEC,74.75,75.24,73.33,75.11,68158
