date,tic,open,high,low,close,volume
2021-01-04,WELL,56.58,56.62,53.84,53.87,112449
2021-01-05,WELL,54.11,54.81,54.06,54.16,64138
2021-01-06,WELL,55.55,56.83,54.95,56.54,113995
2021-01-07,WELL,56.28,56.28,54.69,55.47,80756
2021-01-08,WELL,55.14,55.14,53.77,54.86,140964
2021-01-11,WELL,54.4,54.58,53.47,53.55,90543
2021-01-12,WELL,53.76,53.92,53.14,53.47,67266
2021-01-13,WELL,54.34,55.89,54.2,55.88,66431
2021-01-14,WELL,56.46,56.46,55.49,55.6,52749
2021-01-15,WELL,55.57,56.58,55.41,56.26,75027
2021-01-19,WELL,56.04,56.1,53.07,53.39,74452
2021-01-20,WELL,53.1,54.65,52.97,54.38,179270
2021-01-21,WELL,53.85,54.27,53.24,54.15,114200
2021-01-22,WELL,53.58,55.36,53.58,55.27,119308
2021-01-25,WELL,54.38,55.79,53.91,54.76,89239
2021-01-26,WELL,54.94,55.36,53.61,54.1,136159
2021-01-27,WELL,53.63,53.97,51.99,52.21,86517
2021-01-28,WELL,52.39,55.32,52.32,54.08,108648
2021-01-29,WELL,53.43,53.99,52.17,52.99,114875
2021-02-01,WELL,53.61,54.73,52.41,54.71,96283
2021-02-02,WELL,54.28,55.16,54.17,54.43,77951
2021-02-03,WELL,53.54,54.57,52.7,54.36,93006
2021-02-04,WELL,54.51,56.04,54.37,55.97,162574
2021-02-05,WELL,56.12,56.79,55.89,56.0,62267
2021-02-08,WELL,55.84,55.87,55.14,55.33,52059
2021-02-09,WELL,55.63,55.63,54.67,55.29,79818
2021-02-10,WELL,55.32,57.88,55.05,56.89,172228
2021-02-11,WELL,56.8,58.5,56.47,58.23,170264
2021-02-12,WELL,58.06,59.16,57.87,59.08,171720
2021-02-16,WELL,59.23,59.42,58.09,58.77,193365
2021-02-17,WELL,58.43,59.17,57.51,58.9,84262
2021-02-18,WELL,59.03,59.83,58.68,59.7,130360
2021-02-19,WELL,59.82,60.8,59.62,60.42,130487
2021-02-22,WELL,60.46,63.09,60.37,61.71,182911
2021-02-23,WELL,62.34,62.77,61.46,62.39,133223
2021-02-24,WELL,62.69,65.08,62.69,65.07,237691
2021-02-25,WELL,64.71,65.4,61.76,62.09,144970
2021-02-26,WELL,62.05,62.33,60.02,60.02,198347
2021-03-01,WELL,61.09,62.38,60.47,60.47,145497
2021-03-02,WELL,60.81,60.85,59.52,60.56,104060
2021-03-03,WELL,60.16,61.42,60.06,60.94,107441
2021-03-04,WELL,61.19,62.15,60.26,61.53,175628
2021-03-05,WELL,61.92,62.35,60.54,62.06,140170
2021-03-08,WELL,62.78,64.71,61.77,63.8,96254
2021-03-09,WELL,63.92,64.63,63.42,64.3,137121
2021-03-10,WELL,64.25,65.48,63.27,65.4,116778
2021-03-11,WELL,65.09,66.44,64.58,64.81,122961
2021-03-12,WELL,65.31,65.41,64.25,65.41,132832
2021-03-15,WELL,65.91,66.14,64.82,65.83,54084
2021-03-16,WELL,65.5,65.5,63.89,64.36,45369
2021-03-17,WELL,64.53,65.54,64.14,65.06,53548
2021-03-18,WELL,64.7,64.7,63.14,63.48,122787
2021-03-19,WELL,63.27,64.12,62.29,62.47,104399
2021-03-22,WELL,62.27,63.05,62.03,62.7,86430
2021-03-23,WELL,62.4,63.19,62.13,62.66,77500
2021-03-24,WELL,62.67,63.75,62.36,62.89,225255
2021-03-25,WELL,62.6,63.24,61.35,62.83,76870
2021-03-26,WELL,63.47,64.88,63.09,64.88,113449
2021-03-29,WELL,64.12,64.36,62.99,63.25,95213
2021-03-30,WELL,63.74,65.38,63.57,64.4,123955
2021-03-31,WELL,64.07,64.23,63.04,63.25,95911
2021-04-01,WELL,63.6,64.76,63.04,64.74,83157
2021-04-05,WELL,65.11,65.11,63.48,64.29,91011
2021-04-06,WELL,64.26,65.57,64.24,65.48,123591
