date,tic,open,high,low,close,volume
2021-01-04,WFC,26.95,27.11,26.21,26.44,542972
2021-01-05,WFC,26.81,27.57,26.6,27.22,995058
2021-01-06,WFC,28.5,29.4,28.34,29.12,2354765
2021-01-07,WFC,29.96,30.47,29.7,29.81,1549863
2021-01-08,WFC,29.95,29.98,29.12,29.57,529142
2021-01-11,WFC,29.02,29.9,28.81,29.63,583951
2021-01-12,WFC,30.3,30.76,30.0,30.24,1686034
2021-01-13,WFC,30.12,30.52,29.97,30.12,971337
2021-01-14,WFC,30.38,31.27,30.32,30.98,1860139
2021-01-15,WFC,29.49,29.83,28.36,28.54,1837942
2021-01-19,WFC,28.89,29.44,28.77,29.07,713971
2021-01-20,WFC,29.18,29.25,28.79,28.91,687035
2021-01-21,WFC,28.83,28.89,28.45,28.49,755820
2021-01-22,WFC,27.92,28.56,27.8,28.43,541342
2021-01-25,WFC,28.36,28.83,28.17,28.72,496771
2021-01-26,WFC,28.95,28.99,27.95,27.95,821123
2021-01-27,WFC,27.56,27.64,26.68,26.84,1155207
2021-01-28,WFC,27.19,27.66,27.01,27.46,659370
2021-01-29,WFC,27.44,27.78,26.58,26.59,836587
2021-02-01,WFC,26.86,26.89,26.45,26.72,618789
2021-02-02,WFC,27.14,27.79,27.11,27.4,989684
2021-02-03,WFC,27.36,28.31,27.28,28.25,832772
2021-02-04,WFC,28.48,29.36,28.45,29.2,1345532
2021-02-05,WFC,29.49,29.66,29.06,29.1,710848
2021-02-08,WFC,29.31,30.0,29.3,29.85,747566
2021-02-09,WFC,29.72,29.85,29.42,29.74,1177173
2021-02-10,WFC,29.95,30.11,29.58,29.68,557093
2021-02-11,WFC,29.6,29.79,28.94,29.24,504633
2021-02-12,WFC,29.23,30.04,29.23,29.96,769431
2021-02-16,WFC,30.46,31.22,30.39,31.09,1290353
2021-02-17,WFC,30.68,33.47,30.43,32.7,2058249
2021-02-18,WFC,32.6,33.38,32.35,33.03,878907
2021-02-19,WFC,33.19,33.82,33.11,33.82,1212817
2021-02-22,WFC,33.67,33.89,33.16,33.3,1267614
