date,tic,open,high,low,close,volume
2021-01-04,WMT,44.96,45.75,44.94,45.64,889560
2021-01-05,WMT,45.66,45.8,45.01,45.41,413829
2021-01-06,WMT,45.26,46.12,45.26,45.7,1015377
2021-01-07,WMT,45.89,46.02,45.5,45.68,813045
2021-01-08,WMT,45.76,45.76,45.43,45.67,1186383
2021-01-11,WMT,45.52,46.09,45.52,45.87,979728
2021-01-12,WMT,46.4,46.69,46.22,46.4,698748
2021-01-13,WMT,46.33,46.43,45.92,45.92,531276
2021-01-14,WMT,46.04,46.09,45.49,45.78,574188
2021-01-15,WMT,45.18,45.44,44.76,45.05,843942
2021-01-19,WMT,45.07,45.18,44.45,44.66,579246
2021-01-20,WMT,44.8,45.35,44.5,45.34,555447
2021-01-21,WMT,45.31,45.35,44.92,45.13,404403
2021-01-22,WMT,45.36,45.88,45.21,45.61,692232
2021-01-25,WMT,45.3,45.54,44.94,45.54,594753
2021-01-26,WMT,45.35,46.03,45.33,45.96,589077
2021-01-27,WMT,45.75,46.05,44.72,44.77,931707
2021-01-28,WMT,44.96,45.55,44.74,44.74,1037766
2021-01-29,WMT,44.64,44.77,43.72,43.76,1115079
2021-02-01,WMT,43.91,44.05,43.36,43.37,997767
2021-02-02,WMT,43.53,44.27,43.45,43.86,728757
2021-02-03,WMT,43.93,44.21,43.89,44.0,508701
2021-02-04,WMT,44.15,44.59,44.02,44.41,544170
2021-02-05,WMT,44.7,45.11,44.4,44.96,614070
2021-02-08,WMT,45.04,45.34,45.0,45.16,462339
2021-02-09,WMT,45.06,45.57,45.06,45.41,462789
2021-02-10,WMT,45.43,45.43,44.75,44.88,734817
2021-02-11,WMT,44.89,45.14,44.78,44.88,416055
2021-02-12,WMT,44.86,45.04,44.76,45.01,376221
2021-02-16,WMT,45.44,45.59,45.15,45.37,744669
2021-02-17,WMT,45.04,45.88,45.04,45.88,984372
2021-02-18,WMT,43.31,43.79,42.83,42.84,2944281
2021-02-19,WMT,42.92,43.42,42.89,43.09,844860
2021-02-22,WMT,42.9,43.08,42.44,42.89,651798
2021-02-23,WMT,42.66,42.78,42.07,42.2,745572
2021-02-24,WMT,42.32,42.4,41.44,41.5,1480059
2021-02-25,WMT,41.43,41.73,40.95,41.1,824001
2021-02-26,WMT,40.99,41.0,40.49,40.49,1365093
2021-03-01,WMT,41.01,41.29,40.85,40.93,1141635
2021-03-02,WMT,41.02,41.35,40.5,40.52,861006
2021-03-03,WMT,40.24,40.46,39.73,39.73,1586568
