date,tic,open,high,low,close,volume
2021-01-04,WRB,26.27,26.37,25.61,25.66,64318
2021-01-05,WRB,25.62,25.87,25.32,25.44,86323
2021-01-06,WRB,25.98,26.53,25.78,26.32,85601
2021-01-07,WRB,26.35,26.35,25.94,26.1,72191
2021-01-08,WRB,26.37,26.59,25.89,26.23,82305
2021-01-11,WRB,26.22,26.44,26.11,26.24,66685
2021-01-12,WRB,26.28,26.77,26.25,26.59,87959
2021-01-13,WRB,26.55,26.74,26.27,26.32,83297
2021-01-14,WRB,26.31,26.38,25.96,26.08,61265
2021-01-15,WRB,25.97,26.24,25.74,26.16,66289
2021-01-19,WRB,26.23,26.27,25.95,25.96,51633
2021-01-20,WRB,25.79,26.42,25.79,26.35,60923
2021-01-21,WRB,26.36,26.61,26.29,26.33,118181
2021-01-22,WRB,25.99,26.15,25.71,26.07,30498
2021-01-25,WRB,25.76,26.33,25.75,26.14,151337
2021-01-26,WRB,26.15,26.27,25.69,25.69,75062
2021-01-27,WRB,25.26,25.83,24.33,24.34,250818
2021-01-28,WRB,24.68,25.17,24.67,25.03,95877
2021-01-29,WRB,24.75,24.95,24.43,24.56,68467
2021-02-01,WRB,24.77,25.08,24.72,24.89,76520
2021-02-02,WRB,25.15,25.5,25.08,25.29,79987
2021-02-03,WRB,25.14,25.35,24.97,25.17,64253
2021-02-04,WRB,25.41,25.75,25.27,25.7,61760
2021-02-05,WRB,25.76,26.07,25.76,25.99,84615
2021-02-08,WRB,26.03,26.21,25.98,26.15,64804
2021-02-09,WRB,26.2,26.7,26.2,26.54,68805
2021-02-10,WRB,26.58,26.83,26.45,26.7,74045
2021-02-11,WRB,26.87,27.14,26.79,27.12,82779
2021-02-12,WRB,27.08,27.32,26.59,26.84,66496
2021-02-16,WRB,26.85,27.04,26.6,26.89,97611
2021-02-17,WRB,26.82,26.98,26.74,26.86,111386
2021-02-18,WRB,26.74,26.74,26.3,26.55,123401
2021-02-19,WRB,26.68,27.02,26.62,26.83,67277
2021-02-22,WRB,26.8,26.99,26.67,26.97,92990
2021-02-23,WRB,27.18,27.5,27.1,27.35,77915
2021-02-24,WRB,27.84,28.56,27.82,28.18,150963
2021-02-25,WRB,28.33,28.39,27.61,27.63,90319
2021-02-26,WRB,27.59,27.8,27.36,27.43,80743
2021-03-01,WRB,27.99,28.01,27.71,27.72,66417
2021-03-02,WRB,27.75,28.16,27.72,27.86,76857
2021-03-03,WRB,27.82,28.63,27.82,28.25,74166
2021-03-04,WRB,28.37,28.49,27.75,27.94,65547
2021-03-05,WRB,28.38,28.92,27.96,28.83,104474
2021-03-08,WRB,28.99,29.94,28.96,29.56,50130
2021-03-09,WRB,28.97,29.71,28.97,29.37,88929
2021-03-10,WRB,29.38,30.24,29.38,30.11,74324
2021-03-11,WRB,29.77,30.35,29.68,30.12,98732
2021-03-12,WRB,30.55,30.55,30.17,30.36,104917
2021-03-15,WRB,30.34,30.59,30.19,30.56,65972
2021-03-16,WRB,30.32,30.32,29.92,30.22,91102
2021-03-17,WRB,30.2,30.37,29.95,30.12,111528
2021-03-18,WRB,30.27,30.61,30.03,30.21,94227
2021-03-19,WRB,29.94,29.94,29.34,29.38,92207
2021-03-22,WRB,29.25,29.39,28.94,29.02,44412
2021-03-23,WRB,28.97,29.15,28.8,28.97,55032
2021-03-24,WRB,29.31,29.84,29.31,29.51,52530
2021-03-25,WRB,29.56,29.94,29.3,29.82,51538
2021-03-26,WRB,29.98,30.06,29.75,30.06,54312
2021-03-29,WRB,30.01,30.16,29.8,30.06,30064
2021-03-30,WRB,30.09,30.32,29.97,30.23,42421
2021-03-31,WRB,30.1,30.12,29.79,29.87,78108
2021-04-01,WRB,29.8,30.31,29.63,30.28,68580
2021-04-05,WRB,30.46,30.69,30.41,30.6,80237
2021-04-06,WRB,30.59,30.87,30.56,30.84,57062
2021-04-07,WRB,31.11,31.3,30.85,31.13,48143
2021-04-08,WRB,31.08,31.35,30.98,31.21,64962
2021-04-09,WRB,31.58,31.59,31.26,31.54,66341
2021-04-12,WRB,31.49,31.55,31.3,31.48,65909
2021-04-13,WRB,31.3,31.3,31.02,31.17,37644
2021-04-14,WRB,31.17,31.49,31.11,31.47,71259
2021-04-15,WRB,31.53,31.67,31.4,31.44,40808
2021-04-16,WRB,31.66,31.8,31.42,31.67,53149
2021-04-20,WRB,31.65,32.1,31.65,31.94,69646
2021-04-21,WRB,32.18,32.39,31.66,31.91,137270
2021-04-22,WRB,31.8,31.95,31.6,31.9,36528
2021-04-23,WRB,32.29,32.38,32.18,32.23,27902
2021-04-26,WRB,32.33,32.33,31.8,31.85,29841
2021-04-27,WRB,31.87,31.92,31.59,31.91,54157
2021-04-28,WRB,31.84,31.88,31.06,31.24,105345
2021-04-29,WRB,31.55,31.64,31.28,31.53,90909
2021-04-30,WRB,31.59,31.65,31.37,31.57,51662
2021-05-03,WRB,31.91,32.21,31.66,31.85,45146
2021-05-04,WRB,31.74,32.03,31.61,31.97,43600
2021-05-05,WRB,31.73,31.98,31.29,31.84,132462
2021-05-06,WRB,32.06,32.06,31.64,32.04,44214
2021-05-07,WRB,31.76,32.28,31.76,32.25,65805
2021-05-10,WRB,32.53,32.63,32.02,32.04,45290
2021-05-11,WRB,32.01,32.01,31.24,31.33,35016
2021-05-12,WRB,31.37,31.44,30.72,30.81,91858
2021-05-13,WRB,30.79,31.57,30.61,31.47,62385
2021-05-14,WRB,31.54,31.96,31.54,31.87,53484
2021-05-17,WRB,31.79,31.79,31.44,31.46,33594
2021-05-18,WRB,31.26,31.55,31.09,31.2,49594
2021-05-19,WRB,30.82,31.22,30.58,31.17,29297
2021-05-20,WRB,31.24,31.26,31.04,31.1,37867
2021-05-21,WRB,31.28,31.37,30.92,31.04,63229
2021-05-24,WRB,31.08,31.16,30.98,30.98,58149
2021-05-25,WRB,31.07,31.08,30.34,30.42,41535
2021-05-26,WRB,30.53,30.53,30.27,30.31,42275
2021-05-27,WRB,30.38,30.67,30.31,30.67,78633
2021-05-28,WRB,30.75,30.99,30.68,30.89,51633
2021-06-01,WRB,31.11,31.11,30.75,30.77,27400
2021-06-02,WRB,30.61,30.72,30.48,30.48,71410
2021-06-03,WRB,30.35,30.65,30.15,30.6,32762
2021-06-04,WRB,30.46,30.65,30.34,30.62,17199
2021-06-07,WRB,30.34,30.34,29.97,29.98,39260
2021-06-08,WRB,29.8,30.12,29.8,30.07,67293
2021-06-09,WRB,29.88,29.94,29.76,29.91,52809
2021-06-10,WRB,30.12,30.16,29.83,29.87,28752
2021-06-11,WRB,29.98,30.08,29.93,30.07,20385
2021-06-14,WRB,30.06,30.08,29.77,29.86,34753
2021-06-15,WRB,29.98,30.35,29.72,30.1,66858
2021-06-16,WRB,30.16,30.43,30.12,30.17,75460
2021-06-17,WRB,29.97,29.97,29.64,29.65,75966
2021-06-18,WRB,29.18,29.28,28.81,28.81,68613
2021-06-21,WRB,29.03,29.47,29.03,29.44,35772
2021-06-22,WRB,29.55,29.59,29.34,29.42,43398
2021-06-23,WRB,29.22,29.41,29.13,29.16,61260
2021-06-24,WRB,29.31,29.69,29.31,29.53,58551
2021-06-25,WRB,29.52,29.9,29.52,29.82,64741
2021-06-28,WRB,29.58,29.71,29.33,29.62,59557
2021-06-29,WRB,29.66,29.77,29.56,29.64,84300
2021-06-30,WRB,29.62,29.79,29.53,29.78,51637
2021-07-01,WRB,29.87,30.46,29.87,30.33,73332
2021-07-02,WRB,30.25,30.4,30.17,30.32,32672
2021-07-06,WRB,30.36,30.36,29.93,30.28,33250
2021-07-07,WRB,30.26,30.58,30.2,30.47,73381
2021-07-08,WRB,30.14,30.18,29.51,29.59,50323
2021-07-09,WRB,30.09,30.24,29.97,30.18,31851
2021-07-12,WRB,30.05,30.5,30.02,30.47,34681
2021-07-13,WRB,30.34,30.48,29.93,29.98,42543
2021-07-14,WRB,30.07,30.25,29.89,30.13,49304
2021-07-15,WRB,29.89,30.67,29.89,30.58,62354
2021-07-16,WRB,30.52,30.82,30.51,30.68,50562
2021-07-19,WRB,30.1,30.1,29.4,29.63,59244
2021-07-20,WRB,29.83,30.6,29.77,30.3,97465
2021-07-21,WRB,30.96,30.96,30.52,30.54,37671
2021-07-22,WRB,30.43,30.57,30.02,30.05,68922
2021-07-23,WRB,30.18,30.5,29.57,29.88,88123
2021-07-26,WRB,29.81,30.1,29.69,29.78,62874
2021-07-27,WRB,29.65,29.9,29.43,29.64,76119
2021-07-28,WRB,29.82,29.82,28.97,29.13,91622
2021-07-29,WRB,29.32,29.49,29.17,29.38,74673
2021-07-30,WRB,29.37,29.42,29.14,29.21,74864
2021-08-02,WRB,29.29,29.5,29.07,29.07,54398
2021-08-03,WRB,28.95,29.06,28.77,28.98,44271
2021-08-04,WRB,28.89,29.0,28.73,28.73,53208
2021-08-05,WRB,28.9,29.04,28.66,29.04,68834
2021-08-06,WRB,29.25,29.49,29.25,29.36,43884
2021-08-09,WRB,29.45,29.45,29.18,29.35,163262
2021-08-10,WRB,29.24,29.53,29.17,29.23,53041
2021-08-11,WRB,29.24,29.58,29.22,29.58,70317
