date,tic,open,high,low,close,volume
2021-01-04,WSM,46.38,48.03,44.87,46.85,211514
2021-01-05,WSM,46.63,47.66,46.31,47.32,129494
2021-01-06,WSM,46.96,48.99,46.96,48.57,212850
2021-01-07,WSM,48.89,49.75,48.78,49.3,91742
2021-01-08,WSM,49.67,50.08,48.33,49.03,75720
2021-01-11,WSM,48.71,51.5,48.71,50.57,153118
2021-01-12,WSM,51.01,53.75,51.01,53.74,215996
2021-01-13,WSM,54.06,56.3,54.06,54.47,226696
2021-01-14,WSM,54.61,57.18,54.45,56.85,275514
2021-01-15,WSM,56.78,56.91,55.35,56.77,165924
2021-01-19,WSM,57.65,57.76,56.14,56.8,128496
2021-01-20,WSM,57.93,58.47,57.17,58.41,148832
2021-01-21,WSM,58.92,59.92,57.83,57.84,143296
2021-01-22,WSM,57.49,60.39,57.49,60.37,119128
2021-01-25,WSM,60.81,66.83,60.03,60.49,411910
2021-01-26,WSM,60.75,62.97,59.47,62.24,175314
2021-01-27,WSM,61.8,68.81,61.33,67.41,426516
2021-01-28,WSM,65.32,68.8,60.89,61.17,413604
2021-01-29,WSM,60.63,61.69,58.46,58.83,366952
2021-02-01,WSM,58.2,59.21,55.91,57.21,270180
2021-02-02,WSM,57.39,57.52,55.03,57.38,203248
2021-02-03,WSM,58.09,58.91,57.3,57.83,202366
2021-02-04,WSM,57.96,58.35,57.12,58.35,113262
2021-02-05,WSM,58.88,59.14,58.15,58.82,107332
2021-02-08,WSM,58.55,59.56,58.16,58.7,130594
2021-02-09,WSM,58.4,59.22,58.2,58.93,83904
2021-02-10,WSM,59.42,59.42,56.92,57.96,139644
2021-02-11,WSM,58.16,59.37,57.96,58.23,115376
2021-02-12,WSM,57.04,58.59,57.03,57.8,155564
2021-02-16,WSM,58.15,58.5,56.67,57.02,193566
2021-02-17,WSM,57.2,57.2,56.02,56.76,125972
2021-02-18,WSM,55.93,58.4,55.35,58.14,126716
2021-02-19,WSM,58.24,59.95,58.2,59.27,140270
2021-02-22,WSM,59.0,59.69,57.65,58.21,154316
2021-02-23,WSM,56.94,58.86,54.13,58.76,240812
2021-02-24,WSM,59.11,59.11,56.84,58.9,217800
2021-02-25,WSM,58.97,60.89,58.35,58.48,219816
2021-02-26,WSM,58.97,60.64,58.62,59.89,129808
2021-03-01,WSM,61.1,62.39,60.44,61.71,135278
2021-03-02,WSM,62.11,63.87,61.34,61.9,194418
2021-03-03,WSM,62.0,62.78,59.98,60.51,174028
2021-03-04,WSM,60.1,60.29,56.34,57.57,208578
2021-03-05,WSM,58.06,58.5,54.86,58.39,184904
2021-03-08,WSM,58.29,60.9,58.22,59.91,90728
2021-03-09,WSM,60.14,61.0,58.96,58.96,140246
2021-03-10,WSM,59.76,60.58,58.97,60.51,192258
2021-03-11,WSM,61.61,62.4,60.79,61.37,166296
2021-03-12,WSM,60.97,62.19,60.79,61.62,89258
2021-03-15,WSM,62.21,64.06,62.17,62.5,189340
2021-03-16,WSM,62.91,63.98,62.32,63.19,122724
2021-03-17,WSM,62.64,63.53,61.41,62.16,282020
2021-03-18,WSM,72.47,76.51,70.12,73.75,489540
2021-03-19,WSM,74.65,81.09,74.65,79.66,483218
2021-03-22,WSM,80.27,82.71,79.2,82.17,278768
2021-03-23,WSM,81.97,83.9,81.45,82.38,164410
2021-03-24,WSM,81.62,81.8,74.63,75.68,305170
2021-03-25,WSM,75.05,79.69,75.05,78.6,254048
