date,tic,open,high,low,close,volume
2021-01-04,WST,281.48,285.89,276.72,282.05,28380
2021-01-05,WST,281.11,287.66,280.61,287.47,42365
2021-01-06,WST,285.25,290.96,284.01,290.8,28536
2021-01-07,WST,293.85,301.19,293.85,300.44,22589
2021-01-08,WST,303.17,308.1,300.93,303.82,34149
2021-01-11,WST,302.68,302.77,297.94,298.73,29204
2021-01-12,WST,298.79,298.89,293.87,294.85,33142
2021-01-13,WST,294.96,296.51,292.03,294.36,32999
2021-01-14,WST,294.54,297.17,293.29,294.75,28451
2021-01-15,WST,296.07,296.09,291.51,295.15,32556
2021-01-19,WST,300.32,300.32,294.14,296.43,24348
2021-01-20,WST,296.41,302.82,295.36,301.83,30754
2021-01-21,WST,297.76,297.83,294.49,296.31,46449
2021-01-22,WST,296.25,297.33,293.24,297.28,31521
2021-01-25,WST,300.62,305.38,294.82,296.57,27525
2021-01-26,WST,295.76,297.43,292.88,296.32,37418
2021-01-27,WST,291.13,294.46,287.09,289.38,62599
2021-01-28,WST,290.72,298.45,290.72,295.67,77800
2021-01-29,WST,295.76,302.91,293.84,295.96,50155
2021-02-01,WST,295.36,299.59,291.32,294.06,40432
2021-02-02,WST,295.83,299.1,291.34,291.46,27969
2021-02-03,WST,292.21,292.93,284.84,288.39,37577
2021-02-04,WST,289.09,291.99,286.01,286.99,51702
2021-02-05,WST,288.57,290.54,286.61,288.23,23918
2021-02-08,WST,289.34,293.64,289.34,290.55,22697
2021-02-09,WST,293.08,293.08,285.27,286.42,35426
2021-02-10,WST,286.46,291.12,286.46,288.95,20275
2021-02-11,WST,291.15,292.02,285.26,287.74,40435
2021-02-12,WST,286.6,290.73,286.33,290.67,27449
2021-02-16,WST,290.74,292.92,289.62,292.04,42665
2021-02-17,WST,291.25,292.55,287.49,289.94,38070
2021-02-18,WST,296.88,298.95,287.81,292.88,43984
2021-02-19,WST,294.7,294.7,276.43,278.09,65120
2021-02-22,WST,276.62,276.62,268.73,269.61,33271
2021-02-23,WST,264.28,272.18,263.99,271.22,56416
2021-02-24,WST,271.2,276.54,269.6,275.73,45727
2021-02-25,WST,276.68,278.04,272.44,274.72,33875
2021-02-26,WST,276.34,280.53,273.93,277.56,51234
2021-03-01,WST,280.73,282.21,278.68,279.67,34936
2021-03-02,WST,279.9,281.33,274.09,275.15,24407
2021-03-03,WST,272.76,272.76,264.55,264.67,44928
2021-03-04,WST,264.22,264.22,252.53,254.32,78820
2021-03-05,WST,255.13,259.5,251.05,259.15,37458
2021-03-08,WST,259.77,264.37,257.59,258.73,36077
2021-03-09,WST,267.19,270.83,264.64,264.64,20500
2021-03-10,WST,269.62,273.32,263.78,264.69,22911
2021-03-11,WST,266.76,270.48,265.75,269.82,26695
2021-03-12,WST,268.53,271.85,267.85,270.87,13788
2021-03-15,WST,272.2,273.3,268.63,272.15,24203
2021-03-16,WST,274.87,275.84,270.24,270.96,13143
2021-03-17,WST,269.9,272.82,268.18,271.63,33059
2021-03-18,WST,270.93,270.93,265.39,265.85,24007
2021-03-19,WST,267.62,276.21,267.41,273.79,34106
2021-03-22,WST,274.3,279.32,273.88,279.08,19818
2021-03-23,WST,279.01,282.31,278.88,279.89,20353
2021-03-24,WST,279.48,279.48,272.78,274.75,25173
2021-03-25,WST,272.36,273.15,266.59,271.75,47952
2021-03-26,WST,271.99,277.35,270.97,277.2,31197
2021-03-29,WST,274.79,279.48,272.45,277.23,25378
2021-03-30,WST,275.85,276.57,273.37,274.89,25080
2021-03-31,WST,275.3,280.78,274.16,278.54,23153
2021-04-01,WST,277.65,281.66,277.01,281.65,23016
2021-04-05,WST,283.74,287.0,282.06,286.25,25711
2021-04-06,WST,287.65,291.81,286.6,287.83,24382
2021-04-07,WST,286.36,288.33,285.7,285.94,12711
2021-04-08,WST,288.23,290.27,286.03,288.59,17291
2021-04-09,WST,289.43,293.02,288.18,293.02,11020
2021-04-12,WST,292.7,295.12,292.06,293.44,14838
2021-04-13,WST,295.46,303.19,295.46,302.7,10435
2021-04-14,WST,302.33,302.99,295.5,296.43,23784
2021-04-15,WST,300.02,307.77,300.02,307.35,17255
2021-04-16,WST,308.35,310.88,306.21,310.44,27076
2021-04-20,WST,315.56,316.18,312.75,315.83,19778
2021-04-21,WST,314.57,320.8,314.57,320.31,22578
2021-04-22,WST,322.85,322.85,316.12,318.29,17787
2021-04-23,WST,317.74,321.89,316.23,319.97,10862
2021-04-26,WST,320.24,321.32,318.53,318.79,17656
2021-04-27,WST,318.67,319.9,315.96,316.91,26879
2021-04-28,WST,317.25,320.39,315.98,319.14,16113
2021-04-29,WST,320.41,328.61,319.8,320.29,60548
2021-04-30,WST,320.77,326.81,320.77,325.48,60531
2021-05-03,WST,325.12,331.03,323.8,326.29,44643
2021-05-04,WST,323.81,325.46,321.02,325.44,53797
2021-05-05,WST,325.63,325.63,320.88,325.2,18658
2021-05-06,WST,325.31,325.5,321.68,325.31,14155
2021-05-07,WST,330.45,330.53,327.52,330.13,16135
2021-05-10,WST,329.46,332.08,327.15,330.31,23632
2021-05-11,WST,327.84,335.38,327.58,331.66,29989
2021-05-12,WST,327.31,328.0,320.43,321.16,34101
2021-05-13,WST,324.18,326.33,322.57,324.6,24613
2021-05-14,WST,325.97,330.49,323.93,329.62,10454
2021-05-17,WST,329.65,330.11,322.44,323.26,12433
2021-05-18,WST,321.87,325.85,321.87,323.77,20155
2021-05-19,WST,320.15,323.89,319.83,322.36,12395
2021-05-20,WST,321.51,329.94,321.51,328.81,19320
2021-05-21,WST,331.62,332.73,329.59,329.86,20012
2021-05-24,WST,331.18,335.99,331.18,335.79,7763
2021-05-25,WST,336.93,342.29,336.93,341.81,34267
2021-05-26,WST,342.71,343.34,339.78,340.49,12353
2021-05-27,WST,340.81,343.65,337.62,340.64,21073
2021-05-28,WST,343.07,345.07,341.33,343.4,18938
2021-06-01,WST,341.78,342.35,335.7,336.36,13972
2021-06-02,WST,337.09,337.09,329.53,330.02,17661
2021-06-03,WST,330.59,330.59,327.4,328.86,14261
2021-06-04,WST,331.41,333.4,329.3,329.82,9779
2021-06-07,WST,329.38,332.05,328.96,329.6,11724
2021-06-08,WST,331.81,331.81,325.0,326.37,9029
2021-06-09,WST,326.77,332.41,326.77,332.19,20807
2021-06-10,WST,334.01,339.97,334.01,339.97,17956
2021-06-11,WST,338.66,341.44,337.0,341.44,12720
2021-06-14,WST,339.95,340.8,337.51,340.8,16648
2021-06-15,WST,340.39,341.46,339.26,340.67,9864
2021-06-16,WST,342.1,344.51,339.67,342.04,27545
2021-06-17,WST,340.8,348.63,340.25,348.42,21540
2021-06-18,WST,347.27,349.87,346.49,348.5,21501
2021-06-21,WST,348.86,353.95,347.73,353.38,11048
2021-06-22,WST,352.54,356.99,352.54,356.44,10589
2021-06-23,WST,355.34,357.3,354.83,354.84,33201
2021-06-24,WST,356.46,357.36,355.27,355.35,14531
2021-06-25,WST,354.39,356.82,354.14,356.11,20041
2021-06-28,WST,356.96,360.11,355.68,359.14,15235
2021-06-29,WST,358.61,359.78,355.82,355.82,34661
2021-06-30,WST,355.53,356.26,353.4,355.03,46610
2021-07-01,WST,356.0,358.96,355.59,358.73,38630
2021-07-02,WST,358.39,361.73,357.37,361.37,21265
2021-07-06,WST,362.66,364.97,361.99,364.67,15029
2021-07-07,WST,368.0,369.26,364.6,368.53,22133
2021-07-08,WST,364.0,370.79,363.2,368.91,26192
2021-07-09,WST,368.92,370.86,367.81,369.82,28016
2021-07-12,WST,369.94,372.6,369.01,371.73,16757
2021-07-13,WST,371.77,372.22,367.42,368.42,18790
2021-07-14,WST,369.48,369.48,366.1,367.35,12682
2021-07-15,WST,366.78,369.99,366.47,367.78,27398
2021-07-16,WST,369.27,371.66,367.62,369.68,26842
2021-07-19,WST,367.66,370.18,364.86,366.77,40538
2021-07-20,WST,368.44,372.6,367.77,368.4,61151
2021-07-21,WST,366.97,366.97,358.61,363.84,19929
2021-07-22,WST,366.75,370.87,364.41,370.22,22957
2021-07-23,WST,372.46,377.23,370.62,377.08,17132
2021-07-26,WST,372.94,373.12,369.81,373.12,13613
2021-07-27,WST,372.66,375.19,370.85,374.27,9982
2021-07-28,WST,374.39,381.11,373.78,379.53,36724
2021-07-29,WST,385.62,402.38,385.62,400.91,55277
2021-07-30,WST,402.23,408.36,399.3,407.0,21133
2021-08-02,WST,408.28,411.91,400.62,411.0,21092
2021-08-03,WST,411.45,418.01,410.9,417.44,20698
2021-08-04,WST,417.35,425.27,415.57,424.03,21022
2021-08-05,WST,423.53,425.29,416.02,420.77,14596
2021-08-06,WST,415.46,424.09,415.46,423.3,16624
2021-08-09,WST,423.32,425.12,421.91,424.59,19885
2021-08-10,WST,425.1,425.1,420.55,420.55,7684
2021-08-11,WST,418.27,419.67,416.17,418.06,8884
2021-08-12,WST,417.44,425.58,417.17,424.46,12903
2021-08-13,WST,424.79,429.82,424.09,429.61,22966
2021-08-16,WST,430.9,437.18,430.1,436.96,12404
2021-08-17,WST,435.5,438.78,432.57,437.05,19242
2021-08-18,WST,436.14,440.34,436.14,437.47,9304
2021-08-19,WST,439.05,444.87,439.05,442.1,17073
