date,tic,open,high,low,close,volume
2021-01-04,WY,27.35,27.48,26.63,26.79,152741
2021-01-05,WY,26.79,27.21,26.79,27.02,144802
2021-01-06,WY,27.17,27.43,26.9,27.18,186818
2021-01-07,WY,27.28,27.6,27.21,27.44,167835
2021-01-08,WY,27.6,28.04,27.15,27.26,140592
2021-01-11,WY,27.01,27.27,26.87,27.05,127788
2021-01-12,WY,26.95,27.06,26.59,26.71,140541
2021-01-13,WY,26.83,26.93,26.22,26.26,111680
2021-01-14,WY,26.52,27.04,26.36,26.68,165778
2021-01-15,WY,26.48,26.65,26.05,26.56,176240
2021-01-19,WY,26.75,26.93,26.51,26.7,87651
2021-01-20,WY,26.78,27.48,26.66,27.42,111213
2021-01-21,WY,27.22,27.38,26.99,27.24,198993
2021-01-22,WY,27.02,27.24,26.59,27.11,174649
2021-01-25,WY,27.14,27.55,27.06,27.36,235251
2021-01-26,WY,27.44,27.64,27.06,27.06,266181
2021-01-27,WY,26.72,26.72,25.78,26.3,243519
2021-01-28,WY,26.41,27.19,26.4,26.94,156605
2021-01-29,WY,26.61,26.84,25.29,25.48,316015
2021-02-01,WY,25.8,26.15,25.21,26.15,187967
2021-02-02,WY,26.34,26.54,25.93,26.51,104340
2021-02-03,WY,26.56,27.77,26.47,27.77,309099
2021-02-04,WY,27.61,28.02,27.42,27.75,162361
2021-02-05,WY,27.86,28.22,27.68,28.1,156311
2021-02-08,WY,28.24,28.72,28.14,28.72,178583
2021-02-09,WY,28.69,28.75,28.22,28.23,155697
2021-02-10,WY,28.41,28.41,27.93,28.06,121205
2021-02-11,WY,28.14,28.17,27.56,27.97,107653
2021-02-12,WY,27.84,28.69,27.84,28.62,118327
2021-02-16,WY,28.83,29.07,28.37,28.49,109286
2021-02-17,WY,28.34,28.43,27.63,27.87,115126
2021-02-18,WY,27.86,27.96,27.43,27.61,127977
2021-02-19,WY,27.77,28.89,27.71,28.57,153208
2021-02-22,WY,28.56,29.27,28.47,28.97,191289
2021-02-23,WY,28.91,28.99,28.18,28.6,194203
2021-02-24,WY,28.6,29.38,28.47,29.32,203292
2021-02-25,WY,29.11,29.57,28.05,28.11,234479
2021-02-26,WY,28.18,28.35,27.55,27.67,287103
2021-03-01,WY,28.2,29.02,28.19,28.63,141882
2021-03-02,WY,28.5,28.58,27.6,27.6,203722
2021-03-03,WY,27.71,27.89,27.23,27.39,199983
2021-03-04,WY,27.34,27.84,26.55,26.91,317182
2021-03-05,WY,27.29,27.77,26.11,27.71,188744
2021-03-08,WY,27.83,28.53,27.67,27.94,138494
