date,tic,open,high,low,close,volume
2021-01-04,WYNN,110.04,110.04,103.34,103.78,204503
2021-01-05,WYNN,103.46,108.36,103.26,107.12,66998
2021-01-06,WYNN,107.82,110.16,106.03,107.63,78051
2021-01-07,WYNN,108.63,109.48,105.61,106.73,418507
2021-01-08,WYNN,106.91,107.45,105.07,105.92,346966
2021-01-11,WYNN,103.34,105.31,101.19,105.04,167917
2021-01-12,WYNN,105.26,107.73,103.98,106.9,105756
2021-01-13,WYNN,106.22,106.43,103.81,104.95,250825
2021-01-14,WYNN,105.92,108.2,105.21,105.89,108290
2021-01-15,WYNN,105.08,105.12,102.8,103.17,190434
2021-01-19,WYNN,104.3,105.13,102.85,104.17,234875
2021-01-20,WYNN,105.2,109.61,104.34,106.91,149773
2021-01-21,WYNN,107.06,108.77,105.65,106.1,105181
2021-01-22,WYNN,103.7,105.03,101.6,104.47,178815
2021-01-25,WYNN,103.53,106.36,101.78,105.02,151164
2021-01-26,WYNN,106.03,106.78,102.63,102.9,175614
2021-01-27,WYNN,101.07,102.79,97.42,97.88,279248
2021-01-28,WYNN,99.22,101.8,96.28,99.22,177302
2021-01-29,WYNN,99.0,99.88,96.63,96.85,128183
2021-02-01,WYNN,97.88,99.63,97.41,98.85,92392
2021-02-02,WYNN,100.81,104.03,100.56,103.11,101238
2021-02-03,WYNN,103.66,106.37,103.17,105.4,114711
2021-02-04,WYNN,106.1,107.04,103.64,105.59,106888
2021-02-05,WYNN,108.99,116.04,108.82,113.71,280083
2021-02-08,WYNN,111.52,114.56,110.4,114.16,151407
2021-02-09,WYNN,112.85,113.72,109.99,110.14,307259
2021-02-10,WYNN,111.26,116.4,110.95,113.16,225398
2021-02-11,WYNN,113.12,113.28,109.87,111.26,104330
2021-02-12,WYNN,111.27,114.81,110.6,114.44,99214
2021-02-16,WYNN,116.16,120.02,115.75,118.13,135155
2021-02-17,WYNN,117.79,120.46,116.22,118.76,108212
2021-02-18,WYNN,117.08,118.56,114.41,116.49,90178
2021-02-19,WYNN,117.63,120.76,117.15,120.23,96905
2021-02-22,WYNN,121.48,128.16,121.33,123.17,175524
2021-02-23,WYNN,126.39,134.25,122.29,132.63,238527
2021-02-24,WYNN,133.46,133.49,128.4,130.36,132722
2021-02-25,WYNN,131.01,131.64,123.78,125.04,156693
2021-02-26,WYNN,125.84,129.18,125.04,128.16,84749
2021-03-01,WYNN,131.77,131.77,127.51,128.07,74589
2021-03-02,WYNN,129.47,131.38,128.35,129.23,61866
2021-03-03,WYNN,131.78,135.44,129.98,131.86,144142
2021-03-04,WYNN,132.51,132.51,123.26,129.17,141558
2021-03-05,WYNN,129.92,130.13,122.72,129.7,144385
2021-03-08,WYNN,131.03,133.2,129.75,129.92,71743
2021-03-09,WYNN,132.52,132.52,129.36,130.24,61478
2021-03-10,WYNN,130.45,132.63,129.89,131.0,67574
2021-03-11,WYNN,131.67,138.54,131.02,133.97,134713
2021-03-12,WYNN,133.85,135.41,132.17,133.18,84815
2021-03-15,WYNN,135.76,139.75,135.2,135.91,192145
2021-03-16,WYNN,136.49,136.49,131.46,133.68,117366
2021-03-17,WYNN,131.32,136.07,131.32,136.05,62441
2021-03-18,WYNN,135.43,136.03,131.0,131.83,83259
2021-03-19,WYNN,131.72,131.94,128.09,131.44,163302
2021-03-22,WYNN,131.4,131.4,127.96,129.18,72214
2021-03-23,WYNN,125.95,127.47,120.89,121.68,140958
2021-03-24,WYNN,122.55,126.69,121.6,121.65,73973
2021-03-25,WYNN,117.77,125.01,117.63,124.47,101340
2021-03-26,WYNN,126.1,126.58,120.08,123.78,90766
2021-03-29,WYNN,122.7,124.08,119.34,120.02,83138
2021-03-30,WYNN,120.97,123.2,119.6,121.78,89209
2021-03-31,WYNN,121.07,122.67,120.44,121.86,58302
2021-04-01,WYNN,123.09,126.34,122.81,124.51,82197
2021-04-05,WYNN,128.05,130.41,126.98,127.46,95716
2021-04-06,WYNN,129.01,133.53,129.01,132.55,122763
2021-04-07,WYNN,131.93,132.65,127.54,128.86,94507
2021-04-08,WYNN,129.07,129.8,127.52,129.7,58535
2021-04-09,WYNN,128.28,128.69,126.32,127.78,67539
2021-04-12,WYNN,127.44,127.65,125.29,126.28,52554
2021-04-13,WYNN,124.64,126.6,121.86,126.15,53215
2021-04-14,WYNN,126.63,128.02,125.08,125.24,64340
2021-04-15,WYNN,125.49,125.59,123.62,124.23,71680
2021-04-16,WYNN,124.5,125.05,122.73,123.7,54087
2021-04-19,WYNN,122.95,123.6,122.0,122.65,66842
2021-04-20,WYNN,121.53,122.18,116.42,118.2,111648
2021-04-21,WYNN,118.08,122.47,116.96,122.46,65974
2021-04-22,WYNN,121.09,123.01,119.63,120.89,80697
2021-04-23,WYNN,122.29,122.4,120.34,120.65,114174
2021-04-26,WYNN,121.38,123.63,121.3,121.47,92041
2021-04-27,WYNN,121.87,124.38,120.72,124.19,62797
2021-04-28,WYNN,124.87,127.02,122.89,126.6,88010
2021-04-29,WYNN,128.04,128.04,121.73,125.43,122699
2021-04-30,WYNN,123.83,125.64,123.42,124.79,51940
2021-05-03,WYNN,125.51,126.95,124.42,125.2,68639
2021-05-04,WYNN,123.92,124.03,118.38,120.92,202173
2021-05-05,WYNN,123.16,125.63,122.4,124.18,107850
2021-05-06,WYNN,122.96,123.22,117.78,119.24,135073
2021-05-07,WYNN,119.5,123.04,119.23,122.69,83286
2021-05-10,WYNN,123.15,124.36,121.86,122.23,96863
2021-05-11,WYNN,121.11,126.11,120.36,121.46,241705
2021-05-12,WYNN,120.26,121.79,116.97,117.51,124812
2021-05-13,WYNN,118.83,121.64,116.64,119.06,112521
2021-05-14,WYNN,120.54,123.61,119.54,123.08,82043
2021-05-17,WYNN,121.9,122.02,118.1,121.25,113416
2021-05-18,WYNN,122.0,124.8,121.94,122.51,71814
2021-05-19,WYNN,119.95,122.77,119.5,122.73,88136
2021-05-20,WYNN,122.69,123.8,121.06,123.1,83860
2021-05-21,WYNN,123.86,125.31,123.02,123.73,77619
2021-05-24,WYNN,124.05,126.63,122.73,125.81,81514
2021-05-25,WYNN,127.04,128.48,124.52,125.38,66819
2021-05-26,WYNN,126.12,128.95,125.58,128.71,114756
2021-05-27,WYNN,129.2,129.38,127.47,128.92,45921
2021-05-28,WYNN,129.48,129.57,127.51,128.12,49820
2021-06-01,WYNN,130.41,132.37,129.54,131.76,82758
2021-06-02,WYNN,132.13,132.89,129.8,130.86,68474
2021-06-03,WYNN,128.92,128.92,125.47,125.53,122171
2021-06-04,WYNN,125.84,126.26,124.09,124.56,85199
2021-06-07,WYNN,123.96,125.52,121.73,125.52,123131
2021-06-08,WYNN,126.08,126.08,123.42,124.42,58809
2021-06-09,WYNN,124.48,124.63,123.07,123.07,127840
2021-06-10,WYNN,123.18,123.59,121.61,122.67,74730
2021-06-11,WYNN,122.45,123.67,121.55,123.55,54000
2021-06-14,WYNN,123.61,123.93,120.41,121.27,89202
2021-06-15,WYNN,121.49,122.59,121.12,121.76,60409
2021-06-16,WYNN,121.73,122.61,120.37,121.92,82686
2021-06-17,WYNN,123.05,125.66,121.15,121.76,104619
2021-06-18,WYNN,120.51,121.49,119.33,121.0,76796
2021-06-21,WYNN,121.3,124.15,120.15,124.05,73319
2021-06-22,WYNN,122.65,123.9,120.84,123.27,105194
2021-06-23,WYNN,123.43,124.78,121.54,122.42,79652
2021-06-24,WYNN,123.29,123.94,120.65,120.65,134293
2021-06-25,WYNN,120.67,121.45,119.77,120.54,104874
2021-06-28,WYNN,119.42,119.81,116.44,117.39,167321
2021-06-29,WYNN,117.77,119.32,117.52,118.12,105945
2021-06-30,WYNN,119.52,121.6,118.54,118.89,122661
2021-07-01,WYNN,120.07,120.99,118.77,118.81,186366
2021-07-02,WYNN,119.2,119.22,117.65,118.08,302440
