date,tic,open,high,low,close,volume
2021-01-04,XEL,56.84,56.86,55.45,55.88,102341
2021-01-05,XEL,56.0,56.13,54.95,55.37,103503
2021-01-06,XEL,55.34,57.05,55.05,56.58,179191
2021-01-07,XEL,56.64,56.64,55.29,55.47,83998
2021-01-08,XEL,55.39,56.05,55.25,56.0,84641
2021-01-11,XEL,55.95,55.95,54.42,54.82,78414
2021-01-12,XEL,54.81,54.87,53.79,54.0,108236
2021-01-13,XEL,54.04,55.43,53.85,55.39,89496
2021-01-14,XEL,55.19,55.19,54.0,54.14,84315
2021-01-15,XEL,53.79,55.39,53.7,55.34,113673
2021-01-19,XEL,55.34,55.51,54.72,55.13,125066
2021-01-20,XEL,54.86,55.89,54.76,55.76,101076
2021-01-21,XEL,55.5,55.69,55.08,55.42,49964
2021-01-22,XEL,55.14,55.44,54.86,55.19,44018
2021-01-25,XEL,54.94,56.65,54.76,56.65,87709
2021-01-26,XEL,56.17,56.22,55.36,56.05,79693
2021-01-27,XEL,55.67,56.29,54.31,54.35,130055
2021-01-28,XEL,53.88,55.67,52.95,54.19,159135
2021-01-29,XEL,53.85,54.96,53.61,54.47,90157
2021-02-01,XEL,54.56,55.25,54.05,54.4,151237
2021-02-02,XEL,54.3,55.42,54.16,54.66,103365
2021-02-03,XEL,54.57,54.62,53.74,53.81,71023
2021-02-04,XEL,53.71,54.32,53.42,54.13,223646
2021-02-05,XEL,54.29,54.42,53.92,54.01,54355
2021-02-08,XEL,53.94,53.96,52.95,53.0,71841
2021-02-09,XEL,53.23,53.4,52.36,52.89,61639
2021-02-10,XEL,53.26,53.26,52.47,52.99,88136
2021-02-11,XEL,52.88,53.19,52.36,52.36,48232
2021-02-12,XEL,52.21,52.55,52.02,52.41,127923
2021-02-16,XEL,52.2,52.44,51.51,51.51,52264
2021-02-17,XEL,51.42,52.09,51.42,51.84,138378
2021-02-18,XEL,51.8,53.14,51.8,53.01,105873
2021-02-19,XEL,53.33,53.38,52.77,52.84,132974
2021-02-22,XEL,53.34,53.34,50.78,51.44,126358
2021-02-23,XEL,51.46,52.89,51.46,52.76,143973
2021-02-24,XEL,52.5,52.5,51.2,51.32,138129
2021-02-25,XEL,51.17,51.5,50.64,50.96,145456
2021-02-26,XEL,51.01,51.64,49.88,49.89,143651
2021-03-01,XEL,50.41,51.34,50.28,50.39,122937
2021-03-02,XEL,50.47,50.58,49.57,50.22,109240
2021-03-03,XEL,50.04,50.04,48.73,49.38,85493
2021-03-04,XEL,49.22,50.81,49.22,50.19,146129
2021-03-05,XEL,50.32,52.36,50.29,52.27,187755
2021-03-08,XEL,52.24,53.33,52.05,52.74,209221
2021-03-09,XEL,53.13,53.3,52.66,52.93,216305
2021-03-10,XEL,52.95,53.34,52.72,52.96,185184
2021-03-11,XEL,52.82,53.53,52.67,52.68,119733
2021-03-12,XEL,52.72,53.69,52.46,53.23,219528
2021-03-15,XEL,53.48,54.43,53.48,54.08,189515
2021-03-16,XEL,54.14,54.57,53.92,54.39,94138
2021-03-17,XEL,54.35,54.35,53.66,53.81,122762
2021-03-18,XEL,53.44,53.81,52.93,53.5,177238
2021-03-19,XEL,53.46,54.35,53.11,54.03,147388
2021-03-22,XEL,54.0,54.95,53.92,54.68,121132
2021-03-23,XEL,55.14,56.36,54.58,56.17,122067
2021-03-24,XEL,55.84,56.75,55.63,56.27,106164
2021-03-25,XEL,56.58,57.1,56.04,56.64,140952
2021-03-26,XEL,56.37,56.93,55.87,56.93,114103
2021-03-29,XEL,56.68,57.67,56.32,57.4,78879
2021-03-30,XEL,57.04,57.18,56.27,56.58,68990
2021-03-31,XEL,56.61,57.2,56.52,57.08,82431
2021-04-01,XEL,56.98,57.3,56.58,57.29,76950
2021-04-05,XEL,57.36,58.93,57.33,58.41,118100
