date,tic,open,high,low,close,volume
2021-01-04,XOM,33.91,34.51,33.5,33.87,525838
2021-01-05,XOM,34.23,36.6,34.21,35.54,1421911
2021-01-06,XOM,36.33,36.84,35.7,36.43,650698
2021-01-07,XOM,36.78,37.23,36.38,36.76,1815093
2021-01-08,XOM,36.91,37.43,36.73,37.15,464239
2021-01-11,XOM,36.77,38.49,36.57,38.28,632620
2021-01-12,XOM,38.79,39.35,38.33,39.11,664313
2021-01-13,XOM,39.63,39.8,38.97,39.57,658657
2021-01-14,XOM,39.69,41.73,39.69,41.11,548163
2021-01-15,XOM,39.94,40.09,38.64,39.13,682770
2021-01-19,XOM,39.58,40.38,39.51,39.89,407179
2021-01-20,XOM,40.16,40.63,40.04,40.48,417824
2021-01-21,XOM,40.32,40.32,38.96,39.3,719305
2021-01-22,XOM,38.42,38.91,38.11,38.78,411313
2021-01-25,XOM,38.29,38.43,37.72,38.31,446791
2021-01-26,XOM,38.61,39.09,37.47,37.47,642188
2021-01-27,XOM,36.79,38.11,36.39,37.05,633718
2021-01-28,XOM,37.53,38.06,37.34,37.63,377678
2021-01-29,XOM,37.21,37.61,36.37,36.61,735244
2021-02-01,XOM,37.24,37.24,36.19,36.7,717904
2021-02-02,XOM,37.39,38.37,37.01,37.29,982990
2021-02-03,XOM,37.28,38.94,37.12,38.77,693795
2021-02-04,XOM,39.12,39.52,38.6,39.49,564770
2021-02-05,XOM,40.27,40.94,40.07,40.81,902170
2021-02-08,XOM,41.62,42.77,41.44,42.53,1037326
2021-02-09,XOM,42.14,42.34,41.37,42.06,524665
2021-02-10,XOM,42.09,42.73,41.88,42.53,713768
2021-02-11,XOM,42.29,42.31,40.54,41.44,825029
2021-02-12,XOM,41.08,42.14,41.08,41.99,474676
2021-02-16,XOM,43.18,43.63,42.91,43.27,651481
2021-02-17,XOM,43.65,44.25,43.06,43.93,600930
2021-02-18,XOM,43.77,43.93,43.11,43.21,436787
2021-02-19,XOM,43.33,43.68,43.16,43.53,427766
2021-02-22,XOM,43.7,45.55,43.7,45.13,914950
2021-02-23,XOM,45.7,45.92,44.69,45.82,834731
2021-02-24,XOM,45.88,47.36,45.62,47.12,839489
2021-02-25,XOM,47.34,47.52,46.01,46.34,817839
2021-02-26,XOM,45.25,45.75,44.15,45.26,860892
2021-03-01,XOM,46.9,47.87,46.66,46.91,998148
2021-03-02,XOM,46.94,47.33,46.56,46.61,614354
2021-03-03,XOM,46.86,48.17,46.44,46.97,790642
2021-03-04,XOM,47.47,49.41,47.46,48.82,1384281
2021-03-05,XOM,49.66,50.74,49.13,50.64,1188898
2021-03-08,XOM,51.19,51.19,49.72,50.59,1190499
2021-03-09,XOM,50.37,51.02,49.44,49.8,931587
2021-03-10,XOM,50.21,51.45,49.91,51.33,690894
2021-03-11,XOM,51.26,51.98,50.91,50.97,631965
2021-03-12,XOM,51.15,51.82,51.13,51.48,473772
2021-03-15,XOM,51.12,51.38,49.76,50.17,947485
2021-03-16,XOM,49.43,49.58,48.57,49.12,721513
2021-03-17,XOM,49.05,49.62,48.72,49.33,793030
2021-03-18,XOM,48.87,48.99,46.98,47.2,1055479
2021-03-19,XOM,47.21,47.76,46.39,46.99,1221657
2021-03-22,XOM,46.83,47.24,46.46,46.46,585893
2021-03-23,XOM,45.5,46.77,45.27,45.92,755215
2021-03-24,XOM,46.66,47.59,46.66,46.83,577483
2021-03-25,XOM,45.95,46.95,45.3,46.7,651061
2021-03-26,XOM,47.59,48.01,46.98,47.96,650178
2021-03-29,XOM,47.54,48.03,47.17,47.66,443062
2021-03-30,XOM,47.22,47.67,46.95,47.09,512407
2021-03-31,XOM,46.88,47.03,46.38,46.38,525517
2021-04-01,XOM,46.79,47.74,46.66,47.68,662368
2021-04-05,XOM,47.62,47.62,46.66,46.95,635813
2021-04-06,XOM,47.24,47.81,46.76,46.82,521441
2021-04-07,XOM,46.85,47.18,46.74,47.06,596716
2021-04-08,XOM,46.56,46.61,45.98,46.53,511316
2021-04-09,XOM,46.51,46.9,46.15,46.42,427638
2021-04-12,XOM,47.15,47.16,45.97,46.13,405367
2021-04-13,XOM,45.96,46.52,45.78,46.3,295934
2021-04-14,XOM,46.85,48.2,46.78,47.64,594865
2021-04-15,XOM,47.72,47.72,47.2,47.34,776466
2021-04-16,XOM,47.6,47.93,46.91,47.1,393598
2021-04-20,XOM,46.85,46.85,45.52,45.95,662327
2021-04-21,XOM,45.28,46.65,45.16,46.55,498757
2021-04-22,XOM,46.44,46.44,45.73,45.92,539061
2021-04-23,XOM,45.99,46.48,45.88,46.17,478430
2021-04-26,XOM,46.11,46.76,46.08,46.27,341440
2021-04-27,XOM,46.53,47.06,46.39,46.87,489243
2021-04-28,XOM,47.25,48.58,47.22,48.28,589840
2021-04-29,XOM,48.98,49.43,48.33,48.97,561297
2021-04-30,XOM,48.45,48.94,47.5,47.59,640581
2021-05-03,XOM,48.11,49.02,47.98,48.87,588176
2021-05-04,XOM,49.01,49.45,48.63,49.14,532097
2021-05-05,XOM,49.7,50.74,49.36,50.69,715191
2021-05-06,XOM,50.68,51.23,49.9,51.16,862556
2021-05-07,XOM,50.74,51.91,50.59,51.91,722540
2021-05-10,XOM,52.53,53.2,51.97,52.01,1321092
2021-05-11,XOM,51.21,51.83,50.19,50.35,741062
2021-05-12,XOM,50.59,52.0,50.37,50.62,631676
2021-05-13,XOM,49.73,50.96,49.54,50.02,788340
2021-05-14,XOM,50.59,51.32,50.59,51.24,490327
2021-05-17,XOM,51.03,52.48,50.96,52.44,552074
2021-05-18,XOM,52.35,52.52,50.93,50.95,575296
2021-05-19,XOM,49.9,50.45,49.25,49.72,585818
2021-05-20,XOM,49.7,49.84,49.1,49.61,493274
2021-05-21,XOM,50.1,50.43,49.62,49.65,419039
2021-05-24,XOM,49.88,50.41,49.52,50.25,343393
2021-05-25,XOM,50.12,50.2,49.0,49.12,457286
2021-05-26,XOM,49.14,49.84,48.83,49.67,521218
2021-05-27,XOM,49.94,50.32,48.92,49.34,530507
2021-05-28,XOM,49.56,49.56,49.0,49.21,388941
2021-06-01,XOM,50.19,51.17,50.17,50.96,581691
2021-06-02,XOM,51.17,51.69,50.74,51.39,605350
2021-06-03,XOM,51.08,51.77,50.9,51.58,580108
2021-06-04,XOM,51.8,51.98,51.25,51.82,527076
2021-06-07,XOM,51.71,52.04,51.45,51.45,544883
2021-06-08,XOM,51.85,52.68,51.15,52.39,669849
