date,tic,open,high,low,close,volume
2021-01-04,ZBH,149.49,150.54,145.31,147.63,97674
2021-01-05,ZBH,147.71,151.33,147.71,149.99,39102
2021-01-06,ZBH,150.63,154.61,150.63,154.28,67915
2021-01-07,ZBH,154.4,155.25,152.72,153.52,66096
2021-01-08,ZBH,154.1,155.85,152.45,153.12,72622
2021-01-11,ZBH,152.21,153.18,149.77,153.18,68818
2021-01-12,ZBH,152.21,154.03,151.3,154.01,73926
2021-01-13,ZBH,154.03,157.81,154.03,156.88,49206
2021-01-14,ZBH,156.79,159.63,156.46,156.57,84984
2021-01-15,ZBH,155.51,156.51,153.85,154.21,74577
2021-01-19,ZBH,154.99,155.35,153.44,153.98,45244
2021-01-20,ZBH,154.04,158.0,152.82,157.49,59755
2021-01-21,ZBH,157.62,158.71,156.47,157.02,44339
2021-01-22,ZBH,156.08,156.6,154.65,155.02,51724
2021-01-25,ZBH,154.3,154.94,150.74,153.39,76012
2021-01-26,ZBH,154.18,154.95,151.46,152.3,52268
2021-01-27,ZBH,150.06,151.54,146.39,146.83,88938
2021-01-28,ZBH,147.37,153.07,147.37,151.21,73425
2021-01-29,ZBH,149.91,150.63,146.19,148.05,72649
2021-02-01,ZBH,149.31,150.19,146.65,148.24,86290
2021-02-02,ZBH,150.16,154.58,149.09,152.59,101750
2021-02-03,ZBH,151.63,153.05,150.05,152.67,86551
2021-02-04,ZBH,153.1,157.69,152.98,154.73,110886
2021-02-05,ZBH,163.06,163.54,152.68,153.79,290425
2021-02-08,ZBH,153.12,155.02,151.63,153.83,69284
2021-02-09,ZBH,154.16,154.16,151.89,153.21,64926
2021-02-10,ZBH,153.77,156.23,153.74,154.22,78671
2021-02-11,ZBH,155.62,157.77,154.83,156.01,62059
2021-02-12,ZBH,155.75,156.38,154.55,155.39,49142
2021-02-16,ZBH,155.65,155.65,153.82,154.44,32223
2021-02-17,ZBH,152.82,153.16,151.38,152.74,73819
2021-02-18,ZBH,152.17,152.17,148.83,151.05,50750
2021-02-19,ZBH,151.13,151.99,150.09,150.74,59745
2021-02-22,ZBH,149.34,155.12,149.21,154.34,101672
2021-02-23,ZBH,155.17,158.22,154.52,155.8,128621
2021-02-24,ZBH,156.06,159.05,156.0,157.63,60348
2021-02-25,ZBH,156.77,159.08,156.32,158.38,69129
2021-02-26,ZBH,158.9,160.08,155.53,157.06,94616
2021-03-01,ZBH,159.15,160.22,156.6,157.34,74468
2021-03-02,ZBH,157.14,157.33,154.29,155.24,70609
2021-03-03,ZBH,155.33,155.33,152.16,153.76,96548
2021-03-04,ZBH,153.3,153.31,148.7,150.43,114989
2021-03-05,ZBH,151.4,153.42,148.36,152.71,76380
2021-03-08,ZBH,152.16,154.75,150.7,150.7,90639
2021-03-09,ZBH,151.62,154.47,150.69,150.81,122792
2021-03-10,ZBH,152.07,155.31,152.07,154.44,71463
2021-03-11,ZBH,154.14,155.56,153.16,154.37,61581
2021-03-12,ZBH,154.73,157.33,154.73,157.2,230101
2021-03-15,ZBH,157.72,159.2,154.66,155.47,65420
2021-03-16,ZBH,154.75,154.75,152.6,154.43,52824
2021-03-17,ZBH,153.38,155.27,152.04,154.53,63353
2021-03-18,ZBH,153.45,154.99,152.62,152.81,38575
2021-03-19,ZBH,152.92,155.55,151.76,154.22,55922
2021-03-22,ZBH,153.87,154.89,153.4,154.26,64372
2021-03-23,ZBH,153.6,153.67,149.43,150.41,46357
2021-03-24,ZBH,151.77,152.71,150.76,151.59,32279
2021-03-25,ZBH,151.71,152.35,149.2,151.98,36164
2021-03-26,ZBH,152.64,155.67,152.07,155.5,29504
2021-03-29,ZBH,154.49,155.42,153.22,154.47,29547
2021-03-30,ZBH,154.16,155.69,153.11,155.41,30503
2021-03-31,ZBH,157.45,157.87,154.27,154.35,72742
2021-04-01,ZBH,154.6,154.6,153.2,154.2,68108
2021-04-05,ZBH,156.68,157.24,155.18,156.86,67128
2021-04-06,ZBH,157.47,158.92,156.95,157.51,57680
2021-04-07,ZBH,157.58,158.23,155.52,157.01,31814
2021-04-08,ZBH,158.22,159.39,157.83,158.66,56129
2021-04-09,ZBH,159.77,163.49,159.54,163.49,82582
2021-04-12,ZBH,162.82,163.66,161.69,162.22,47256
2021-04-13,ZBH,162.0,163.04,161.35,162.7,29404
2021-04-14,ZBH,163.06,164.41,162.06,162.22,55753
2021-04-15,ZBH,163.57,166.14,162.9,165.58,72807
2021-04-16,ZBH,166.55,166.89,164.29,165.67,40178
2021-04-20,ZBH,166.42,168.9,166.27,167.57,83192
2021-04-21,ZBH,167.97,171.01,167.6,170.32,71536
2021-04-22,ZBH,170.51,172.71,169.31,171.16,48048
2021-04-23,ZBH,171.6,172.38,170.86,171.31,47478
2021-04-26,ZBH,171.17,171.81,169.2,169.29,42191
2021-04-27,ZBH,169.27,171.34,168.89,170.05,45315
2021-04-28,ZBH,170.45,172.18,169.52,172.13,94484
2021-04-29,ZBH,173.08,173.64,170.76,172.21,64424
2021-04-30,ZBH,171.47,171.61,169.99,170.77,67058
2021-05-03,ZBH,172.13,172.21,170.66,171.52,94678
2021-05-04,ZBH,168.13,169.05,164.24,166.55,134671
2021-05-05,ZBH,167.07,168.24,164.9,167.27,76542
2021-05-06,ZBH,166.56,167.42,163.87,167.19,47691
2021-05-07,ZBH,167.04,168.44,166.18,166.31,52652
2021-05-10,ZBH,166.47,166.97,165.1,165.82,89903
2021-05-11,ZBH,165.68,165.68,161.1,161.49,79573
2021-05-12,ZBH,160.98,160.98,157.79,157.93,79301
2021-05-13,ZBH,158.23,160.39,158.23,159.63,54034
2021-05-14,ZBH,160.2,162.37,159.42,161.28,42343
2021-05-17,ZBH,160.65,161.15,159.83,159.97,17423
2021-05-18,ZBH,159.92,161.69,159.92,160.55,31648
2021-05-19,ZBH,158.87,159.86,158.27,159.76,18752
2021-05-20,ZBH,159.49,161.58,159.49,160.89,25020
2021-05-21,ZBH,162.7,163.36,161.14,161.34,26320
2021-05-24,ZBH,162.02,162.77,161.62,161.83,26492
2021-05-25,ZBH,163.41,163.41,161.47,161.68,20083
2021-05-26,ZBH,160.65,160.65,157.27,158.31,55151
2021-05-27,ZBH,158.82,161.88,158.78,161.67,45733
2021-05-28,ZBH,162.76,163.38,161.76,162.39,44302
2021-06-01,ZBH,163.43,163.7,160.21,160.25,44999
2021-06-02,ZBH,159.69,159.7,154.58,155.28,75874
2021-06-03,ZBH,154.74,154.74,152.3,154.18,78516
2021-06-04,ZBH,154.71,154.71,153.26,153.39,64943
2021-06-07,ZBH,154.19,154.19,151.84,152.24,73717
2021-06-08,ZBH,153.14,153.14,150.16,151.89,58047
2021-06-09,ZBH,152.41,152.98,151.85,152.49,33290
2021-06-10,ZBH,152.91,154.04,152.91,153.52,23512
2021-06-11,ZBH,153.16,153.16,151.74,152.58,87775
2021-06-14,ZBH,152.89,152.89,151.09,151.87,80556
2021-06-15,ZBH,152.27,153.51,151.56,152.54,107574
2021-06-16,ZBH,153.27,153.4,151.03,152.32,95375
2021-06-17,ZBH,152.32,155.12,152.32,154.77,98447
2021-06-18,ZBH,153.5,153.94,152.41,152.83,98735
2021-06-21,ZBH,153.72,158.13,153.21,157.61,100747
2021-06-22,ZBH,157.94,161.11,157.0,160.42,87474
2021-06-23,ZBH,159.94,160.68,158.61,158.64,57107
2021-06-24,ZBH,159.1,159.14,157.77,158.45,57436
2021-06-25,ZBH,159.23,161.81,159.08,160.16,62551
2021-06-28,ZBH,160.07,160.07,156.34,158.09,65339
2021-06-29,ZBH,157.96,157.96,155.51,155.55,78513
2021-06-30,ZBH,155.53,156.15,154.55,155.31,58165
2021-07-01,ZBH,155.81,157.54,155.23,157.54,106665
2021-07-02,ZBH,156.99,158.17,156.55,157.85,57831
2021-07-06,ZBH,157.12,157.67,156.44,157.14,69302
2021-07-07,ZBH,157.83,157.83,154.87,155.56,84546
2021-07-08,ZBH,153.65,154.7,152.54,153.6,76610
2021-07-09,ZBH,154.27,154.66,152.85,153.66,49292
2021-07-12,ZBH,153.02,154.86,153.02,154.19,42612
2021-07-13,ZBH,153.72,154.22,151.31,151.57,59952
2021-07-14,ZBH,151.96,152.1,149.98,150.19,63628
2021-07-15,ZBH,149.49,149.92,147.23,147.81,94459
2021-07-16,ZBH,147.9,148.57,146.06,148.14,144769
2021-07-19,ZBH,146.38,146.65,144.21,144.88,63234
2021-07-20,ZBH,145.72,150.63,145.71,150.29,77380
2021-07-21,ZBH,151.54,154.28,151.19,154.03,121507
2021-07-22,ZBH,153.85,153.85,151.56,153.16,42959
2021-07-23,ZBH,154.08,155.22,153.78,154.39,48417
2021-07-26,ZBH,153.95,154.2,152.54,154.11,27175
2021-07-27,ZBH,153.6,157.63,153.6,157.25,68426
2021-07-28,ZBH,157.44,157.9,156.44,156.98,48444
2021-07-29,ZBH,157.59,157.78,155.27,157.08,40493
2021-07-30,ZBH,156.84,159.23,156.81,157.8,48935
2021-08-02,ZBH,158.35,159.67,157.25,157.39,150066
2021-08-03,ZBH,148.6,149.74,145.05,148.39,262363
2021-08-04,ZBH,147.26,148.13,142.4,143.14,186829
2021-08-05,ZBH,143.08,145.05,142.23,145.05,208798
2021-08-06,ZBH,145.36,145.43,142.42,143.86,149646
2021-08-09,ZBH,143.34,143.74,141.78,142.41,97502
2021-08-10,ZBH,141.38,141.52,138.72,140.79,134117
2021-08-11,ZBH,140.81,141.64,140.64,140.64,59649
2021-08-12,ZBH,141.22,141.94,140.39,141.34,106874
2021-08-13,ZBH,140.8,141.58,139.96,141.01,77850
2021-08-16,ZBH,140.68,142.0,139.81,141.56,85834
2021-08-17,ZBH,140.6,143.07,139.59,142.82,113826
2021-08-18,ZBH,142.96,143.21,139.39,139.39,68503
2021-08-19,ZBH,138.68,139.66,138.25,139.09,58658
2021-08-20,ZBH,138.68,141.01,138.23,140.47,65005
2021-08-23,ZBH,140.97,141.22,139.21,140.33,63502
2021-08-24,ZBH,140.76,144.21,140.36,143.61,145454
2021-08-25,ZBH,143.67,146.44,143.35,145.22,65370
2021-08-26,ZBH,144.76,145.76,143.87,144.46,66566
2021-08-27,ZBH,144.59,145.78,144.21,144.92,46240
2021-08-30,ZBH,144.83,145.63,144.33,144.66,38359
2021-08-31,ZBH,144.66,145.6,144.66,145.33,47408
2021-09-01,ZBH,145.5,145.9,144.44,145.69,76557
