date,tic,open,high,low,close,volume
2021-01-04,ZS,200.05,200.39,192.91,196.17,219122
2021-01-05,ZS,192.87,197.51,189.63,193.195,85472
2021-01-06,ZS,187.025,190.22,183.79,184.39,81269
2021-01-07,ZS,185.28,193.67,185.28,193.01,74313
2021-01-08,ZS,196.615,199.81,194.5,197.27,69645
2021-01-11,ZS,196.52,204.93,191.6,198.93,83879
2021-01-12,ZS,201.24,206.49,200.8,206.01,99772
2021-01-13,ZS,208.75,214.82,206.56,207.085,120735
2021-01-14,ZS,210.52,213.57,207.58,209.955,66493
2021-01-15,ZS,212.28,213.75,208.15,211.125,85699
2021-01-19,ZS,214.97,217.13,208.38,211.96,58519
2021-01-20,ZS,215.15,217.35,212.53,214.78,50007
2021-01-21,ZS,217.5,217.5,211.61,213.63,38641
2021-01-22,ZS,211.4,217.65,211.4,217.26,45023
2021-01-25,ZS,220.17,223.36,206.05,207.44,117041
2021-01-26,ZS,209.85,209.85,196.59,196.94,193611
2021-01-27,ZS,195.23,203.18,187.8,199.12,116261
2021-01-28,ZS,200.84,208.0,200.81,206.36,60163
2021-01-29,ZS,204.72,204.94,196.85,199.79,107787
2021-02-01,ZS,203.0,206.815,200.515,204.84,57987
2021-02-02,ZS,208.65,217.29,208.28,216.71,90683
2021-02-03,ZS,218.17,218.17,207.11,209.54,121016
2021-02-04,ZS,210.11,214.18,207.59,213.38,38407
2021-02-05,ZS,214.79,219.83,212.69,216.71,47052
2021-02-08,ZS,219.38,221.25,214.235,215.86,48203
2021-02-09,ZS,219.07,220.84,216.0,219.94,54534
2021-02-10,ZS,222.015,224.45,216.8,223.19,74540
2021-02-11,ZS,225.075,226.84,218.0,222.805,78023
2021-02-12,ZS,222.42,228.35,221.84,226.35,48162
2021-02-16,ZS,229.21,229.9,218.0,223.8,95171
2021-02-17,ZS,223.155,225.9,217.79,224.62,67693
2021-02-18,ZS,222.0,224.2,216.38,223.37,51741
2021-02-19,ZS,224.44,227.945,223.65,225.95,54945
2021-02-22,ZS,225.25,225.25,212.91,213.61,81321
2021-02-23,ZS,203.47,206.77,190.74,206.52,193296
2021-02-24,ZS,208.2,210.72,203.55,208.02,82340
2021-02-25,ZS,205.255,209.71,194.42,195.87,140183
