date,symbol,open,high,low,close,volume
2020-12-23,AAPL,128.66,128.91,127.33,127.57,887108
2020-12-24,AAPL,127.89,129.92,127.66,128.5,356460
2020-12-28,AAPL,130.47,133.7,130.0,133.1,1176806
2020-12-29,AAPL,134.41,135.11,130.8,131.34,1632202
2020-12-30,AAPL,132.03,132.38,129.87,130.22,996770
2020-12-31,AAPL,130.5,131.18,128.24,129.14,1079999
2021-01-04,AAPL,129.99,130.06,123.47,126.15,1549553
2021-01-05,AAPL,125.55,128.25,125.06,127.5,804637
2021-01-06,AAPL,124.2,127.57,123.07,123.35,2202534
2021-01-07,AAPL,124.98,128.14,124.51,127.42,1440239
2021-01-08,AAPL,128.9,129.11,126.81,128.65,1340001
2021-01-11,AAPL,125.81,126.67,125.1,125.53,1168071
2021-01-12,AAPL,125.03,126.26,123.55,125.47,810812
2021-01-13,AAPL,125.29,127.96,125.1,127.56,1341043
2021-01-14,AAPL,127.31,127.53,125.39,125.69,969718
2021-01-15,AAPL,125.27,126.76,123.65,123.95,1159284
2021-01-19,AAPL,124.37,125.29,123.59,124.39,1051940
2021-01-20,AAPL,125.16,128.99,125.16,128.52,957072
2021-01-21,AAPL,130.25,133.7,130.06,133.19,1994077
2021-01-22,AAPL,132.68,136.15,131.45,135.37,1820717
2021-01-25,AAPL,139.22,141.2,132.94,139.14,1957404
2021-01-26,AAPL,139.74,140.48,137.68,139.51,1242288
2021-01-27,AAPL,139.62,140.44,136.79,138.26,1965025
2021-01-28,AAPL,135.82,138.23,133.1,133.1,2645618
2021-01-29,AAPL,132.29,133.09,126.79,128.3,2609717
2021-02-01,AAPL,130.13,131.8,127.5,130.51,1385761
2021-02-02,AAPL,132.16,132.69,131.06,131.39,1357724
2021-02-03,AAPL,132.04,132.04,130.11,130.47,1448643
2021-02-04,AAPL,132.72,133.76,131.04,133.76,1095376
2021-02-05,AAPL,133.93,133.97,132.48,133.39,947893
2021-02-08,AAPL,132.62,133.5,131.56,133.5,848472
2021-02-09,AAPL,133.19,134.43,132.47,132.65,1014228
2021-02-10,AAPL,133.06,133.55,131.09,132.0,872788
2021-02-11,AAPL,132.48,132.96,130.45,131.86,1207274
2021-02-12,AAPL,130.94,132.12,130.38,132.04,877300
2021-02-16,AAPL,132.1,132.6,129.51,129.89,1365710
2021-02-17,AAPL,127.99,128.91,126.26,127.61,1416967
2021-02-18,AAPL,126.01,126.75,124.26,126.41,1831522
2021-02-19,AAPL,126.93,127.43,125.61,126.57,1186837
2021-02-22,AAPL,124.82,126.37,122.46,122.86,1874997
2021-02-23,AAPL,120.66,123.53,115.47,122.56,3008728
2021-02-24,AAPL,121.65,122.41,119.18,122.34,1940164
2021-02-25,AAPL,121.51,123.29,117.55,117.97,2152710
2021-02-26,AAPL,119.5,121.71,118.26,118.27,2162991
2021-03-01,AAPL,120.65,124.73,119.77,124.64,2395403
2021-03-02,AAPL,125.14,125.49,121.9,122.06,1464863
2021-03-03,AAPL,121.64,122.55,118.83,119.05,1716724
2021-03-04,AAPL,118.71,120.46,115.67,117.12,2622551
2021-03-05,AAPL,117.94,118.88,114.64,118.19,3170405
2021-03-08,AAPL,117.92,117.98,113.31,113.32,3022020
2021-03-09,AAPL,116.09,118.99,115.83,117.9,2461524
2021-03-10,AAPL,118.6,119.12,116.48,116.97,2111001
2021-03-11,AAPL,119.26,120.1,118.23,118.84,2065491
2021-03-12,AAPL,117.36,118.14,116.19,117.92,1401592
2021-03-15,AAPL,118.38,120.9,117.49,120.78,930289
2021-03-16,AAPL,122.56,124.03,121.6,122.52,2196895
2021-03-17,AAPL,120.98,122.71,119.29,121.55,1807218
2021-03-18,AAPL,119.79,120.1,117.32,117.55,2073599
2021-03-19,AAPL,116.91,118.37,116.69,116.91,2166289
2021-03-22,AAPL,117.34,120.77,117.31,120.34,2035812
2021-03-23,AAPL,120.21,121.13,119.1,119.53,1753588
2021-03-24,AAPL,119.8,119.82,117.11,117.11,2449761
2021-03-25,AAPL,116.47,118.61,116.03,117.59,1973035
2021-03-26,AAPL,117.39,118.42,115.96,118.15,1759358
2021-03-29,AAPL,118.63,119.52,117.73,118.02,1677388
2021-03-30,AAPL,117.11,117.36,115.9,116.84,1570501
2021-03-31,AAPL,118.61,120.42,118.12,119.1,1999126
2021-04-01,AAPL,120.57,121.07,119.43,119.91,1691635
2021-04-05,AAPL,120.72,123.01,120.02,122.67,1632971
2021-04-06,AAPL,123.36,123.94,122.51,123.09,1263346
2021-04-07,AAPL,122.66,124.71,122.01,124.71,1476965
2021-04-08,AAPL,125.72,127.12,125.31,127.12,1550992
2021-04-09,AAPL,126.64,129.68,126.26,129.65,1737607
2021-04-12,AAPL,129.22,129.51,127.38,128.01,1324533
2021-04-13,AAPL,129.14,131.24,128.63,131.07,910076
2021-04-14,AAPL,131.58,131.63,128.42,128.84,1189712
2021-04-15,AAPL,130.51,131.62,130.31,131.09,1129875
2021-04-16,AAPL,130.99,131.31,129.97,130.8,1112643
2021-04-19,AAPL,130.2,132.08,130.01,131.52,1409161
2021-04-20,AAPL,131.67,132.14,128.57,129.78,1646095
2021-04-21,AAPL,129.05,130.39,128.06,130.15,1124004
2021-04-22,AAPL,129.54,130.79,128.14,128.68,1468976
2021-04-23,AAPL,128.93,131.74,128.93,130.95,1362641
2021-04-26,AAPL,131.46,131.69,130.22,131.33,962141
2021-04-27,AAPL,131.72,132.01,130.77,131.03,997078
2021-04-28,AAPL,131.01,131.64,129.76,130.33,1680813
2021-04-29,AAPL,133.14,133.64,129.17,130.14,2694782
2021-04-30,AAPL,128.51,130.21,127.8,128.16,2095425
2021-05-03,AAPL,128.74,130.71,128.54,129.24,1367299
2021-05-04,AAPL,128.07,128.19,123.53,124.76,2286176
2021-05-05,AAPL,125.98,127.17,124.78,124.87,1125125
2021-05-06,AAPL,124.67,126.5,123.97,126.49,1428629
2021-05-07,AAPL,127.84,128.16,126.47,127.22,1079823
2021-05-10,AAPL,126.46,126.52,123.88,123.98,1410538
2021-05-11,AAPL,120.62,123.32,119.92,122.92,1763827
2021-05-12,AAPL,120.48,121.73,119.4,119.85,1600589
2021-05-13,AAPL,121.71,123.19,121.37,122.03,1626422
2021-05-14,AAPL,123.38,124.9,122.91,124.39,1224083
2021-05-17,AAPL,123.88,123.96,122.25,123.25,858488
2021-05-18,AAPL,123.52,124.0,121.88,121.9,1095265
2021-05-19,AAPL,120.16,121.99,120.0,121.78,1141558
2021-05-20,AAPL,122.53,124.73,122.2,124.32,1213108
2021-05-21,AAPL,124.85,125.01,122.29,122.44,1046298
2021-05-24,AAPL,123.1,124.95,123.02,124.19,1208122
2021-05-25,AAPL,124.8,125.29,123.37,123.96,906186
2021-05-26,AAPL,123.96,124.4,123.48,123.88,991622
2021-05-27,AAPL,123.54,124.66,122.42,122.42,1222450
2021-05-28,AAPL,122.68,122.84,121.66,121.7,1225776
2021-06-01,AAPL,122.15,122.42,121.05,121.3,1284942
2021-06-02,AAPL,121.32,122.31,121.17,122.16,951884
2021-06-03,AAPL,121.69,121.94,120.26,120.68,1137782
2021-06-04,AAPL,121.12,123.21,120.97,122.93,1035070
2021-06-07,AAPL,123.24,123.35,121.93,122.96,1401779
