date,symbol,open,high,low,close,volume
2020-12-23,DIA,275.69,277.08,275.69,275.76,6613
2020-12-24,DIA,276.12,276.42,275.5,276.41,3280
2020-12-28,DIA,277.82,279.16,277.73,278.26,9814
2020-12-29,DIA,279.48,279.59,277.05,277.62,5690
2020-12-30,DIA,278.68,279.27,278.17,278.26,13991
2020-12-31,DIA,278.1,280.3,277.75,280.3,16808
2021-01-04,DIA,280.57,280.57,273.86,276.65,12294
2021-01-05,DIA,276.98,279.06,276.0,278.17,16378
2021-01-06,DIA,278.02,283.85,277.39,282.24,50424
2021-01-07,DIA,283.44,285.17,283.27,284.31,17380
2021-01-08,DIA,284.98,284.98,281.99,284.78,14904
2021-01-11,DIA,282.91,284.58,282.91,283.8,12840
2021-01-12,DIA,283.91,284.79,282.94,284.59,12477
2021-01-13,DIA,284.32,285.15,283.82,284.42,5169
2021-01-14,DIA,285.35,285.64,284.02,284.07,10935
2021-01-15,DIA,282.07,283.07,280.27,282.26,9936
2021-01-19,DIA,284.25,284.43,282.86,283.21,5856
2021-01-20,DIA,284.34,285.98,283.97,285.7,10265
2021-01-21,DIA,285.43,286.2,285.08,285.52,6537
2021-01-22,DIA,283.75,284.75,283.12,283.78,9692
2021-01-25,DIA,283.25,283.5,280.22,283.43,10191
2021-01-26,DIA,284.69,284.69,283.2,283.29,8911
2021-01-27,DIA,280.58,280.58,276.64,277.43,27995
2021-01-28,DIA,279.85,283.13,279.85,280.22,24445
2021-01-29,DIA,277.36,278.76,273.69,274.52,25050
2021-02-01,DIA,276.8,277.74,275.06,276.86,8973
2021-02-02,DIA,279.06,282.29,279.06,281.01,22224
2021-02-03,DIA,280.9,281.93,279.66,281.83,8368
2021-02-04,DIA,281.84,284.38,281.84,284.38,7882
2021-02-05,DIA,285.56,285.6,284.7,284.97,8801
2021-02-08,DIA,286.93,287.32,286.24,287.32,5963
2021-02-09,DIA,286.49,287.92,286.24,287.6,14818
2021-02-10,DIA,288.39,288.62,286.21,287.82,15529
2021-02-11,DIA,288.66,289.06,286.57,288.13,9143
2021-02-12,DIA,288.11,288.53,287.47,288.53,6260
2021-02-16,DIA,289.53,289.53,288.59,289.17,10422
2021-02-17,DIA,287.91,290.08,287.69,289.91,9331
2021-02-18,DIA,287.76,289.27,287.39,289.19,11597
2021-02-19,DIA,289.65,290.2,288.81,288.84,12792
2021-02-22,DIA,287.29,290.28,287.29,289.19,12870
2021-02-23,DIA,288.78,290.28,285.94,289.56,53441
2021-02-24,DIA,289.06,293.53,288.57,293.29,21629
2021-02-25,DIA,293.11,293.5,287.16,288.31,80261
2021-02-26,DIA,288.02,288.17,283.79,284.88,53424
2021-03-01,DIA,288.51,290.71,288.43,289.41,17874
2021-03-02,DIA,289.9,290.06,288.18,288.27,29122
2021-03-03,DIA,287.93,289.74,287.06,287.12,37083
2021-03-04,DIA,287.73,288.91,280.47,283.84,93546
2021-03-05,DIA,286.55,289.79,282.67,289.25,37183
2021-03-08,DIA,289.76,295.15,289.76,292.47,54448
2021-03-09,DIA,293.25,295.08,292.14,292.14,33837
2021-03-10,DIA,294.1,297.41,294.1,296.6,39330
2021-03-11,DIA,297.7,299.92,297.09,298.46,42830
2021-03-12,DIA,298.9,301.29,298.88,301.29,26858
2021-03-15,DIA,302.36,302.84,299.98,302.82,30419
2021-03-16,DIA,302.61,302.64,301.21,301.81,18139
2021-03-17,DIA,302.42,303.63,301.5,303.38,21028
2021-03-18,DIA,303.08,305.34,301.85,302.17,25481
2021-03-19,DIA,301.54,301.54,298.82,299.86,20679
2021-03-22,DIA,299.35,301.46,299.15,300.85,12882
2021-03-23,DIA,300.0,300.93,297.34,297.89,32636
2021-03-24,DIA,299.31,301.13,298.21,298.21,24114
2021-03-25,DIA,296.56,300.17,295.02,299.79,20375
2021-03-26,DIA,301.2,304.13,300.42,304.13,29040
2021-03-29,DIA,303.58,305.46,302.44,304.92,25980
2021-03-30,DIA,304.42,304.8,303.26,303.53,29577
2021-03-31,DIA,304.12,304.63,303.39,303.39,17732
2021-04-01,DIA,304.14,304.82,303.17,304.81,27610
2021-04-05,DIA,307.07,309.01,307.07,308.23,18927
2021-04-06,DIA,307.57,308.24,307.01,307.2,13472
2021-04-07,DIA,307.27,308.11,306.64,307.44,11635
2021-04-08,DIA,307.34,307.94,306.57,307.85,32718
2021-04-09,DIA,308.62,310.52,308.38,310.51,31156
2021-04-12,DIA,310.12,310.56,309.57,310.29,33065
2021-04-13,DIA,309.61,310.17,308.53,309.66,23517
2021-04-14,DIA,311.05,311.75,309.89,309.98,40674
2021-04-15,DIA,311.59,313.07,311.59,312.7,30887
2021-04-16,DIA,314.4,314.87,313.67,314.37,12739
2021-04-19,DIA,313.65,313.83,312.41,312.89,10722
2021-04-20,DIA,312.11,312.29,309.95,311.04,16272
2021-04-21,DIA,310.77,314.0,310.63,313.74,15703
2021-04-22,DIA,313.37,313.67,310.02,311.01,45986
2021-04-23,DIA,310.63,313.96,310.21,313.09,28354
2021-04-26,DIA,313.49,313.9,312.19,312.38,29461
2021-04-27,DIA,311.99,312.94,311.48,312.73,18130
2021-04-28,DIA,311.87,312.11,310.97,311.13,31106
2021-04-29,DIA,312.77,313.45,310.78,313.24,46708
2021-04-30,DIA,311.66,312.28,310.75,311.35,28081
2021-05-03,DIA,313.39,314.66,313.23,313.69,40329
2021-05-04,DIA,312.68,313.88,310.62,313.76,69281
2021-05-05,DIA,314.71,315.7,313.08,314.66,48260
2021-05-06,DIA,315.47,317.84,314.78,317.81,14436
2021-05-07,DIA,317.13,320.29,317.13,319.88,36218
2021-05-10,DIA,321.04,322.78,319.71,319.76,37921
2021-05-11,DIA,317.08,317.39,313.81,315.16,70892
2021-05-12,DIA,313.97,314.65,308.77,309.07,86104
2021-05-13,DIA,309.43,314.49,309.43,313.22,45740
2021-05-14,DIA,314.98,317.16,314.86,316.59,52035
2021-05-17,DIA,315.72,316.47,314.66,316.09,21219
2021-05-18,DIA,316.51,316.76,313.54,313.54,28205
2021-05-19,DIA,310.23,312.24,308.28,312.08,68048
2021-05-20,DIA,312.51,315.28,312.12,313.98,19615
2021-05-21,DIA,315.62,317.03,314.88,315.06,31387
2021-05-24,DIA,316.57,317.6,316.24,316.81,13269
2021-05-25,DIA,317.91,317.91,315.82,316.21,18583
2021-05-26,DIA,316.7,317.02,315.79,316.15,18001
2021-05-27,DIA,318.14,318.65,316.98,317.96,24027
2021-05-28,DIA,319.16,319.21,318.4,318.51,17086
2021-06-01,DIA,321.1,321.11,318.54,318.79,14260
2021-06-02,DIA,319.47,319.91,318.66,319.02,17218
2021-06-03,DIA,317.56,319.71,316.72,319.0,24742
2021-06-04,DIA,319.86,320.65,319.56,320.57,19999
2021-06-07,DIA,321.12,321.12,318.87,319.35,73326
2021-06-08,DIA,319.54,319.56,317.8,319.12,19323
2021-06-09,DIA,319.23,319.61,317.79,317.88,14799
2021-06-10,DIA,319.33,320.37,317.79,317.92,29129
2021-06-11,DIA,318.85,319.26,316.63,317.94,34491
2021-06-14,DIA,317.74,317.74,315.63,317.19,33782
2021-06-15,DIA,317.44,317.47,315.57,316.33,16918
2021-06-16,DIA,316.12,316.34,312.89,314.02,26894
2021-06-17,DIA,313.94,314.43,310.22,312.02,51555
2021-06-18,DIA,308.49,309.38,307.23,307.38,48778
2021-06-21,DIA,309.37,312.88,308.67,312.68,40402
2021-06-22,DIA,312.7,314.12,311.53,313.33,33923
2021-06-23,DIA,313.58,313.74,312.66,312.67,28826
2021-06-24,DIA,314.39,315.89,314.17,315.59,49826
2021-06-25,DIA,317.25,318.3,317.01,318.14,32725
2021-06-28,DIA,317.77,317.84,315.49,316.33,25496
2021-06-29,DIA,317.41,318.14,316.27,316.49,27525
2021-06-30,DIA,316.42,318.86,316.42,318.42,25957
2021-07-01,DIA,319.3,319.52,318.43,319.48,19557
2021-07-02,DIA,320.26,321.39,319.51,321.11,30039
2021-07-06,DIA,321.21,321.21,317.14,319.02,32293
