date,symbol,open,high,low,close,volume
2020-12-23,KMX,93.085,93.99,92.04,93.185,108327
2020-12-24,KMX,93.27,93.3,91.29,92.47,55232
2020-12-28,KMX,92.615,92.66,90.91,90.97,84104
2020-12-29,KMX,91.41,92.425,90.465,92.23,79199
2020-12-30,KMX,92.22,94.85,92.22,94.59,85271
2020-12-31,KMX,93.98,94.98,92.89,94.49,104515
2021-01-04,KMX,94.3,94.37,92.14,93.345,137585
2021-01-05,KMX,93.065,94.29,92.36,94.13,150457
2021-01-06,KMX,94.395,98.17,94.37,98.02,199127
2021-01-07,KMX,98.45,100.58,97.61,100.31,163103
2021-01-08,KMX,100.93,103.15,100.875,102.16,123942
2021-01-11,KMX,101.08,104.705,101.08,104.64,63628
2021-01-12,KMX,104.67,106.61,103.975,106.46,77215
2021-01-13,KMX,106.72,108.16,105.48,105.49,70402
2021-01-14,KMX,106.065,107.19,105.26,106.35,76991
2021-01-15,KMX,105.14,106.99,105.08,106.39,52844
2021-01-19,KMX,108.96,116.64,108.66,116.42,191608
2021-01-20,KMX,117.26,124.9,116.88,122.86,196546
2021-01-21,KMX,122.95,123.13,119.93,120.27,126275
2021-01-22,KMX,119.945,120.42,117.72,118.59,95367
2021-01-25,KMX,119.5,122.11,118.67,120.975,150776
2021-01-26,KMX,121.785,128.51,121.57,127.72,184760
2021-01-27,KMX,126.0,126.2,120.41,121.4,303563
2021-01-28,KMX,121.11,123.28,120.275,121.24,127773
2021-01-29,KMX,120.07,120.88,116.81,117.7,91140
2021-02-01,KMX,119.2,119.95,116.78,116.935,96546
2021-02-02,KMX,117.98,123.54,117.98,123.135,112460
2021-02-03,KMX,122.88,124.03,121.29,123.35,112098
2021-02-04,KMX,123.47,125.97,123.47,125.67,53440
2021-02-05,KMX,127.145,127.49,125.605,126.16,79111
2021-02-08,KMX,126.89,128.5,126.84,126.87,61562
2021-02-09,KMX,126.14,126.29,125.15,125.36,47767
2021-02-10,KMX,125.7,126.89,125.15,125.435,77491
2021-02-11,KMX,125.99,127.725,125.47,126.77,26177
2021-02-12,KMX,125.14,126.57,124.78,125.05,63632
2021-02-16,KMX,125.86,126.87,122.28,122.41,101233
2021-02-17,KMX,121.135,123.09,119.54,122.53,59148
2021-02-18,KMX,121.915,121.96,119.43,120.17,46932
2021-02-19,KMX,120.93,122.59,120.69,121.3,53838
2021-02-22,KMX,120.35,121.55,119.32,119.32,61250
2021-02-23,KMX,117.6,119.505,115.99,119.285,40077
2021-02-24,KMX,119.14,121.96,119.0,121.96,161276
2021-02-25,KMX,121.76,124.11,118.29,118.92,134082
2021-02-26,KMX,119.13,122.02,118.57,119.55,129289
2021-03-01,KMX,121.21,122.6,120.78,121.41,141011
2021-03-02,KMX,121.71,121.71,119.63,120.87,183413
2021-03-03,KMX,120.03,123.09,119.84,122.04,74687
2021-03-04,KMX,121.67,122.39,117.485,120.13,59389
2021-03-05,KMX,121.36,123.61,118.62,123.36,156119
2021-03-08,KMX,123.55,129.8,123.55,129.13,140385
2021-03-09,KMX,130.31,132.39,128.565,128.735,100197
2021-03-10,KMX,130.19,135.025,129.71,133.57,70477
2021-03-11,KMX,134.4,136.3,132.8,132.92,71272
2021-03-12,KMX,132.84,134.87,132.42,133.79,60972
2021-03-15,KMX,134.15,134.475,132.56,134.35,66423
2021-03-16,KMX,133.51,133.7,130.57,131.21,79737
2021-03-17,KMX,130.94,132.28,130.58,132.05,45276
2021-03-18,KMX,132.11,136.4,131.99,134.51,65022
2021-03-19,KMX,133.04,134.04,131.35,133.34,95238
2021-03-22,KMX,133.68,133.68,130.605,132.31,45745
2021-03-23,KMX,131.54,132.37,130.61,130.97,30818
2021-03-24,KMX,131.015,132.635,128.19,128.305,56712
2021-03-25,KMX,126.86,131.35,126.61,130.56,83043
2021-03-26,KMX,132.21,133.895,131.235,133.895,51152
2021-03-29,KMX,135.24,136.24,133.19,134.85,42429
2021-03-30,KMX,134.87,136.46,134.54,135.73,44858
2021-03-31,KMX,133.54,135.26,132.525,132.64,76865
2021-04-01,KMX,126.45,129.14,122.57,123.3,398778
2021-04-05,KMX,125.315,128.48,122.855,128.15,104429
2021-04-06,KMX,127.6,127.73,124.685,126.31,50668
2021-04-07,KMX,126.63,127.33,125.15,126.08,31448
2021-04-08,KMX,125.96,128.2,124.795,128.2,45994
2021-04-09,KMX,128.43,132.11,128.36,131.65,65083
2021-04-12,KMX,131.09,132.305,130.52,132.14,57128
2021-04-13,KMX,131.225,131.235,128.89,130.24,47071
2021-04-14,KMX,130.71,131.845,129.465,129.585,43282
2021-04-15,KMX,129.25,129.635,127.81,129.23,35088
2021-04-16,KMX,130.2,130.57,129.22,129.98,38379
2021-04-20,KMX,129.94,129.94,126.45,127.77,36371
2021-04-21,KMX,127.35,129.5,126.94,128.87,29572
2021-04-22,KMX,129.95,130.81,128.395,129.03,26845
2021-04-23,KMX,128.97,131.57,128.78,131.12,23170
2021-04-26,KMX,131.91,131.95,130.45,131.395,32739
2021-04-27,KMX,131.895,134.12,131.635,133.21,23493
2021-04-28,KMX,132.42,134.7,132.42,134.06,17410
2021-04-29,KMX,134.73,135.89,132.0,133.23,27029
2021-04-30,KMX,132.655,133.5,131.91,133.23,42353
2021-05-03,KMX,134.28,137.955,134.28,136.99,51407
2021-05-04,KMX,136.94,137.74,135.055,137.26,33316
2021-05-05,KMX,137.65,138.75,137.19,137.85,44751
2021-05-06,KMX,137.94,138.02,128.255,130.39,99056
2021-05-07,KMX,129.7,130.45,128.66,129.995,55350
2021-05-10,KMX,130.27,130.27,127.775,127.98,63392
2021-05-11,KMX,126.66,126.83,122.77,123.39,124929
2021-05-12,KMX,121.63,122.43,118.05,118.06,101218
2021-05-13,KMX,118.34,122.08,117.43,121.12,103995
2021-05-14,KMX,122.35,125.39,122.35,124.87,48292
2021-05-17,KMX,124.41,124.97,123.16,124.53,26446
2021-05-18,KMX,124.47,124.47,119.96,120.33,41995
2021-05-19,KMX,116.03,117.59,114.36,115.735,70110
2021-05-20,KMX,115.28,117.825,114.33,117.19,21729
2021-05-21,KMX,118.34,118.87,116.58,116.61,45305
2021-05-24,KMX,115.84,115.84,113.11,113.88,59988
2021-05-25,KMX,114.87,115.245,112.97,113.37,38934
2021-05-26,KMX,113.345,115.25,113.11,114.83,32416
2021-05-27,KMX,115.98,116.55,114.84,115.79,21044
2021-05-28,KMX,115.9,116.14,115.095,115.215,24325
2021-06-01,KMX,116.57,118.09,116.13,116.68,27531
2021-06-02,KMX,117.77,117.77,114.25,114.65,50458
2021-06-03,KMX,114.595,114.8,113.09,113.79,44503
2021-06-04,KMX,114.35,114.48,112.825,114.04,23843
2021-06-07,KMX,114.09,115.035,112.73,114.58,37016
2021-06-08,KMX,114.63,115.8,113.21,115.02,21845
2021-06-09,KMX,115.49,115.71,114.165,115.0,39999
2021-06-10,KMX,115.44,116.33,115.01,115.01,42823
2021-06-11,KMX,115.59,118.66,115.59,116.8,68316
2021-06-14,KMX,117.585,118.295,117.08,118.1,67939
2021-06-15,KMX,118.22,119.14,117.55,118.88,63554
2021-06-16,KMX,118.79,118.79,116.34,117.43,49493
2021-06-17,KMX,118.3,118.3,114.26,115.95,107081
2021-06-18,KMX,113.835,114.65,113.05,113.13,55068
2021-06-21,KMX,114.78,116.635,114.74,116.08,30720
2021-06-22,KMX,116.39,117.81,115.53,117.45,57725
2021-06-23,KMX,118.065,118.94,116.8,118.31,85640
2021-06-24,KMX,119.25,120.55,119.09,119.42,98521
2021-06-25,KMX,124.9,128.15,122.4,127.45,298547
2021-06-28,KMX,127.695,129.31,124.935,129.02,87525
2021-06-29,KMX,129.495,131.53,128.97,130.67,87273
2021-06-30,KMX,130.12,131.22,129.045,129.13,69469
2021-07-01,KMX,129.45,131.13,128.69,130.54,89292
2021-07-02,KMX,130.57,134.27,130.465,133.77,48009
2021-07-06,KMX,133.0,133.39,131.94,132.67,60253
2021-07-07,KMX,132.375,137.49,132.23,136.94,66804
2021-07-08,KMX,133.48,135.46,130.27,133.21,103699
2021-07-09,KMX,135.23,135.5,133.375,134.81,70015
2021-07-12,KMX,134.14,136.26,134.14,135.345,50573
2021-07-13,KMX,134.895,134.895,131.6,131.67,148055
2021-07-14,KMX,131.91,134.42,131.91,134.21,51226
2021-07-15,KMX,133.675,134.34,129.88,131.23,50519
2021-07-16,KMX,132.83,132.92,130.84,130.93,31362
2021-07-19,KMX,128.25,128.93,126.41,128.49,30533
2021-07-20,KMX,129.25,134.77,129.25,134.37,42076
2021-07-21,KMX,136.08,137.89,134.74,135.93,68174
2021-07-22,KMX,134.705,135.35,133.79,134.45,35393
2021-07-23,KMX,135.67,135.67,133.94,134.81,54640
2021-07-26,KMX,135.27,135.27,133.605,135.105,44682
2021-07-27,KMX,134.19,135.505,133.62,134.965,53295
2021-07-28,KMX,136.32,136.32,133.08,133.33,20992
2021-07-29,KMX,134.21,135.54,133.08,135.01,40015
2021-07-30,KMX,134.78,136.17,133.27,133.91,49184
2021-08-02,KMX,135.73,137.02,134.995,136.46,64638
2021-08-03,KMX,136.99,139.94,136.62,139.64,64555
2021-08-04,KMX,139.38,139.9,136.1,136.6,43386
2021-08-05,KMX,137.02,137.94,135.88,135.88,19243
2021-08-06,KMX,137.81,137.81,133.905,133.93,46145
2021-08-09,KMX,133.26,133.8,130.6,132.825,65951
2021-08-10,KMX,133.42,135.94,133.42,135.22,27134
2021-08-11,KMX,133.64,133.64,130.9,131.9,93438
2021-08-12,KMX,132.18,132.8,128.85,129.29,45560
2021-08-13,KMX,129.35,129.35,127.815,127.985,26374
2021-08-16,KMX,127.01,129.235,124.85,129.07,57104
2021-08-17,KMX,127.07,128.23,125.88,127.37,55174
2021-08-18,KMX,126.425,127.89,124.565,124.58,46060
2021-08-19,KMX,123.49,124.64,122.51,124.11,31861
2021-08-20,KMX,124.44,124.9,123.3,124.87,19259
2021-08-23,KMX,125.41,125.62,124.13,124.94,28455
2021-08-24,KMX,125.58,126.365,125.08,125.45,26295
2021-08-25,KMX,125.875,128.005,125.57,127.45,28701
2021-08-26,KMX,126.96,127.72,125.885,126.21,33814
2021-08-27,KMX,126.15,127.32,125.65,126.6,14249
2021-08-30,KMX,126.07,128.04,125.69,126.48,15039
2021-08-31,KMX,125.85,126.03,124.3,125.22,37447
2021-09-01,KMX,125.89,127.51,125.89,127.31,62522
2021-09-02,KMX,127.575,127.575,125.88,126.375,44565
2021-09-03,KMX,126.17,127.62,125.41,127.11,34515
2021-09-07,KMX,127.24,128.51,126.89,126.96,41911
2021-09-08,KMX,126.79,131.42,126.625,131.42,69489
2021-09-09,KMX,131.61,134.58,131.61,133.26,54376
2021-09-10,KMX,133.95,135.58,132.82,134.44,41310
2021-09-13,KMX,135.22,135.22,131.985,134.34,50108
2021-09-14,KMX,134.47,135.81,133.855,135.06,35607
2021-09-15,KMX,134.65,137.02,132.965,136.79,30350
2021-09-16,KMX,136.34,140.09,136.34,139.76,73037
2021-09-17,KMX,139.03,142.045,139.03,140.29,58606
2021-09-20,KMX,137.655,139.86,136.665,138.16,64730
2021-09-21,KMX,140.74,140.74,136.71,136.99,38197
2021-09-22,KMX,138.36,141.52,137.7,140.57,66658
2021-09-23,KMX,142.025,144.75,141.675,142.17,60502
2021-09-24,KMX,142.43,144.51,141.83,144.42,28879
2021-09-27,KMX,145.625,146.91,144.88,145.19,41927
2021-09-28,KMX,144.605,146.46,142.565,142.98,68240
2021-09-29,KMX,144.03,147.72,143.92,146.49,84062
2021-09-30,KMX,132.75,135.94,127.95,127.95,343997
2021-10-01,KMX,128.82,128.83,123.03,127.255,130824
2021-10-04,KMX,125.7,126.82,122.42,122.42,71340
2021-10-05,KMX,122.41,127.66,121.94,126.29,92295
2021-10-06,KMX,126.27,129.34,126.27,129.275,74214
2021-10-07,KMX,130.5,132.76,129.34,131.35,24393
2021-10-08,KMX,131.04,132.29,129.88,130.53,27983
2021-10-11,KMX,129.58,130.62,129.175,129.175,19934
2021-10-12,KMX,129.62,132.59,129.62,131.61,36242
2021-10-13,KMX,131.99,133.63,131.255,133.36,31146
2021-10-14,KMX,135.195,136.585,134.21,135.685,33968
2021-10-15,KMX,137.07,137.74,136.0,136.82,18620
2021-10-18,KMX,136.76,137.835,136.76,137.51,17959
2021-10-19,KMX,137.795,138.59,136.05,138.45,28897
2021-10-20,KMX,139.19,139.98,138.14,138.54,28943
2021-10-21,KMX,139.01,142.49,139.01,141.79,25794
2021-10-22,KMX,142.63,144.03,142.21,143.42,15681
2021-10-25,KMX,143.495,144.09,139.93,139.93,47776
2021-10-26,KMX,138.87,138.87,135.65,137.47,36233
2021-10-27,KMX,136.86,138.5,136.75,137.06,25423
2021-10-28,KMX,137.3,137.67,134.715,136.17,35439
2021-10-29,KMX,135.965,137.67,135.88,136.93,39616
2021-11-01,KMX,138.3,139.33,136.58,138.93,179601
2021-11-02,KMX,138.6,145.025,137.795,144.57,123100
2021-11-03,KMX,145.055,147.54,144.59,147.48,44089
2021-11-04,KMX,147.36,151.73,147.36,151.01,59760
2021-11-05,KMX,152.96,154.72,152.88,154.71,48054
2021-11-08,KMX,154.68,155.95,153.28,153.97,124766
2021-11-09,KMX,153.935,155.135,153.625,154.87,78345
