date,symbol,open,high,low,close,volume
2020-12-23,MSFT,214.13,214.44,212.09,212.09,398125
2020-12-24,MSFT,212.5,214.5,212.27,213.81,271592
2020-12-28,MSFT,215.32,216.84,214.02,215.8,390364
2020-12-29,MSFT,216.84,217.93,214.55,215.14,355553
2020-12-30,MSFT,216.04,216.47,212.5,212.51,456755
2020-12-31,MSFT,212.83,213.86,210.79,213.8,462619
2021-01-04,MSFT,213.55,213.95,206.18,209.1,678049
2021-01-05,MSFT,208.76,209.64,207.24,209.29,483132
2021-01-06,MSFT,203.82,207.69,203.41,203.5,881552
2021-01-07,MSFT,205.33,210.43,205.06,209.52,621610
2021-01-08,MSFT,209.81,211.59,208.24,210.74,656869
2021-01-11,MSFT,209.6,210.02,207.96,208.67,519302
2021-01-12,MSFT,207.77,208.27,204.68,206.44,705831
2021-01-13,MSFT,205.3,207.96,205.3,207.83,635639
2021-01-14,MSFT,207.37,208.6,204.12,204.77,573145
2021-01-15,MSFT,204.57,205.82,203.48,204.15,669016
2021-01-19,MSFT,205.09,208.19,204.04,207.69,688794
2021-01-20,MSFT,209.06,216.63,208.55,215.25,1221985
2021-01-21,MSFT,215.56,217.12,213.43,215.79,1226767
2021-01-22,MSFT,217.95,220.71,216.89,216.89,1457906
2021-01-25,MSFT,219.82,220.46,215.26,220.09,976700
2021-01-26,MSFT,222.66,224.68,220.77,223.1,1510093
2021-01-27,MSFT,228.35,230.69,220.83,223.45,2063324
2021-01-28,MSFT,226.06,232.79,225.58,229.35,1701928
2021-01-29,MSFT,225.83,228.36,222.07,222.31,1490894
2021-02-01,MSFT,225.62,232.65,223.11,229.82,1074131
2021-02-02,MSFT,231.33,232.46,229.04,229.69,1135257
2021-02-03,MSFT,229.95,235.14,229.61,233.22,709130
2021-02-04,MSFT,232.92,233.34,230.63,231.38,834884
2021-02-05,MSFT,232.59,233.17,230.72,232.37,490278
2021-02-08,MSFT,233.48,233.7,231.08,232.6,467352
2021-02-09,MSFT,232.23,234.84,231.61,233.9,513674
2021-02-10,MSFT,234.98,235.92,231.17,232.84,701422
2021-02-11,MSFT,234.81,235.12,232.41,234.66,505643
2021-02-12,MSFT,234.16,235.32,232.94,235.04,520048
2021-02-16,MSFT,235.09,236.12,233.09,233.73,658226
2021-02-17,MSFT,231.97,234.9,231.73,234.87,621533
2021-02-18,MSFT,232.69,234.53,231.68,234.53,379762
2021-02-19,MSFT,234.48,234.48,231.0,231.84,815978
2021-02-22,MSFT,228.25,228.79,223.5,225.38,1459617
2021-02-23,MSFT,221.34,225.79,220.02,224.3,1044193
2021-02-24,MSFT,221.16,226.19,220.24,225.5,652132
2021-02-25,MSFT,223.42,225.57,219.17,220.69,992433
2021-02-26,MSFT,222.71,226.33,220.85,223.59,716307
2021-03-01,MSFT,226.65,228.34,224.21,228.13,608673
2021-03-02,MSFT,227.87,228.16,224.58,224.67,575969
2021-03-03,MSFT,223.19,224.58,218.61,218.87,1135679
2021-03-04,MSFT,218.13,223.54,215.68,217.91,1267762
2021-03-05,MSFT,220.57,224.3,217.87,222.74,1125687
2021-03-08,MSFT,222.35,224.4,218.47,218.75,1118290
2021-03-09,MSFT,223.9,226.35,222.96,224.55,701622
2021-03-10,MSFT,227.72,227.88,223.18,223.18,768272
2021-03-11,MSFT,225.33,229.98,225.33,228.03,758685
2021-03-12,MSFT,225.26,226.68,224.29,226.67,665316
2021-03-15,MSFT,225.95,226.04,222.94,225.7,766254
2021-03-16,MSFT,227.44,230.85,227.02,228.71,839267
2021-03-17,MSFT,227.1,229.4,224.31,227.9,662225
