date,symbol,open,high,low,close,volume
2020-12-23,QQQ,300.57,300.87,298.86,298.93,247811
2020-12-24,QQQ,299.23,300.71,299.17,300.31,172562
2020-12-28,QQQ,302.92,303.78,301.15,303.23,279906
2020-12-29,QQQ,304.74,305.26,302.7,303.53,274646
2020-12-30,QQQ,304.75,304.95,303.05,303.6,223585
2020-12-31,QQQ,303.6,304.82,302.52,304.78,176463
2021-01-04,QQQ,305.69,305.85,296.13,300.08,370969
2021-01-05,QQQ,299.17,302.66,299.17,302.44,219913
2021-01-06,QQQ,297.64,302.53,296.88,298.34,483281
2021-01-07,QQQ,301.1,306.37,301.02,305.69,275396
2021-01-08,QQQ,307.91,309.82,305.69,309.57,285541
2021-01-11,QQQ,306.31,307.59,304.43,304.82,244505
2021-01-12,QQQ,305.1,306.11,301.91,304.71,436506
2021-01-13,QQQ,304.86,307.36,304.24,306.53,214029
2021-01-14,QQQ,307.1,307.94,304.48,304.95,214139
2021-01-15,QQQ,304.71,305.68,301.29,302.54,240137
2021-01-19,QQQ,304.88,307.42,303.84,306.95,271858
2021-01-20,QQQ,310.52,314.98,310.21,314.05,431709
2021-01-21,QQQ,315.39,317.32,314.04,316.59,219762
2021-01-22,QQQ,315.56,316.66,315.08,315.69,169713
2021-01-25,QQQ,319.15,320.38,311.78,318.57,251142
2021-01-26,QQQ,319.07,319.84,317.64,318.71,243490
2021-01-27,QQQ,316.45,316.49,307.9,309.8,765439
2021-01-28,QQQ,311.02,316.6,310.46,311.68,465802
2021-01-29,QQQ,309.97,311.09,303.41,305.1,507075
2021-02-01,QQQ,308.69,313.82,306.73,312.92,342754
2021-02-02,QQQ,315.71,318.97,315.57,317.91,277333
2021-02-03,QQQ,320.09,320.3,316.58,316.58,396388
2021-02-04,QQQ,318.16,320.32,316.7,320.31,173325
2021-02-05,QQQ,321.36,322.43,319.7,321.55,172874
2021-02-08,QQQ,323.13,323.64,321.52,323.59,202811
2021-02-09,QQQ,322.75,324.76,322.75,323.47,167428
2021-02-10,QQQ,324.96,325.35,319.71,322.77,385921
2021-02-11,QQQ,324.44,324.89,322.18,324.66,191603
2021-02-12,QQQ,323.75,326.54,322.74,326.32,205288
2021-02-16,QQQ,327.24,328.06,324.35,325.41,246909
2021-02-17,QQQ,322.42,324.17,320.28,323.95,241842
2021-02-18,QQQ,320.23,323.18,318.53,322.43,384713
2021-02-19,QQQ,323.92,323.92,320.1,321.06,254605
2021-02-22,QQQ,316.59,317.9,312.59,312.59,394484
2021-02-23,QQQ,307.47,313.52,301.74,311.82,1213319
2021-02-24,QQQ,309.1,314.73,306.54,314.34,406663
2021-02-25,QQQ,311.86,314.3,301.96,303.4,874312
2021-02-26,QQQ,306.4,309.51,301.68,305.41,666355
2021-03-01,QQQ,309.88,314.23,308.45,313.96,453714
2021-03-02,QQQ,314.54,314.54,308.76,308.77,355583
2021-03-03,QQQ,307.59,308.68,299.85,299.93,981248
2021-03-04,QQQ,299.57,302.68,291.14,294.73,1699100
2021-03-05,QQQ,297.83,300.3,288.75,299.53,1069452
2021-03-08,QQQ,298.87,300.75,290.67,290.75,696738
2021-03-09,QQQ,298.37,304.3,297.85,302.23,651248
2021-03-10,QQQ,306.64,306.92,301.0,301.49,610806
2021-03-11,QQQ,306.53,310.25,305.43,308.64,450186
2021-03-12,QQQ,304.36,306.15,302.08,305.9,375824
2021-03-15,QQQ,306.22,309.44,304.79,309.24,335667
2021-03-16,QQQ,311.57,314.49,309.58,311.05,536693
2021-03-17,QQQ,307.97,314.15,306.23,312.13,1040437
2021-03-18,QQQ,307.39,308.25,302.26,302.56,975454
2021-03-19,QQQ,302.4,305.3,300.48,304.31,710387
2021-03-22,QQQ,306.21,311.51,306.19,309.51,488504
2021-03-23,QQQ,310.37,311.85,307.31,307.91,532868
2021-03-24,QQQ,309.38,309.43,302.82,302.82,386448
2021-03-25,QQQ,301.09,303.88,298.62,302.27,892146
2021-03-26,QQQ,302.07,307.21,300.82,307.11,388826
2021-03-29,QQQ,306.46,307.81,303.61,306.41,414478
2021-03-30,QQQ,304.85,305.84,302.62,304.97,303740
2021-03-31,QQQ,307.09,311.49,306.75,309.82,467794
2021-04-01,QQQ,313.66,315.33,313.57,315.3,533051
2021-04-05,QQQ,317.9,322.29,317.58,321.66,268427
2021-04-06,QQQ,321.04,323.25,320.54,321.32,220748
2021-04-07,QQQ,320.79,322.91,319.93,322.1,419985
2021-04-08,QQQ,325.02,325.58,324.16,325.54,245541
2021-04-09,QQQ,324.09,327.58,323.48,327.35,327493
2021-04-12,QQQ,326.36,327.35,325.17,326.95,200587
2021-04-13,QQQ,328.54,331.24,328.34,330.79,189774
2021-04-14,QQQ,331.08,331.08,326.04,326.65,351514
2021-04-15,QQQ,329.82,332.17,329.63,331.77,209122
2021-04-16,QQQ,332.22,332.35,330.34,332.11,194852
2021-04-19,QQQ,330.5,331.72,327.3,328.98,201066
2021-04-20,QQQ,328.53,329.72,324.8,326.62,282004
2021-04-21,QQQ,325.42,329.69,324.47,329.56,206762
2021-04-22,QQQ,328.99,330.08,324.5,325.6,314768
2021-04-23,QQQ,326.31,330.96,326.21,329.65,325501
2021-04-26,QQQ,330.1,332.08,329.17,331.78,177579
2021-04-27,QQQ,332.13,332.3,329.5,330.19,211334
2021-04-28,QQQ,330.03,330.96,328.69,328.96,290363
2021-04-29,QQQ,332.68,332.93,327.28,330.37,238183
2021-04-30,QQQ,327.95,330.46,327.39,328.13,194157
2021-05-03,QQQ,329.47,330.19,326.11,326.37,168764
2021-05-04,QQQ,324.03,324.27,316.88,320.57,557734
2021-05-05,QQQ,322.7,323.44,318.9,319.47,230878
2021-05-06,QQQ,319.31,322.1,317.11,321.87,308008
2021-05-07,QQQ,324.82,326.92,323.5,324.52,437547
2021-05-10,QQQ,323.34,323.34,316.21,316.24,471805
2021-05-11,QQQ,310.19,316.69,309.87,316.05,724255
2021-05-12,QQQ,310.85,313.28,306.95,307.8,724643
2021-05-13,QQQ,310.71,313.1,307.83,310.18,510424
2021-05-14,QQQ,313.43,317.89,312.85,317.0,413887
2021-05-17,QQQ,315.39,315.91,312.25,315.08,248815
2021-05-18,QQQ,316.08,317.21,312.69,312.69,385513
2021-05-19,QQQ,307.57,313.6,307.22,313.41,428467
2021-05-20,QQQ,314.83,320.22,314.6,319.43,395880
2021-05-21,QQQ,321.12,321.33,317.26,317.54,451155
2021-05-24,QQQ,319.67,324.04,319.61,322.97,344871
2021-05-25,QQQ,324.5,325.17,322.25,323.42,176602
2021-05-26,QQQ,324.11,324.94,323.43,324.48,206534
2021-05-27,QQQ,324.15,324.9,323.14,323.54,195717
2021-05-28,QQQ,324.61,325.9,324.02,324.06,307986
2021-06-01,QQQ,325.71,326.1,321.91,323.21,185865
2021-06-02,QQQ,323.6,324.72,322.19,323.83,211879
2021-06-03,QQQ,321.06,322.25,318.9,320.42,209600
2021-06-04,QQQ,322.54,326.38,322.27,326.03,278759
2021-06-07,QQQ,325.42,326.98,324.78,326.87,292961
2021-06-08,QQQ,328.66,329.48,325.4,327.11,174829
2021-06-09,QQQ,328.51,329.18,327.0,327.04,178856
2021-06-10,QQQ,327.41,330.65,327.08,330.54,219525
2021-06-11,QQQ,330.61,331.42,329.95,331.42,116515
2021-06-14,QQQ,331.79,334.47,330.79,334.47,230272
2021-06-15,QQQ,334.29,334.54,331.73,332.04,270069
2021-06-16,QQQ,332.91,333.94,327.76,331.02,342437
2021-06-17,QQQ,330.19,336.36,330.19,335.42,536372
2021-06-18,QQQ,333.87,334.83,332.06,332.61,368736
2021-06-21,QQQ,333.01,335.16,330.76,334.85,197165
2021-06-22,QQQ,334.83,338.4,334.4,337.94,190355
2021-06-23,QQQ,338.1,339.22,337.31,338.03,160038
2021-06-24,QQQ,340.08,341.75,339.63,340.16,179192
2021-06-25,QQQ,340.89,340.93,339.25,339.78,196046
2021-06-28,QQQ,341.12,344.05,341.09,343.88,249041
2021-06-29,QQQ,343.76,345.19,342.98,345.12,174578
2021-06-30,QQQ,344.88,345.34,344.1,344.68,202883
2021-07-01,QQQ,344.28,345.25,342.96,344.87,153980
2021-07-02,QQQ,346.71,349.03,346.45,348.72,247064
2021-07-06,QQQ,349.4,350.45,346.65,350.21,183256
2021-07-07,QQQ,352.55,352.71,349.07,350.89,210428
2021-07-08,QQQ,345.37,349.67,344.7,348.51,178941
2021-07-09,QQQ,348.34,351.5,347.83,351.06,208717
2021-07-12,QQQ,352.46,352.83,350.9,352.3,144548
2021-07-13,QQQ,351.99,355.34,351.57,352.29,276591
2021-07-14,QQQ,354.74,355.25,352.26,352.81,224966
2021-07-15,QQQ,352.93,353.08,348.59,350.48,394406
2021-07-16,QQQ,351.5,352.37,347.38,347.64,453112
2021-07-19,QQQ,344.17,345.34,342.35,344.77,631753
2021-07-20,QQQ,345.86,350.32,344.17,348.94,362672
2021-07-21,QQQ,348.49,351.49,348.3,351.46,281188
2021-07-22,QQQ,351.82,353.88,351.81,353.88,220902
2021-07-23,QQQ,355.34,358.29,354.02,357.95,187417
2021-07-26,QQQ,357.32,358.67,356.48,358.26,219046
2021-07-27,QQQ,357.97,358.0,350.24,354.32,634929
2021-07-28,QQQ,355.49,357.0,353.29,355.72,245148
2021-07-29,QQQ,355.31,357.49,355.28,356.45,131178
2021-07-30,QQQ,352.46,355.04,352.41,354.42,224874
2021-08-02,QQQ,356.22,356.65,353.95,354.44,165600
2021-08-03,QQQ,355.28,356.76,352.03,356.74,216792
2021-08-04,QQQ,356.64,358.14,355.59,357.23,164106
2021-08-05,QQQ,358.03,359.65,357.38,359.59,171904
2021-08-06,QQQ,358.27,359.15,356.87,357.85,184270
2021-08-09,QQQ,358.47,359.05,357.28,358.58,153745
2021-08-10,QQQ,359.09,359.32,355.54,356.69,314746
2021-08-11,QQQ,357.9,358.38,354.77,356.03,243526
2021-08-12,QQQ,355.59,357.71,354.28,357.5,254937
2021-08-13,QQQ,357.78,358.95,357.25,358.63,169632
2021-08-16,QQQ,357.53,358.8,353.8,358.8,188933
2021-08-17,QQQ,356.05,356.99,353.29,355.59,356485
2021-08-18,QQQ,354.92,356.43,351.89,352.24,238228
2021-08-19,QQQ,350.06,355.56,350.02,353.69,251371
2021-08-20,QQQ,355.05,357.96,354.79,357.6,208744
2021-08-23,QQQ,358.6,363.54,358.6,362.93,221774
2021-08-24,QQQ,363.6,364.62,363.07,364.03,189079
2021-08-25,QQQ,364.26,364.96,363.53,364.27,117265
2021-08-26,QQQ,363.7,364.12,361.74,362.12,124753
2021-08-27,QQQ,362.66,366.11,362.3,365.71,230749
2021-08-30,QQQ,366.48,370.22,366.44,369.8,168881
2021-08-31,QQQ,369.99,369.99,368.05,369.33,162554
2021-09-01,QQQ,370.52,372.11,369.87,370.07,158730
2021-09-02,QQQ,371.65,371.72,368.69,369.94,289499
2021-09-03,QQQ,369.27,371.35,368.88,371.08,177794
2021-09-07,QQQ,371.11,372.18,370.03,371.59,332880
2021-09-08,QQQ,371.21,371.23,368.02,370.25,344510
2021-09-09,QQQ,370.43,371.55,368.76,368.84,236144
2021-09-10,QQQ,370.76,371.41,365.86,366.15,634005
2021-09-13,QQQ,368.59,368.95,363.9,365.91,564310
2021-09-14,QQQ,367.43,368.14,363.96,364.76,371789
2021-09-15,QQQ,365.37,367.9,363.08,367.6,323699
2021-09-16,QQQ,366.47,368.43,364.37,367.9,385398
2021-09-17,QQQ,367.1,367.1,362.46,363.54,650606
2021-09-20,QQQ,357.55,359.39,351.39,356.09,675231
2021-09-21,QQQ,357.83,358.98,355.31,356.32,384407
2021-09-22,QQQ,357.51,361.11,356.34,359.81,354206
2021-09-23,QQQ,360.94,364.1,360.36,363.01,389321
2021-09-24,QQQ,360.78,363.82,360.46,363.5,470247
2021-09-27,QQQ,360.38,361.4,358.02,360.57,451347
2021-09-28,QQQ,355.94,356.57,349.85,350.35,1112656
2021-09-29,QQQ,351.51,353.72,349.15,349.75,674638
2021-09-30,QQQ,351.38,353.01,348.43,348.56,419239
2021-10-01,QQQ,349.01,351.67,344.98,350.35,681206
2021-10-04,QQQ,348.96,349.26,341.08,343.32,763512
2021-10-05,QQQ,344.36,350.15,344.12,347.77,623429
2021-10-06,QQQ,344.7,350.39,343.79,350.31,718713
2021-10-07,QQQ,353.21,355.98,352.69,353.19,595926
2021-10-08,QQQ,354.41,354.57,351.04,351.38,638046
2021-10-11,QQQ,350.06,353.5,348.96,348.97,348826
2021-10-12,QQQ,350.26,350.72,347.06,347.63,469333
2021-10-13,QQQ,349.98,351.03,347.99,350.4,435097
2021-10-14,QQQ,354.03,357.1,353.4,356.85,582504
2021-10-15,QQQ,358.3,359.26,357.22,359.12,383363
2021-10-18,QQQ,357.89,362.95,357.36,362.91,388210
2021-10-19,QQQ,363.93,365.56,363.19,365.44,266968
2021-10-20,QQQ,365.96,366.53,363.58,364.91,299217
2021-10-21,QQQ,364.31,367.45,363.97,367.19,263689
2021-10-22,QQQ,365.95,366.91,362.52,364.02,332991
2021-10-25,QQQ,365.66,368.81,363.68,367.94,435003
2021-10-26,QQQ,370.15,372.54,367.89,368.8,509398
2021-10-27,QQQ,369.49,372.96,369.32,369.92,454892
2021-10-28,QQQ,371.86,374.26,371.16,374.26,652400
2021-10-29,QQQ,370.81,376.01,370.7,375.77,527134
2021-11-01,QQQ,376.3,377.26,374.38,377.21,361879
2021-11-02,QQQ,376.51,379.2,376.5,378.85,188221
2021-11-03,QQQ,379.28,383.15,378.23,382.79,280303
2021-11-04,QQQ,383.99,388.6,383.49,387.68,519314
2021-11-05,QQQ,389.51,390.31,386.64,387.84,343223
2021-11-08,QQQ,388.11,388.97,386.86,387.51,217509
2021-11-09,QQQ,388.64,388.87,383.49,384.73,192122
2021-11-10,QQQ,381.94,384.86,377.36,379.22,543640
2021-11-11,QQQ,382.24,382.24,379.93,380.28,420539
2021-11-12,QQQ,381.33,384.74,379.92,384.27,375518
2021-11-15,QQQ,385.32,385.7,381.71,384.14,310005
2021-11-16,QQQ,383.48,387.34,383.32,386.91,285291
2021-11-17,QQQ,387.25,389.09,386.15,387.12,270434
2021-11-18,QQQ,389.18,391.57,386.97,391.12,322884
2021-11-19,QQQ,392.73,394.52,391.94,393.23,378928
2021-11-22,QQQ,394.92,397.8,388.61,388.71,748432
2021-11-23,QQQ,387.55,389.53,382.61,387.11,447157
2021-11-24,QQQ,384.46,388.41,382.2,388.41,332731
2021-11-26,QQQ,385.51,386.96,379.45,380.59,353121
2021-11-29,QQQ,385.48,390.01,384.71,388.79,693741
2021-11-30,QQQ,388.12,390.48,381.39,383.33,853878
2021-12-01,QQQ,387.71,389.84,376.52,376.52,804994
2021-12-02,QQQ,375.26,381.23,374.26,379.6,790378
2021-12-03,QQQ,380.98,381.9,368.85,373.11,939444
2021-12-06,QQQ,373.41,377.31,369.34,376.07,820309
2021-12-07,QQQ,382.8,387.86,382.68,387.18,578131
2021-12-08,QQQ,387.59,389.19,385.77,389.11,412581
2021-12-09,QQQ,387.84,389.57,383.11,383.37,680375
2021-12-10,QQQ,386.15,387.7,382.98,387.66,759549
2021-12-13,QQQ,387.49,387.72,381.67,381.67,584154
2021-12-14,QQQ,376.97,379.65,373.65,378.04,830145
2021-12-15,QQQ,377.59,386.85,373.72,386.52,805726
2021-12-16,QQQ,387.56,387.79,375.02,376.72,1054021
2021-12-17,QQQ,373.0,378.81,371.68,374.69,725684
2021-12-20,QQQ,369.8,371.85,367.96,371.04,572875
2021-12-21,QQQ,374.59,379.68,370.67,379.42,585470
2021-12-22,QQQ,378.93,384.16,378.49,383.92,538010
2021-12-23,QQQ,384.43,388.33,384.21,386.91,501386
2021-12-27,QQQ,388.22,393.26,388.19,393.25,408340
2021-12-28,QQQ,394.29,394.35,390.61,391.58,452654
2021-12-29,QQQ,391.69,392.79,389.09,391.49,487753
2021-12-30,QQQ,391.2,393.35,389.65,390.15,231757
2021-12-31,QQQ,389.67,390.82,387.35,387.48,255515
2022-01-03,QQQ,388.95,391.74,386.9,391.52,396970
2022-01-04,QQQ,391.94,392.06,383.36,386.65,683886
2022-01-05,QQQ,384.97,385.7,374.36,374.52,797724
2022-01-06,QQQ,372.72,377.46,370.61,374.35,783032
2022-01-07,QQQ,374.29,375.98,368.51,370.17,664732
2022-01-10,QQQ,365.29,371.0,360.04,370.72,1401790
2022-01-11,QQQ,369.79,376.2,367.78,376.17,682600
2022-01-12,QQQ,378.66,380.27,375.32,377.26,566908
2022-01-13,QQQ,379.23,379.57,367.2,368.33,951677
2022-01-14,QQQ,365.43,370.72,365.43,370.41,850116
2022-01-18,QQQ,364.59,366.65,360.44,361.41,1102398
2022-01-19,QQQ,362.65,365.09,356.98,357.21,723539
2022-01-20,QQQ,360.33,364.41,352.08,352.42,1022584
2022-01-21,QQQ,350.4,353.03,342.66,342.66,1824456
2022-01-24,QQQ,336.77,345.01,325.73,344.68,1269492
2022-01-25,QQQ,337.93,342.14,333.04,336.27,1200540
2022-01-26,QQQ,344.14,347.79,332.32,336.06,1558022
2022-01-27,QQQ,340.59,342.37,331.5,332.29,922266
2022-01-28,QQQ,334.38,343.1,329.45,342.98,1249780
2022-01-31,QQQ,344.25,354.44,342.71,353.98,696366
2022-02-01,QQQ,355.33,356.9,350.12,356.34,733197
2022-02-02,QQQ,360.43,360.74,355.08,359.17,589201
2022-02-03,QQQ,349.47,352.72,343.57,344.72,1016068
2022-02-04,QQQ,345.47,352.16,343.11,348.78,527600
2022-02-07,QQQ,349.7,351.78,344.94,346.24,307900
2022-02-08,QQQ,345.11,351.12,343.9,350.13,259168
2022-02-09,QQQ,354.54,357.49,353.05,357.38,423141
2022-02-10,QQQ,350.46,357.21,347.61,349.39,1019044
2022-02-11,QQQ,349.52,350.94,337.08,338.43,1044644
2022-02-14,QQQ,337.84,342.06,335.28,338.78,838339
2022-02-15,QQQ,344.02,347.35,343.05,347.23,522367
2022-02-16,QQQ,344.84,347.97,341.89,347.03,405138
2022-02-17,QQQ,343.81,344.29,336.34,336.87,405190
2022-02-18,QQQ,337.71,338.04,330.65,332.84,708878
2022-02-22,QQQ,329.98,335.34,326.05,329.55,610213
2022-02-23,QQQ,332.66,333.36,320.8,321.09,877585
2022-02-24,QQQ,310.62,332.38,310.58,332.04,1924611
2022-02-25,QQQ,332.6,337.21,329.1,337.18,931004
2022-02-28,QQQ,333.87,339.68,332.81,338.23,852617
2022-03-01,QQQ,337.01,339.22,330.45,332.9,736592
2022-03-02,QQQ,334.54,339.68,331.7,338.33,888379
2022-03-03,QQQ,340.98,341.02,331.85,333.47,1030510
2022-03-04,QQQ,331.56,332.66,326.48,328.8,968295
2022-03-07,QQQ,328.79,329.89,316.46,316.8,950004
2022-03-08,QQQ,315.89,324.77,311.88,315.11,1621033
2022-03-09,QQQ,323.38,327.88,320.82,326.55,740682
2022-03-10,QQQ,322.36,324.01,318.47,323.03,760950
2022-03-11,QQQ,325.92,326.1,315.77,315.82,756487
2022-03-14,QQQ,315.07,318.29,309.48,310.14,1109683
2022-03-15,QQQ,312.86,320.61,311.19,319.82,1162437
2022-03-16,QQQ,323.9,331.83,320.11,331.83,1554153
2022-03-17,QQQ,329.85,335.77,328.62,335.77,751888
2022-03-18,QQQ,334.09,342.9,332.93,342.58,1112142
2022-03-21,QQQ,341.79,343.97,337.28,341.7,884189
2022-03-22,QQQ,342.37,349.23,341.79,348.3,780283
2022-03-23,QQQ,345.51,349.02,343.31,343.32,665341
2022-03-24,QQQ,345.25,351.01,343.15,350.94,575696
2022-03-25,QQQ,350.96,351.94,346.41,350.63,863263
2022-03-28,QQQ,350.69,356.22,349.47,356.22,568462
2022-03-29,QQQ,360.01,362.87,357.46,362.25,1308329
2022-03-30,QQQ,360.64,362.0,356.78,358.27,1230365
