date,symbol,open,high,low,close,volume
2020-12-23,SPY,343.69,344.93,342.89,343.05,500024
2020-12-24,SPY,343.52,344.36,342.94,344.35,170257
2020-12-28,SPY,346.96,347.71,346.34,347.29,298759
2020-12-29,SPY,348.82,349.03,346.12,346.67,720211
2020-12-30,SPY,347.49,348.18,346.8,347.16,410703
2020-12-31,SPY,346.99,349.64,346.47,348.9,1056576
2021-01-04,SPY,350.25,350.37,340.52,344.24,1303127
2021-01-05,SPY,343.69,347.58,343.67,346.57,662135
2021-01-06,SPY,344.86,351.8,344.55,348.7,1592371
2021-01-07,SPY,351.03,354.52,350.83,353.67,911285
2021-01-08,SPY,355.18,355.99,351.94,355.8,591705
2021-01-11,SPY,352.65,355.14,352.52,353.55,577420
2021-01-12,SPY,353.61,354.49,351.28,353.46,577676
2021-01-13,SPY,353.42,355.44,352.65,354.44,526284
2021-01-14,SPY,355.27,355.68,352.87,353.26,483295
2021-01-15,SPY,351.58,352.37,348.84,350.59,872509
2021-01-19,SPY,353.1,353.91,351.69,353.33,569045
2021-01-20,SPY,355.67,359.11,355.33,358.22,609604
2021-01-21,SPY,358.82,359.25,357.67,358.53,411993
2021-01-22,SPY,356.74,358.43,356.4,357.26,642368
2021-01-25,SPY,358.06,359.08,353.2,358.75,744617
2021-01-26,SPY,359.68,360.06,357.96,358.12,602355
2021-01-27,SPY,354.85,354.87,347.21,349.41,2605623
2021-01-28,SPY,351.23,356.42,351.02,352.3,1816987
2021-01-29,SPY,350.53,351.46,343.79,345.31,2590391
2021-02-01,SPY,348.86,352.16,346.69,351.08,988296
2021-02-02,SPY,354.3,357.59,354.29,355.94,1071995
2021-02-03,SPY,356.96,358.07,355.1,356.37,848653
2021-02-04,SPY,357.46,360.43,357.24,360.39,820106
2021-02-05,SPY,362.29,362.53,360.69,361.78,728912
2021-02-08,SPY,363.38,364.47,362.44,364.43,696140
2021-02-09,SPY,363.63,364.8,363.24,364.21,734096
2021-02-10,SPY,365.94,366.06,361.65,364.05,889354
2021-02-11,SPY,365.2,365.55,362.22,364.62,639771
2021-02-12,SPY,363.83,366.66,363.78,366.4,704724
2021-02-16,SPY,367.66,367.84,365.45,366.11,724095
2021-02-17,SPY,364.35,366.43,363.39,366.21,586564
2021-02-18,SPY,363.56,365.36,361.87,364.67,811480
2021-02-19,SPY,365.98,366.17,363.57,364.02,1035965
2021-02-22,SPY,361.24,363.6,360.98,361.3,979219
2021-02-23,SPY,358.99,362.96,354.86,361.51,1834098
2021-02-24,SPY,360.52,366.03,359.57,365.61,1338847
2021-02-25,SPY,364.4,365.69,355.38,356.8,2548620
2021-02-26,SPY,358.71,359.81,353.01,354.93,1722012
2021-03-01,SPY,359.92,364.81,359.89,363.5,1443159
2021-03-02,SPY,363.8,363.98,360.24,360.7,954034
2021-03-03,SPY,360.02,361.01,355.87,355.97,1492972
2021-03-04,SPY,355.77,358.34,347.08,351.6,2838147
2021-03-05,SPY,355.07,359.07,347.78,358.01,1970423
2021-03-08,SPY,359.03,361.81,355.98,356.12,954155
2021-03-09,SPY,360.09,363.87,359.64,361.14,1247029
2021-03-10,SPY,363.71,365.21,362.29,363.51,967881
2021-03-11,SPY,366.13,369.22,365.6,367.28,911711
2021-03-12,SPY,365.9,367.89,365.1,367.7,864792
2021-03-15,SPY,368.02,370.2,365.88,370.02,825333
2021-03-16,SPY,370.64,371.28,368.72,369.55,876269
2021-03-17,SPY,368.2,371.54,367.13,370.76,919078
2021-03-18,SPY,368.14,370.21,364.83,365.36,1025836
2021-03-19,SPY,365.06,366.62,362.5,364.68,1015729
2021-03-22,SPY,365.29,368.97,365.23,367.58,596841
2021-03-23,SPY,366.95,368.36,363.92,364.79,929124
2021-03-24,SPY,366.1,367.73,362.82,362.82,941797
2021-03-25,SPY,361.33,365.66,359.49,364.81,1147872
2021-03-26,SPY,366.04,371.12,365.45,370.67,994962
2021-03-29,SPY,369.32,371.48,367.81,370.55,947371
2021-03-30,SPY,369.3,370.26,368.04,369.72,865981
2021-03-31,SPY,370.17,372.65,370.16,370.89,1290126
2021-04-01,SPY,373.0,375.15,372.87,375.03,1012758
2021-04-05,SPY,377.85,381.02,377.73,380.44,859965
2021-04-06,SPY,379.92,381.28,379.59,380.22,679087
2021-04-07,SPY,380.09,381.04,379.69,380.71,603106
2021-04-08,SPY,381.94,382.55,381.03,382.52,802416
2021-04-09,SPY,382.38,385.45,382.29,385.24,980710
