date,symbol,open,high,low,close,volume
2020-12-23,TSM,97.88,98.17,97.08,97.15,202787
2020-12-24,TSM,98.04,99.51,98.04,99.3,101932
2020-12-28,TSM,100.84,101.26,99.23,99.37,207205
2020-12-29,TSM,100.17,100.3,98.56,98.84,216383
2020-12-30,TSM,100.68,102.71,100.61,101.97,348034
2020-12-31,TSM,102.54,102.66,101.55,102.15,184766
2021-01-04,TSM,104.35,106.83,103.46,104.57,498423
2021-01-05,TSM,105.09,107.64,105.07,105.61,410999
2021-01-06,TSM,106.34,108.98,105.42,108.34,834813
2021-01-07,TSM,111.76,115.08,110.18,113.79,585051
2021-01-08,TSM,117.91,118.25,109.56,111.11,978462
2021-01-11,TSM,111.85,115.72,111.28,114.75,484310
2021-01-12,TSM,117.17,117.19,113.97,115.15,467920
2021-01-13,TSM,116.4,116.83,110.53,111.68,933383
2021-01-14,TSM,115.51,126.07,114.09,118.43,1130738
2021-01-15,TSM,120.3,120.3,115.39,117.3,908023
2021-01-19,TSM,122.34,125.5,120.34,122.95,986939
2021-01-20,TSM,126.61,127.45,121.84,122.4,582670
2021-01-21,TSM,125.01,126.75,124.08,125.56,669269
2021-01-22,TSM,121.77,122.87,120.63,120.98,701049
2021-01-25,TSM,123.52,123.71,119.26,122.32,957595
2021-01-26,TSM,120.83,120.85,118.24,118.58,867253
2021-01-27,TSM,117.01,117.15,113.81,113.83,727243
2021-01-28,TSM,116.68,119.47,115.83,117.87,489620
2021-01-29,TSM,116.18,116.45,112.93,113.85,662755
2021-02-01,TSM,116.85,118.78,115.65,118.72,337348
2021-02-02,TSM,121.48,121.89,119.45,120.35,381131
2021-02-03,TSM,120.88,120.9,118.15,119.42,364857
2021-02-04,TSM,119.43,120.03,117.98,120.03,328465
2021-02-05,TSM,120.61,120.65,118.66,119.66,193828
2021-02-08,TSM,120.61,124.76,120.61,124.14,356408
2021-02-09,TSM,125.48,125.85,123.37,124.23,289649
2021-02-10,TSM,125.58,127.35,124.11,125.11,568438
2021-02-11,TSM,126.89,130.36,125.56,130.25,480242
2021-02-12,TSM,130.41,130.91,128.47,129.27,494827
2021-02-16,TSM,132.53,133.15,130.58,131.2,570741
2021-02-17,TSM,130.31,130.68,127.49,127.64,599089
2021-02-18,TSM,126.35,127.19,124.94,126.05,512465
2021-02-19,TSM,127.46,129.16,127.09,127.93,448749
2021-02-22,TSM,125.08,126.67,124.75,125.08,468155
2021-02-23,TSM,121.01,123.32,117.44,120.89,745441
2021-02-24,TSM,121.32,123.96,119.58,123.93,607742
2021-02-25,TSM,123.09,123.18,117.74,117.99,773089
2021-02-26,TSM,117.56,119.28,115.09,118.17,588642
2021-03-01,TSM,121.39,121.97,119.21,120.96,390663
2021-03-02,TSM,120.23,120.33,117.99,118.03,377669
2021-03-03,TSM,118.77,119.47,114.95,115.04,528937
2021-03-04,TSM,114.13,115.32,106.3,108.24,1041363
2021-03-05,TSM,113.1,113.57,108.05,113.04,818640
2021-03-08,TSM,113.08,113.29,106.48,106.68,1005203
2021-03-09,TSM,109.93,110.83,108.04,108.98,743890
2021-03-10,TSM,110.42,110.5,106.25,106.57,621539
2021-03-11,TSM,110.72,113.11,109.63,112.91,669874
2021-03-12,TSM,111.34,111.35,109.83,110.79,378720
2021-03-15,TSM,111.15,111.51,109.3,111.51,307856
